agent,episode,seed,reward
snn,0,0,1328.592
snn,1,1,1380.972
snn,2,2,1354.483
snn,3,3,1445.871
snn,4,4,1438.795
snn,5,5,1381.386
snn,6,6,1189.619
snn,7,7,1456.948
snn,8,8,1369.178
snn,9,9,0.4674889
snn,10,10,10.41694
snn,11,11,1386.486
snn,12,12,1321.765
snn,13,13,1400.643
snn,14,14,1362.008
snn,15,15,1293.786
snn,16,16,1391.619
snn,17,17,1293.273
snn,18,18,1490.145
snn,19,19,1462.604
snn,20,20,1438.205
snn,21,21,1422.328
snn,22,22,3.340619
snn,23,23,1388.534
snn,24,24,1347.809
snn,25,25,1247.213
snn,26,26,1369.337
snn,27,27,2.871443
snn,28,28,1306.479
snn,29,29,1389.637
snn,30,30,1307.263
snn,31,31,1292.816
snn,32,32,1493.304
snn,33,33,1334.715
snn,34,34,1322.728
snn,35,35,1419.666
snn,36,36,1354.497
snn,37,37,1350.392
snn,38,38,1378.098
snn,39,39,1455.613
snn,40,40,1318.637
snn,41,41,1395.367
snn,42,42,1405.291
snn,43,43,1380.281
snn,44,44,1315.607
snn,45,45,1380.509
snn,46,46,1272.074
snn,47,47,1.916792
snn,48,48,745.0947
snn,49,49,1244.023
snn,50,50,1319.471
snn,51,51,1326.519
snn,52,52,1364.819
snn,53,53,1329.407
snn,54,54,654.2044
snn,55,55,1310.693
snn,56,56,1359.847
snn,57,57,1336.761
snn,58,58,1429.202
snn,59,59,1233.545
snn,60,60,1353.457
snn,61,61,1366.235
snn,62,62,1363.535
snn,63,63,1427.521
snn,64,64,1284.15
snn,65,65,1484.093
snn,66,66,1453.77
snn,67,67,1236.925
snn,68,68,1357.691
snn,69,69,1374.957
snn,70,70,1443.224
snn,71,71,1411.568
snn,72,72,1282.465
snn,73,73,781.3455
snn,74,74,1435.472
snn,75,75,1055.51
snn,76,76,1500.734
snn,77,77,1318.298
snn,78,78,2.041141
snn,79,79,1359.269
snn,80,80,1256.93
snn,81,81,1417.425
snn,82,82,1503.374
snn,83,83,87.47305
snn,84,84,1444.087
snn,85,85,1.796449
snn,86,86,1314.629
snn,87,87,1385.979
snn,88,88,1221.327
snn,89,89,1432.699
snn,90,90,1421.606
snn,91,91,1315.209
snn,92,92,1394.802
snn,93,93,1347.618
snn,94,94,14.63877
snn,95,95,344.0277
snn,96,96,1440.661
snn,97,97,1433.994
snn,98,98,1373.386
snn,99,99,1426.876
ann,0,0,1688.05917
ann,1,1,1818.229807
ann,2,2,1882.435312
ann,3,3,1535.452204
ann,4,4,1817.186665
ann,5,5,1683.3557420000002
ann,6,6,0.279856
ann,7,7,1811.5315300000002
ann,8,8,241.068008
ann,9,9,1867.965662
ann,10,10,1550.369084
ann,11,11,1789.389774
ann,12,12,182.900668
ann,13,13,1873.6422850000001
ann,14,14,1398.576425
ann,15,15,1519.73072
ann,16,16,370.713423
ann,17,17,1632.762238
ann,18,18,389.752826
ann,19,19,-0.38165499999999997
ann,20,20,1790.825495
ann,21,21,1550.659717
ann,22,22,204.84994899999998
ann,23,23,1775.146056
ann,24,24,386.83878100000004
ann,25,25,1771.591954
ann,26,26,1768.618933
ann,27,27,1616.266752
ann,28,28,2.433835
ann,29,29,1569.703833
ann,30,30,1755.4675849999999
ann,31,31,1899.147818
ann,32,32,608.093065
ann,33,33,1487.436569
ann,34,34,2.6660179999999998
ann,35,35,1720.86705
ann,36,36,1430.542055
ann,37,37,-1.1222930000000002
ann,38,38,498.461152
ann,39,39,623.60501
ann,40,40,400.72548399999994
ann,41,41,1803.567736
ann,42,42,1758.211158
ann,43,43,375.964582
ann,44,44,1817.363189
ann,45,45,2.562332
ann,46,46,1113.537829
ann,47,47,1744.4607290000001
ann,48,48,1720.258601
ann,49,49,1745.063022
ann,50,50,1631.608431
ann,51,51,447.510769
ann,52,52,1.5608790000000001
ann,53,53,1494.920396
ann,54,54,249.950599
ann,55,55,1800.3200089999998
ann,56,56,422.755262
ann,57,57,1777.536668
ann,58,58,938.9032569999999
ann,59,59,1717.168774
ann,60,60,1750.179213
ann,61,61,1789.4429089999999
ann,62,62,1623.9751700000002
ann,63,63,1781.38513
ann,64,64,0.7948189999999999
ann,65,65,1779.5724169999999
ann,66,66,1729.142421
ann,67,67,4.8868149999999995
ann,68,68,1632.310774
ann,69,69,1746.120547
ann,70,70,1733.421054
ann,71,71,1722.7099090000002
ann,72,72,1821.615738
ann,73,73,1786.994326
ann,74,74,1761.103421
ann,75,75,1727.713203
ann,76,76,184.40285699999998
ann,77,77,152.09812799999997
ann,78,78,1745.7036130000001
ann,79,79,970.584241
ann,80,80,1796.043239
ann,81,81,1848.6878339999998
ann,82,82,1558.2247830000001
ann,83,83,1799.1076879999998
ann,84,84,1523.092347
ann,85,85,1844.756237
ann,86,86,944.925935
ann,87,87,1766.719776
ann,88,88,4.404274
ann,89,89,1844.191742
ann,90,90,1696.881031
ann,91,91,1801.735135
ann,92,92,157.842238
ann,93,93,1823.91989
ann,94,94,1652.603651
ann,95,95,1742.936083
ann,96,96,1640.562036
ann,97,97,1845.730431
ann,98,98,1703.273173
ann,99,99,1717.991263
