agent,episode,seed,reward
snn,0,0,1378.2
snn,1,1,1381.179
snn,2,2,278.8873
snn,3,3,14.88536
snn,4,4,28.02409
snn,5,5,1476.375
snn,6,6,1341.892
snn,7,7,306.7745
snn,8,8,180.8275
snn,9,9,142.0254
snn,10,10,238.227
snn,11,11,310.0716
snn,12,12,345.363
snn,13,13,286.8571
snn,14,14,1349.276
snn,15,15,135.3781
snn,16,16,56.77278
snn,17,17,339.908
snn,18,18,1421.567
snn,19,19,1357.477
snn,20,20,320.291
snn,21,21,1358.488
snn,22,22,356.2726
snn,23,23,24.89381
snn,24,24,231.0756
snn,25,25,43.25858
snn,26,26,18.3033
snn,27,27,0.5253312
snn,28,28,188.4772
snn,29,29,42.51554
snn,30,30,250.4121
snn,31,31,162.8586
snn,32,32,1392.978
snn,33,33,1366.563
snn,34,34,289.9647
snn,35,35,354.8943
snn,36,36,249.8092
snn,37,37,7.314053
snn,38,38,273.4333
snn,39,39,196.6629
snn,40,40,22.44744
snn,41,41,13.65707
snn,42,42,227.1508
snn,43,43,1.38318
snn,44,44,4.776485
snn,45,45,3.180182
snn,46,46,291.4584
snn,47,47,0.3325419
snn,48,48,191.4442
snn,49,49,294.0529
snn,50,50,1359.039
snn,51,51,1291.978
snn,52,52,1427.192
snn,53,53,1384.362
snn,54,54,607.8402
snn,55,55,1403.124
snn,56,56,8.968262
snn,57,57,12.52677
snn,58,58,118.4966
snn,59,59,4.369268
snn,60,60,1404.892
snn,61,61,180.5564
snn,62,62,264.364
snn,63,63,1461.426
snn,64,64,71.95613
snn,65,65,14.3959
snn,66,66,1419.456
snn,67,67,346.5146
snn,68,68,252.7021
snn,69,69,3.452052
snn,70,70,480.9995
snn,71,71,1456.307
snn,72,72,208.2945
snn,73,73,13.58374
snn,74,74,1348.234
snn,75,75,36.8008
snn,76,76,157.9458
snn,77,77,12.05486
snn,78,78,1368.621
snn,79,79,267.2359
snn,80,80,221.4882
snn,81,81,229.7022
snn,82,82,42.8833
snn,83,83,231.596
snn,84,84,1294.713
snn,85,85,6.508858
snn,86,86,1397.243
snn,87,87,53.8639
snn,88,88,196.6588
snn,89,89,106.6611
snn,90,90,20.14195
snn,91,91,5.035578
snn,92,92,355.2481
snn,93,93,300.7878
snn,94,94,327.3733
snn,95,95,1363.779
snn,96,96,18.07003
snn,97,97,334.4333
snn,98,98,8.16346
snn,99,99,183.3209
ann,0,0,1688.05917
ann,1,1,1818.229807
ann,2,2,1882.435312
ann,3,3,1535.452204
ann,4,4,1817.186665
ann,5,5,1683.3557420000002
ann,6,6,0.279856
ann,7,7,1811.5315300000002
ann,8,8,241.068008
ann,9,9,1867.965662
ann,10,10,1550.369084
ann,11,11,1789.389774
ann,12,12,182.900668
ann,13,13,1873.6422850000001
ann,14,14,1398.576425
ann,15,15,1519.73072
ann,16,16,370.713423
ann,17,17,1632.762238
ann,18,18,389.752826
ann,19,19,-0.38165499999999997
ann,20,20,1790.825495
ann,21,21,1550.659717
ann,22,22,204.84994899999998
ann,23,23,1775.146056
ann,24,24,386.83878100000004
ann,25,25,1771.591954
ann,26,26,1768.618933
ann,27,27,1616.266752
ann,28,28,2.433835
ann,29,29,1569.703833
ann,30,30,1755.4675849999999
ann,31,31,1899.147818
ann,32,32,608.093065
ann,33,33,1487.436569
ann,34,34,2.6660179999999998
ann,35,35,1720.86705
ann,36,36,1430.542055
ann,37,37,-1.1222930000000002
ann,38,38,498.461152
ann,39,39,623.60501
ann,40,40,400.72548399999994
ann,41,41,1803.567736
ann,42,42,1758.211158
ann,43,43,375.964582
ann,44,44,1817.363189
ann,45,45,2.562332
ann,46,46,1113.537829
ann,47,47,1744.4607290000001
ann,48,48,1720.258601
ann,49,49,1745.063022
ann,50,50,1631.608431
ann,51,51,447.510769
ann,52,52,1.5608790000000001
ann,53,53,1494.920396
ann,54,54,249.950599
ann,55,55,1800.3200089999998
ann,56,56,422.755262
ann,57,57,1777.536668
ann,58,58,938.9032569999999
ann,59,59,1717.168774
ann,60,60,1750.179213
ann,61,61,1789.4429089999999
ann,62,62,1623.9751700000002
ann,63,63,1781.38513
ann,64,64,0.7948189999999999
ann,65,65,1779.5724169999999
ann,66,66,1729.142421
ann,67,67,4.8868149999999995
ann,68,68,1632.310774
ann,69,69,1746.120547
ann,70,70,1733.421054
ann,71,71,1722.7099090000002
ann,72,72,1821.615738
ann,73,73,1786.994326
ann,74,74,1761.103421
ann,75,75,1727.713203
ann,76,76,184.40285699999998
ann,77,77,152.09812799999997
ann,78,78,1745.7036130000001
ann,79,79,970.584241
ann,80,80,1796.043239
ann,81,81,1848.6878339999998
ann,82,82,1558.2247830000001
ann,83,83,1799.1076879999998
ann,84,84,1523.092347
ann,85,85,1844.756237
ann,86,86,944.925935
ann,87,87,1766.719776
ann,88,88,4.404274
ann,89,89,1844.191742
ann,90,90,1696.881031
ann,91,91,1801.735135
ann,92,92,157.842238
ann,93,93,1823.91989
ann,94,94,1652.603651
ann,95,95,1742.936083
ann,96,96,1640.562036
ann,97,97,1845.730431
ann,98,98,1703.273173
ann,99,99,1717.991263
