agent,episode,seed,reward
snn,0,0,38.55134
snn,1,1,59.70159
snn,2,2,147.0516
snn,3,3,18.80181
snn,4,4,30.79686
snn,5,5,116.409
snn,6,6,25.13691
snn,7,7,129.9158
snn,8,8,80.09161
snn,9,9,79.9069
snn,10,10,86.85593
snn,11,11,35.36356
snn,12,12,205.1047
snn,13,13,118.0811
snn,14,14,43.53314
snn,15,15,33.81196
snn,16,16,43.53314
snn,17,17,150.546
snn,18,18,111.3693
snn,19,19,14.3605
snn,20,20,147.6909
snn,21,21,105.1659
snn,22,22,13.47455
snn,23,23,23.80245
snn,24,24,25.13691
snn,25,25,110.3937
snn,26,26,18.79675
snn,27,27,0.3808106
snn,28,28,203.4969
snn,29,29,38.55134
snn,30,30,17.63812
snn,31,31,159.1745
snn,32,32,25.13691
snn,33,33,48.73537
snn,34,34,29.33468
snn,35,35,45.30383
snn,36,36,110.7989
snn,37,37,5.82483
snn,38,38,77.72865
snn,39,39,118.4179
snn,40,40,22.50125
snn,41,41,11.40931
snn,42,42,54.65913
snn,43,43,2.093876
snn,44,44,6.509728
snn,45,45,2.969625
snn,46,46,27.90357
snn,47,47,0.2285849
snn,48,48,79.06474
snn,49,49,42.98274
snn,50,50,12.35634
snn,51,51,38.55134
snn,52,52,16.50978
snn,53,53,14.3605
snn,54,54,36.9436
snn,55,55,149.8683
snn,56,56,9.626414
snn,57,57,16.50978
snn,58,58,45.24388
snn,59,59,3.464618
snn,60,60,41.84692
snn,61,61,60.12654
snn,62,62,23.80245
snn,63,63,54.25931
snn,64,64,13.34015
snn,65,65,17.63812
snn,66,66,146.4092
snn,67,67,42.05613
snn,68,68,125.5579
snn,69,69,6.523779
snn,70,70,55.97225
snn,71,71,141.6155
snn,72,72,85.66703
snn,73,73,14.3605
snn,74,74,93.02597
snn,75,75,32.2895
snn,76,76,174.6533
snn,77,77,16.50978
snn,78,78,82.32634
snn,79,79,127.4046
snn,80,80,82.10085
snn,81,81,140.5954
snn,82,82,67.25246
snn,83,83,386.0217
snn,84,84,43.53314
snn,85,85,4.568746
snn,86,86,141.4715
snn,87,87,45.48673
snn,88,88,187.762
snn,89,89,116.1058
snn,90,90,20.0005
snn,91,91,5.82483
snn,92,92,138.6686
snn,93,93,132.9247
snn,94,94,33.7768
snn,95,95,61.59127
snn,96,96,21.23378
snn,97,97,87.96346
snn,98,98,5.82483
snn,99,99,178.9721
ann,0,0,1688.05917
ann,1,1,1818.229807
ann,2,2,1882.435312
ann,3,3,1535.452204
ann,4,4,1817.186665
ann,5,5,1683.3557420000002
ann,6,6,0.279856
ann,7,7,1811.5315300000002
ann,8,8,241.068008
ann,9,9,1867.965662
ann,10,10,1550.369084
ann,11,11,1789.389774
ann,12,12,182.900668
ann,13,13,1873.6422850000001
ann,14,14,1398.576425
ann,15,15,1519.73072
ann,16,16,370.713423
ann,17,17,1632.762238
ann,18,18,389.752826
ann,19,19,-0.38165499999999997
ann,20,20,1790.825495
ann,21,21,1550.659717
ann,22,22,204.84994899999998
ann,23,23,1775.146056
ann,24,24,386.83878100000004
ann,25,25,1771.591954
ann,26,26,1768.618933
ann,27,27,1616.266752
ann,28,28,2.433835
ann,29,29,1569.703833
ann,30,30,1755.4675849999999
ann,31,31,1899.147818
ann,32,32,608.093065
ann,33,33,1487.436569
ann,34,34,2.6660179999999998
ann,35,35,1720.86705
ann,36,36,1430.542055
ann,37,37,-1.1222930000000002
ann,38,38,498.461152
ann,39,39,623.60501
ann,40,40,400.72548399999994
ann,41,41,1803.567736
ann,42,42,1758.211158
ann,43,43,375.964582
ann,44,44,1817.363189
ann,45,45,2.562332
ann,46,46,1113.537829
ann,47,47,1744.4607290000001
ann,48,48,1720.258601
ann,49,49,1745.063022
ann,50,50,1631.608431
ann,51,51,447.510769
ann,52,52,1.5608790000000001
ann,53,53,1494.920396
ann,54,54,249.950599
ann,55,55,1800.3200089999998
ann,56,56,422.755262
ann,57,57,1777.536668
ann,58,58,938.9032569999999
ann,59,59,1717.168774
ann,60,60,1750.179213
ann,61,61,1789.4429089999999
ann,62,62,1623.9751700000002
ann,63,63,1781.38513
ann,64,64,0.7948189999999999
ann,65,65,1779.5724169999999
ann,66,66,1729.142421
ann,67,67,4.8868149999999995
ann,68,68,1632.310774
ann,69,69,1746.120547
ann,70,70,1733.421054
ann,71,71,1722.7099090000002
ann,72,72,1821.615738
ann,73,73,1786.994326
ann,74,74,1761.103421
ann,75,75,1727.713203
ann,76,76,184.40285699999998
ann,77,77,152.09812799999997
ann,78,78,1745.7036130000001
ann,79,79,970.584241
ann,80,80,1796.043239
ann,81,81,1848.6878339999998
ann,82,82,1558.2247830000001
ann,83,83,1799.1076879999998
ann,84,84,1523.092347
ann,85,85,1844.756237
ann,86,86,944.925935
ann,87,87,1766.719776
ann,88,88,4.404274
ann,89,89,1844.191742
ann,90,90,1696.881031
ann,91,91,1801.735135
ann,92,92,157.842238
ann,93,93,1823.91989
ann,94,94,1652.603651
ann,95,95,1742.936083
ann,96,96,1640.562036
ann,97,97,1845.730431
ann,98,98,1703.273173
ann,99,99,1717.991263
