agent,episode,seed,reward
snn,0,0,-111.0
snn,1,1,-110.0
snn,2,2,-90.0
snn,3,3,-111.0
snn,4,4,-110.0
snn,5,5,-110.0
snn,6,6,-110.0
snn,7,7,-111.0
snn,8,8,-111.0
snn,9,9,-111.0
snn,10,10,-110.0
snn,11,11,-90.0
snn,12,12,-111.0
snn,13,13,-112.0
snn,14,14,-111.0
snn,15,15,-112.0
snn,16,16,-91.0
snn,17,17,-111.0
snn,18,18,-107.0
snn,19,19,-97.0
snn,20,20,-110.0
snn,21,21,-100.0
snn,22,22,-112.0
snn,23,23,-96.0
snn,24,24,-111.0
snn,25,25,-111.0
snn,26,26,-87.0
snn,27,27,-93.0
snn,28,28,-88.0
snn,29,29,-91.0
snn,30,30,-112.0
snn,31,31,-111.0
snn,32,32,-110.0
snn,33,33,-90.0
snn,34,34,-104.0
snn,35,35,-112.0
snn,36,36,-89.0
snn,37,37,-91.0
snn,38,38,-110.0
snn,39,39,-110.0
snn,40,40,-92.0
snn,41,41,-95.0
snn,42,42,-110.0
snn,43,43,-105.0
snn,44,44,-111.0
snn,45,45,-111.0
snn,46,46,-111.0
snn,47,47,-96.0
snn,48,48,-91.0
snn,49,49,-110.0
snn,50,50,-111.0
snn,51,51,-111.0
snn,52,52,-110.0
snn,53,53,-111.0
snn,54,54,-111.0
snn,55,55,-111.0
snn,56,56,-110.0
snn,57,57,-88.0
snn,58,58,-92.0
snn,59,59,-112.0
snn,60,60,-89.0
snn,61,61,-93.0
snn,62,62,-112.0
snn,63,63,-88.0
snn,64,64,-97.0
snn,65,65,-110.0
snn,66,66,-106.0
snn,67,67,-111.0
snn,68,68,-112.0
snn,69,69,-101.0
snn,70,70,-97.0
snn,71,71,-110.0
snn,72,72,-110.0
snn,73,73,-111.0
snn,74,74,-110.0
snn,75,75,-91.0
snn,76,76,-110.0
snn,77,77,-111.0
snn,78,78,-111.0
snn,79,79,-111.0
snn,80,80,-112.0
snn,81,81,-111.0
snn,82,82,-90.0
snn,83,83,-86.0
snn,84,84,-88.0
snn,85,85,-112.0
snn,86,86,-90.0
snn,87,87,-91.0
snn,88,88,-111.0
snn,89,89,-110.0
snn,90,90,-111.0
snn,91,91,-112.0
snn,92,92,-87.0
snn,93,93,-110.0
snn,94,94,-110.0
snn,95,95,-98.0
snn,96,96,-93.0
snn,97,97,-95.0
snn,98,98,-112.0
snn,99,99,-110.0
ann,0,0,-110.0
ann,1,1,-112.0
ann,2,2,-112.0
ann,3,3,-110.0
ann,4,4,-84.0
ann,5,5,-91.0
ann,6,6,-112.0
ann,7,7,-110.0
ann,8,8,-115.0
ann,9,9,-86.0
ann,10,10,-84.0
ann,11,11,-111.0
ann,12,12,-112.0
ann,13,13,-86.0
ann,14,14,-88.0
ann,15,15,-110.0
ann,16,16,-112.0
ann,17,17,-87.0
ann,18,18,-113.0
ann,19,19,-113.0
ann,20,20,-113.0
ann,21,21,-166.0
ann,22,22,-114.0
ann,23,23,-110.0
ann,24,24,-115.0
ann,25,25,-111.0
ann,26,26,-113.0
ann,27,27,-110.0
ann,28,28,-87.0
ann,29,29,-110.0
ann,30,30,-112.0
ann,31,31,-85.0
ann,32,32,-111.0
ann,33,33,-113.0
ann,34,34,-109.0
ann,35,35,-115.0
ann,36,36,-111.0
ann,37,37,-110.0
ann,38,38,-113.0
ann,39,39,-113.0
ann,40,40,-158.0
ann,41,41,-84.0
ann,42,42,-164.0
ann,43,43,-110.0
ann,44,44,-111.0
ann,45,45,-112.0
ann,46,46,-85.0
ann,47,47,-160.0
ann,48,48,-113.0
ann,49,49,-114.0
ann,50,50,-167.0
ann,51,51,-84.0
ann,52,52,-110.0
ann,53,53,-110.0
ann,54,54,-112.0
ann,55,55,-87.0
ann,56,56,-158.0
ann,57,57,-110.0
ann,58,58,-114.0
ann,59,59,-112.0
ann,60,60,-115.0
ann,61,61,-114.0
ann,62,62,-110.0
ann,63,63,-112.0
ann,64,64,-84.0
ann,65,65,-110.0
ann,66,66,-84.0
ann,67,67,-113.0
ann,68,68,-113.0
ann,69,69,-112.0
ann,70,70,-113.0
ann,71,71,-112.0
ann,72,72,-87.0
ann,73,73,-113.0
ann,74,74,-85.0
ann,75,75,-112.0
ann,76,76,-89.0
ann,77,77,-167.0
ann,78,78,-113.0
ann,79,79,-85.0
ann,80,80,-160.0
ann,81,81,-113.0
ann,82,82,-83.0
ann,83,83,-115.0
ann,84,84,-160.0
ann,85,85,-110.0
ann,86,86,-110.0
ann,87,87,-112.0
ann,88,88,-111.0
ann,89,89,-112.0
ann,90,90,-114.0
ann,91,91,-113.0
ann,92,92,-111.0
ann,93,93,-83.0
ann,94,94,-112.0
ann,95,95,-112.0
ann,96,96,-158.0
ann,97,97,-110.0
ann,98,98,-84.0
ann,99,99,-112.0
