agent,episode,seed,reward
snn,0,0,-66.0
snn,1,1,-66.0
snn,2,2,-74.0
snn,3,3,-65.0
snn,4,4,-66.0
snn,5,5,-78.0
snn,6,6,-107.0
snn,7,7,-109.0
snn,8,8,-83.0
snn,9,9,-65.0
snn,10,10,-66.0
snn,11,11,-74.0
snn,12,12,-91.0
snn,13,13,-102.0
snn,14,14,-66.0
snn,15,15,-78.0
snn,16,16,-126.0
snn,17,17,-65.0
snn,18,18,-73.0
snn,19,19,-74.0
snn,20,20,-92.0
snn,21,21,-74.0
snn,22,22,-66.0
snn,23,23,-90.0
snn,24,24,-66.0
snn,25,25,-66.0
snn,26,26,-66.0
snn,27,27,-66.0
snn,28,28,-66.0
snn,29,29,-65.0
snn,30,30,-90.0
snn,31,31,-74.0
snn,32,32,-66.0
snn,33,33,-93.0
snn,34,34,-66.0
snn,35,35,-74.0
snn,36,36,-67.0
snn,37,37,-107.0
snn,38,38,-66.0
snn,39,39,-87.0
snn,40,40,-66.0
snn,41,41,-66.0
snn,42,42,-74.0
snn,43,43,-66.0
snn,44,44,-89.0
snn,45,45,-74.0
snn,46,46,-74.0
snn,47,47,-66.0
snn,48,48,-65.0
snn,49,49,-73.0
snn,50,50,-74.0
snn,51,51,-74.0
snn,52,52,-66.0
snn,53,53,-66.0
snn,54,54,-65.0
snn,55,55,-66.0
snn,56,56,-74.0
snn,57,57,-90.0
snn,58,58,-66.0
snn,59,59,-74.0
snn,60,60,-73.0
snn,61,61,-66.0
snn,62,62,-66.0
snn,63,63,-88.0
snn,64,64,-90.0
snn,65,65,-74.0
snn,66,66,-66.0
snn,67,67,-66.0
snn,68,68,-66.0
snn,69,69,-74.0
snn,70,70,-73.0
snn,71,71,-66.0
snn,72,72,-73.0
snn,73,73,-74.0
snn,74,74,-65.0
snn,75,75,-73.0
snn,76,76,-74.0
snn,77,77,-66.0
snn,78,78,-67.0
snn,79,79,-76.0
snn,80,80,-74.0
snn,81,81,-73.0
snn,82,82,-66.0
snn,83,83,-66.0
snn,84,84,-66.0
snn,85,85,-66.0
snn,86,86,-67.0
snn,87,87,-66.0
snn,88,88,-66.0
snn,89,89,-83.0
snn,90,90,-74.0
snn,91,91,-66.0
snn,92,92,-83.0
snn,93,93,-73.0
snn,94,94,-66.0
snn,95,95,-98.0
snn,96,96,-66.0
snn,97,97,-98.0
snn,98,98,-66.0
snn,99,99,-89.0
ann,0,0,-64.0
ann,1,1,-71.0
ann,2,2,-71.0
ann,3,3,-71.0
ann,4,4,-72.0
ann,5,5,-63.0
ann,6,6,-63.0
ann,7,7,-71.0
ann,8,8,-98.0
ann,9,9,-70.0
ann,10,10,-64.0
ann,11,11,-71.0
ann,12,12,-71.0
ann,13,13,-63.0
ann,14,14,-71.0
ann,15,15,-75.0
ann,16,16,-64.0
ann,17,17,-88.0
ann,18,18,-71.0
ann,19,19,-72.0
ann,20,20,-71.0
ann,21,21,-63.0
ann,22,22,-71.0
ann,23,23,-62.0
ann,24,24,-62.0
ann,25,25,-70.0
ann,26,26,-74.0
ann,27,27,-90.0
ann,28,28,-63.0
ann,29,29,-71.0
ann,30,30,-71.0
ann,31,31,-64.0
ann,32,32,-71.0
ann,33,33,-82.0
ann,34,34,-64.0
ann,35,35,-107.0
ann,36,36,-62.0
ann,37,37,-63.0
ann,38,38,-81.0
ann,39,39,-71.0
ann,40,40,-183.0
ann,41,41,-63.0
ann,42,42,-72.0
ann,43,43,-76.0
ann,44,44,-71.0
ann,45,45,-71.0
ann,46,46,-80.0
ann,47,47,-63.0
ann,48,48,-82.0
ann,49,49,-63.0
ann,50,50,-63.0
ann,51,51,-120.0
ann,52,52,-88.0
ann,53,53,-63.0
ann,54,54,-71.0
ann,55,55,-63.0
ann,56,56,-71.0
ann,57,57,-72.0
ann,58,58,-72.0
ann,59,59,-62.0
ann,60,60,-76.0
ann,61,61,-75.0
ann,62,62,-71.0
ann,63,63,-71.0
ann,64,64,-63.0
ann,65,65,-70.0
ann,66,66,-71.0
ann,67,67,-71.0
ann,68,68,-75.0
ann,69,69,-71.0
ann,70,70,-62.0
ann,71,71,-73.0
ann,72,72,-83.0
ann,73,73,-113.0
ann,74,74,-63.0
ann,75,75,-70.0
ann,76,76,-63.0
ann,77,77,-62.0
ann,78,78,-71.0
ann,79,79,-64.0
ann,80,80,-77.0
ann,81,81,-79.0
ann,82,82,-63.0
ann,83,83,-70.0
ann,84,84,-63.0
ann,85,85,-71.0
ann,86,86,-78.0
ann,87,87,-62.0
ann,88,88,-87.0
ann,89,89,-92.0
ann,90,90,-64.0
ann,91,91,-81.0
ann,92,92,-64.0
ann,93,93,-70.0
ann,94,94,-75.0
ann,95,95,-63.0
ann,96,96,-71.0
ann,97,97,-71.0
ann,98,98,-63.0
ann,99,99,-63.0
