agent,episode,seed,reward
snn,0,0,1499.992
snn,1,1,1339.603
snn,2,2,1513.491
snn,3,3,1471.96
snn,4,4,8.246522
snn,5,5,1497.924
snn,6,6,1508.443
snn,7,7,1517.651
snn,8,8,1.284543
snn,9,9,1537.469
snn,10,10,1593.403
snn,11,11,1498.755
snn,12,12,421.9262
snn,13,13,41.66645
snn,14,14,1384.796
snn,15,15,1382.559
snn,16,16,1488.53
snn,17,17,126.5491
snn,18,18,1450.69
snn,19,19,1460.875
snn,20,20,1504.964
snn,21,21,1491.299
snn,22,22,56.31311
snn,23,23,1468.334
snn,24,24,1498.398
snn,25,25,1412.709
snn,26,26,1515.925
snn,27,27,321.0994
snn,28,28,3.467296
snn,29,29,6.359835
snn,30,30,320.7718
snn,31,31,1581.769
snn,32,32,3.680358
snn,33,33,1486.517
snn,34,34,23.42394
snn,35,35,1430.982
snn,36,36,1.284543
snn,37,37,1459.3
snn,38,38,1485.212
snn,39,39,1438.112
snn,40,40,1458.944
snn,41,41,1453.398
snn,42,42,1570.653
snn,43,43,4.740513
snn,44,44,1400.697
snn,45,45,1538.948
snn,46,46,1565.997
snn,47,47,1429.528
snn,48,48,1533.587
snn,49,49,1342.414
snn,50,50,1473.626
snn,51,51,1405.787
snn,52,52,1521.877
snn,53,53,1391.669
snn,54,54,43.45252
snn,55,55,382.6989
snn,56,56,1524.16
snn,57,57,1460.564
snn,58,58,1476.038
snn,59,59,1.995117
snn,60,60,1557.997
snn,61,61,9.404062
snn,62,62,1467.208
snn,63,63,1458.215
snn,64,64,1467.464
snn,65,65,1357.027
snn,66,66,1469.972
snn,67,67,4.357891
snn,68,68,1413.723
snn,69,69,1507.065
snn,70,70,150.2283
snn,71,71,1483.631
snn,72,72,1494.712
snn,73,73,1531.931
snn,74,74,1467.877
snn,75,75,15.58935
snn,76,76,1540.64
snn,77,77,1451.478
snn,78,78,1460.94
snn,79,79,1499.565
snn,80,80,1492.586
snn,81,81,1448.904
snn,82,82,1457.094
snn,83,83,1473.92
snn,84,84,1503.013
snn,85,85,1518.203
snn,86,86,1460.614
snn,87,87,14.26646
snn,88,88,1495.365
snn,89,89,1456.212
snn,90,90,1483.486
snn,91,91,126.1855
snn,92,92,1287.388
snn,93,93,1424.795
snn,94,94,1452.755
snn,95,95,1434.319
snn,96,96,1404.995
snn,97,97,1526.876
snn,98,98,45.23443
snn,99,99,1486.556
ann,0,0,1688.05917
ann,1,1,1818.229807
ann,2,2,1882.435312
ann,3,3,1535.452204
ann,4,4,1817.186665
ann,5,5,1683.3557420000002
ann,6,6,0.279856
ann,7,7,1811.5315300000002
ann,8,8,241.068008
ann,9,9,1867.965662
ann,10,10,1550.369084
ann,11,11,1789.389774
ann,12,12,182.900668
ann,13,13,1873.6422850000001
ann,14,14,1398.576425
ann,15,15,1519.73072
ann,16,16,370.713423
ann,17,17,1632.762238
ann,18,18,389.752826
ann,19,19,-0.38165499999999997
ann,20,20,1790.825495
ann,21,21,1550.659717
ann,22,22,204.84994899999998
ann,23,23,1775.146056
ann,24,24,386.83878100000004
ann,25,25,1771.591954
ann,26,26,1768.618933
ann,27,27,1616.266752
ann,28,28,2.433835
ann,29,29,1569.703833
ann,30,30,1755.4675849999999
ann,31,31,1899.147818
ann,32,32,608.093065
ann,33,33,1487.436569
ann,34,34,2.6660179999999998
ann,35,35,1720.86705
ann,36,36,1430.542055
ann,37,37,-1.1222930000000002
ann,38,38,498.461152
ann,39,39,623.60501
ann,40,40,400.72548399999994
ann,41,41,1803.567736
ann,42,42,1758.211158
ann,43,43,375.964582
ann,44,44,1817.363189
ann,45,45,2.562332
ann,46,46,1113.537829
ann,47,47,1744.4607290000001
ann,48,48,1720.258601
ann,49,49,1745.063022
ann,50,50,1631.608431
ann,51,51,447.510769
ann,52,52,1.5608790000000001
ann,53,53,1494.920396
ann,54,54,249.950599
ann,55,55,1800.3200089999998
ann,56,56,422.755262
ann,57,57,1777.536668
ann,58,58,938.9032569999999
ann,59,59,1717.168774
ann,60,60,1750.179213
ann,61,61,1789.4429089999999
ann,62,62,1623.9751700000002
ann,63,63,1781.38513
ann,64,64,0.7948189999999999
ann,65,65,1779.5724169999999
ann,66,66,1729.142421
ann,67,67,4.8868149999999995
ann,68,68,1632.310774
ann,69,69,1746.120547
ann,70,70,1733.421054
ann,71,71,1722.7099090000002
ann,72,72,1821.615738
ann,73,73,1786.994326
ann,74,74,1761.103421
ann,75,75,1727.713203
ann,76,76,184.40285699999998
ann,77,77,152.09812799999997
ann,78,78,1745.7036130000001
ann,79,79,970.584241
ann,80,80,1796.043239
ann,81,81,1848.6878339999998
ann,82,82,1558.2247830000001
ann,83,83,1799.1076879999998
ann,84,84,1523.092347
ann,85,85,1844.756237
ann,86,86,944.925935
ann,87,87,1766.719776
ann,88,88,4.404274
ann,89,89,1844.191742
ann,90,90,1696.881031
ann,91,91,1801.735135
ann,92,92,157.842238
ann,93,93,1823.91989
ann,94,94,1652.603651
ann,95,95,1742.936083
ann,96,96,1640.562036
ann,97,97,1845.730431
ann,98,98,1703.273173
ann,99,99,1717.991263
