agent,episode,seed,reward
snn,0,0,77.50835
snn,1,1,104.6732
snn,2,2,159.8237
snn,3,3,16.27909
snn,4,4,27.78766
snn,5,5,104.0412
snn,6,6,26.4333
snn,7,7,157.5761
snn,8,8,87.64418
snn,9,9,0.0
snn,10,10,125.9838
snn,11,11,73.75579
snn,12,12,116.4191
snn,13,13,24.15942
snn,14,14,107.97
snn,15,15,38.91047
snn,16,16,39.46026
snn,17,17,137.3831
snn,18,18,206.5349
snn,19,19,14.42073
snn,20,20,174.4652
snn,21,21,103.9823
snn,22,22,143.5239
snn,23,23,24.18457
snn,24,24,29.12796
snn,25,25,32.45408
snn,26,26,19.10761
snn,27,27,0.3702437
snn,28,28,319.4775
snn,29,29,41.24089
snn,30,30,19.8928
snn,31,31,178.0362
snn,32,32,31.51691
snn,33,33,49.38255
snn,34,34,37.27126
snn,35,35,45.14818
snn,36,36,152.8326
snn,37,37,5.980774
snn,38,38,140.26
snn,39,39,117.3757
snn,40,40,21.90362
snn,41,41,11.577
snn,42,42,65.08186
snn,43,43,1.663004
snn,44,44,6.033311
snn,45,45,2.749851
snn,46,46,47.20175
snn,47,47,0.2270198
snn,48,48,77.98446
snn,49,49,178.2551
snn,50,50,15.26403
snn,51,51,52.21127
snn,52,52,39.11524
snn,53,53,88.02945
snn,54,54,46.90338
snn,55,55,0.0
snn,56,56,9.699386
snn,57,57,16.76109
snn,58,58,59.68135
snn,59,59,3.699388
snn,60,60,50.35436
snn,61,61,64.11112
snn,62,62,27.67275
snn,63,63,121.479
snn,64,64,17.61029
snn,65,65,15.50208
snn,66,66,185.3683
snn,67,67,106.8666
snn,68,68,129.3532
snn,69,69,4.156299
snn,70,70,62.79651
snn,71,71,157.566
snn,72,72,0.0
snn,73,73,13.47121
snn,74,74,104.0451
snn,75,75,31.58577
snn,76,76,192.7028
snn,77,77,14.19704
snn,78,78,97.93845
snn,79,79,138.113
snn,80,80,103.6385
snn,81,81,382.5475
snn,82,82,41.64738
snn,83,83,195.8143
snn,84,84,51.74567
snn,85,85,4.794054
snn,86,86,131.5349
snn,87,87,46.84537
snn,88,88,38.76292
snn,89,89,48.64994
snn,90,90,19.41691
snn,91,91,5.395675
snn,92,92,158.8964
snn,93,93,154.5386
snn,94,94,0.0
snn,95,95,102.8808
snn,96,96,18.97309
snn,97,97,0.0
snn,98,98,6.033311
snn,99,99,176.1928
ann,0,0,1688.05917
ann,1,1,1818.229807
ann,2,2,1882.435312
ann,3,3,1535.452204
ann,4,4,1817.186665
ann,5,5,1683.3557420000002
ann,6,6,0.279856
ann,7,7,1811.5315300000002
ann,8,8,241.068008
ann,9,9,1867.965662
ann,10,10,1550.369084
ann,11,11,1789.389774
ann,12,12,182.900668
ann,13,13,1873.6422850000001
ann,14,14,1398.576425
ann,15,15,1519.73072
ann,16,16,370.713423
ann,17,17,1632.762238
ann,18,18,389.752826
ann,19,19,-0.38165499999999997
ann,20,20,1790.825495
ann,21,21,1550.659717
ann,22,22,204.84994899999998
ann,23,23,1775.146056
ann,24,24,386.83878100000004
ann,25,25,1771.591954
ann,26,26,1768.618933
ann,27,27,1616.266752
ann,28,28,2.433835
ann,29,29,1569.703833
ann,30,30,1755.4675849999999
ann,31,31,1899.147818
ann,32,32,608.093065
ann,33,33,1487.436569
ann,34,34,2.6660179999999998
ann,35,35,1720.86705
ann,36,36,1430.542055
ann,37,37,-1.1222930000000002
ann,38,38,498.461152
ann,39,39,623.60501
ann,40,40,400.72548399999994
ann,41,41,1803.567736
ann,42,42,1758.211158
ann,43,43,375.964582
ann,44,44,1817.363189
ann,45,45,2.562332
ann,46,46,1113.537829
ann,47,47,1744.4607290000001
ann,48,48,1720.258601
ann,49,49,1745.063022
ann,50,50,1631.608431
ann,51,51,447.510769
ann,52,52,1.5608790000000001
ann,53,53,1494.920396
ann,54,54,249.950599
ann,55,55,1800.3200089999998
ann,56,56,422.755262
ann,57,57,1777.536668
ann,58,58,938.9032569999999
ann,59,59,1717.168774
ann,60,60,1750.179213
ann,61,61,1789.4429089999999
ann,62,62,1623.9751700000002
ann,63,63,1781.38513
ann,64,64,0.7948189999999999
ann,65,65,1779.5724169999999
ann,66,66,1729.142421
ann,67,67,4.8868149999999995
ann,68,68,1632.310774
ann,69,69,1746.120547
ann,70,70,1733.421054
ann,71,71,1722.7099090000002
ann,72,72,1821.615738
ann,73,73,1786.994326
ann,74,74,1761.103421
ann,75,75,1727.713203
ann,76,76,184.40285699999998
ann,77,77,152.09812799999997
ann,78,78,1745.7036130000001
ann,79,79,970.584241
ann,80,80,1796.043239
ann,81,81,1848.6878339999998
ann,82,82,1558.2247830000001
ann,83,83,1799.1076879999998
ann,84,84,1523.092347
ann,85,85,1844.756237
ann,86,86,944.925935
ann,87,87,1766.719776
ann,88,88,4.404274
ann,89,89,1844.191742
ann,90,90,1696.881031
ann,91,91,1801.735135
ann,92,92,157.842238
ann,93,93,1823.91989
ann,94,94,1652.603651
ann,95,95,1742.936083
ann,96,96,1640.562036
ann,97,97,1845.730431
ann,98,98,1703.273173
ann,99,99,1717.991263
