agent,episode,seed,reward
snn,0,0,1485.922
snn,1,1,1331.418
snn,2,2,1477.402
snn,3,3,1471.72
snn,4,4,8.246522
snn,5,5,1471.027
snn,6,6,1484.342
snn,7,7,1480.851
snn,8,8,1.284543
snn,9,9,1527.789
snn,10,10,1564.181
snn,11,11,1410.288
snn,12,12,817.9998
snn,13,13,41.66645
snn,14,14,1371.203
snn,15,15,1358.18
snn,16,16,1477.875
snn,17,17,125.9459
snn,18,18,1438.733
snn,19,19,1400.189
snn,20,20,1447.935
snn,21,21,1502.918
snn,22,22,56.31311
snn,23,23,1459.854
snn,24,24,1491.152
snn,25,25,1418.785
snn,26,26,1529.365
snn,27,27,323.4381
snn,28,28,3.467296
snn,29,29,6.359835
snn,30,30,320.7718
snn,31,31,1550.525
snn,32,32,3.680358
snn,33,33,1491.871
snn,34,34,23.42394
snn,35,35,1503.17
snn,36,36,1.284543
snn,37,37,1471.333
snn,38,38,1477.976
snn,39,39,1455.731
snn,40,40,1455.35
snn,41,41,1437.859
snn,42,42,1562.177
snn,43,43,4.740513
snn,44,44,1419.285
snn,45,45,1519.247
snn,46,46,1536.985
snn,47,47,1427.58
snn,48,48,1508.691
snn,49,49,1339.166
snn,50,50,1486.289
snn,51,51,1520.866
snn,52,52,1435.254
snn,53,53,1387.386
snn,54,54,43.45252
snn,55,55,382.2798
snn,56,56,1515.962
snn,57,57,1448.074
snn,58,58,548.1217
snn,59,59,1.995117
snn,60,60,1537.091
snn,61,61,9.404062
snn,62,62,1433.205
snn,63,63,1450.105
snn,64,64,1450.395
snn,65,65,1343.225
snn,66,66,1466.116
snn,67,67,4.357891
snn,68,68,1368.406
snn,69,69,1498.949
snn,70,70,150.2283
snn,71,71,1467.093
snn,72,72,1480.321
snn,73,73,1525.279
snn,74,74,1478.0
snn,75,75,15.58935
snn,76,76,1540.22
snn,77,77,907.932
snn,78,78,1458.089
snn,79,79,1476.318
snn,80,80,1498.076
snn,81,81,1408.162
snn,82,82,1436.185
snn,83,83,1449.868
snn,84,84,1468.781
snn,85,85,1509.057
snn,86,86,1453.162
snn,87,87,14.26646
snn,88,88,1489.128
snn,89,89,1491.337
snn,90,90,1479.154
snn,91,91,126.1855
snn,92,92,1437.946
snn,93,93,1375.96
snn,94,94,1457.887
snn,95,95,401.5649
snn,96,96,1412.718
snn,97,97,1528.675
snn,98,98,45.23443
snn,99,99,1474.849
ann,0,0,1688.166577
ann,1,1,1818.2298289999999
ann,2,2,1882.4352369999997
ann,3,3,1535.452189
ann,4,4,1817.18667
ann,5,5,1683.3557449999998
ann,6,6,0.279856
ann,7,7,1811.5314770000002
ann,8,8,238.94369399999994
ann,9,9,1867.9657499999998
ann,10,10,1550.368875
ann,11,11,1789.3897729999999
ann,12,12,182.90065900000002
ann,13,13,1873.64226
ann,14,14,1401.5394740000002
ann,15,15,1519.730733
ann,16,16,370.713424
ann,17,17,1632.7623199999998
ann,18,18,389.75282200000004
ann,19,19,-0.381661
ann,20,20,1790.82547
ann,21,21,1550.6597590000001
ann,22,22,204.84995499999997
ann,23,23,1775.146049
ann,24,24,386.838749
ann,25,25,1771.591978
ann,26,26,1768.6189370000002
ann,27,27,1616.2667330000002
ann,28,28,2.433834
ann,29,29,1569.703865
ann,30,30,1755.467616
ann,31,31,1899.147873
ann,32,32,608.0531960000001
ann,33,33,1487.436676
ann,34,34,2.666019
ann,35,35,1720.867068
ann,36,36,1431.32379
ann,37,37,-1.1223030000000003
ann,38,38,498.461157
ann,39,39,623.6050190000001
ann,40,40,400.725481
ann,41,41,1804.8383119999999
ann,42,42,1758.2420220000001
ann,43,43,375.964595
ann,44,44,1817.363136
ann,45,45,2.562331
ann,46,46,1113.537847
ann,47,47,1744.4607959999998
ann,48,48,1720.173438
ann,49,49,1745.063051
ann,50,50,1631.608472
ann,51,51,447.51077000000004
ann,52,52,1.5608790000000001
ann,53,53,1494.920355
ann,54,54,249.9506
ann,55,55,1800.320087
ann,56,56,422.755266
ann,57,57,1777.536628
ann,58,58,938.90329
ann,59,59,1718.3369030000001
ann,60,60,1750.1509580000002
ann,61,61,1789.4308409999999
ann,62,62,1623.975144
ann,63,63,1781.385125
ann,64,64,0.7948189999999999
ann,65,65,1779.797158
ann,66,66,1729.3127709999999
ann,67,67,4.886815999999999
ann,68,68,1631.5676560000002
ann,69,69,1746.12053
ann,70,70,1733.421038
ann,71,71,1722.70992
ann,72,72,1821.615745
ann,73,73,1786.994314
ann,74,74,1761.2730419999998
ann,75,75,1727.7131869999998
ann,76,76,184.402876
ann,77,77,152.098076
ann,78,78,1745.703616
ann,79,79,970.5841890000002
ann,80,80,1796.0432230000001
ann,81,81,1848.687928
ann,82,82,1558.224797
ann,83,83,1799.10774
ann,84,84,1523.092573
ann,85,85,1844.756203
ann,86,86,944.4674580000001
ann,87,87,1766.7337309999998
ann,88,88,4.404274
ann,89,89,1844.191775
ann,90,90,1696.8810079999998
ann,91,91,1801.73512
ann,92,92,157.84224899999998
ann,93,93,1823.919924
ann,94,94,1652.6036669999999
ann,95,95,1742.9361400000003
ann,96,96,1640.5620370000001
ann,97,97,1845.7304049999998
ann,98,98,1703.2731600000002
ann,99,99,1717.991293
