step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.761664,-1.191336,1.619998,0.000000,0.000000,0.000000,0.660000,1.000000,0.440000,0.600000,0.300000,0.000000
1,1.761664,-1.191336,1.619998,0.042000,0.000000,0.000000,0.660000,1.000000,0.440000,0.600000,0.300000,0.042000
2,1.761643,-1.190916,1.619998,0.081895,0.006805,0.291035,0.660000,1.000000,0.440000,0.600000,0.300000,0.081895
3,1.761535,-1.190102,1.622908,0.122902,0.011000,0.374504,0.660000,1.000000,0.440000,0.600000,0.300000,0.122902
4,1.761361,-1.188880,1.626653,0.163867,0.014393,0.504733,0.680000,1.000000,0.440000,0.600000,0.300000,0.163867
5,1.761126,-1.187252,1.631701,0.204857,0.017531,0.631125,0.680000,1.000000,0.440000,0.600000,0.300000,0.204857
6,1.760826,-1.185218,1.638012,0.245867,0.020335,0.756053,0.700000,1.000000,0.420000,0.600000,0.300000,0.245867
7,1.760458,-1.182779,1.645572,0.286895,0.022737,0.879668,0.720000,1.000000,0.420000,0.600000,0.300000,0.286895
8,1.760017,-1.179935,1.654369,0.327941,0.024670,1.001851,0.740000,1.000000,0.420000,0.600000,0.300000,0.327941
9,1.759497,-1.176687,1.664387,0.369000,0.026068,1.122415,0.740000,1.000000,0.400000,0.600000,0.300000,0.369000
10,1.758893,-1.173038,1.675612,0.410066,0.026865,1.241145,0.720000,1.000000,0.400000,0.600000,0.300000,0.410066
11,1.758197,-1.168988,1.688023,0.451131,0.026998,1.357817,0.720000,1.000000,0.380000,0.600000,0.300000,0.451131
12,1.757401,-1.164539,1.701601,0.492182,0.026405,1.472202,0.720000,1.000000,0.360000,0.600000,0.300000,0.492182
13,1.756497,-1.159694,1.716323,0.533206,0.025026,1.584067,0.780000,1.000000,0.360000,0.600000,0.300000,0.533206
14,1.755477,-1.154454,1.732164,0.574184,0.022803,1.693184,0.820000,1.000000,0.340000,0.600000,0.300000,0.574184
15,1.754329,-1.148824,1.749096,0.615096,0.019681,1.799330,0.820000,1.000000,0.340000,0.600000,0.300000,0.615096
16,1.753044,-1.142805,1.767089,0.655918,0.015609,1.902292,0.820000,1.000000,0.320000,0.600000,0.300000,0.655918
17,1.751612,-1.136402,1.786112,0.696622,0.010537,2.001870,0.900000,1.000000,0.320000,0.500000,0.300000,0.696622
18,1.750021,-1.129619,1.806131,0.730178,0.004419,2.097883,0.920000,1.000000,0.300000,0.500000,0.300000,0.730178
19,1.748275,-1.122529,1.827110,0.763558,-0.002631,2.188296,0.920000,1.000000,0.280000,0.500000,0.300000,0.763558
