step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.753997,-0.611748,-0.221107,0.000000,0.000000,0.000000,0.300000,0.260000,0.240000,0.100000,-0.500000,0.000000
1,1.753997,-0.611748,-0.221107,0.007000,0.000000,0.000000,0.300000,0.260000,0.240000,0.100000,-0.500000,0.007000
2,1.754065,-0.611763,-0.221107,0.014000,0.000000,0.000000,0.300000,0.260000,0.240000,0.100000,-0.500000,0.014000
3,1.754202,-0.611794,-0.221107,0.016731,-0.007814,-0.334217,0.300000,0.260000,0.240000,0.100000,-0.500000,0.016731
4,1.754348,-0.611907,-0.224450,0.027224,-0.006697,0.194383,0.300000,0.260000,0.240000,0.100000,-0.500000,0.027224
5,1.754598,-0.612033,-0.222506,0.030051,-0.006788,-0.499942,0.300000,0.260000,0.240000,0.100000,-0.500000,0.030051
6,1.754877,-0.612165,-0.227505,0.038732,-0.010467,-0.037983,0.300000,0.260000,0.240000,0.100000,-0.500000,0.038732
7,1.755230,-0.612355,-0.227885,0.043042,-0.009401,-0.540077,0.300000,0.260000,0.240000,0.100000,-0.500000,0.043042
8,1.755628,-0.612543,-0.233286,0.050497,-0.013773,-0.248209,0.300000,0.260000,0.240000,0.100000,-0.500000,0.050497
9,1.756088,-0.612794,-0.235768,0.056013,-0.012940,-0.536732,0.300000,0.260000,0.240000,0.100000,-0.500000,0.056013
10,1.756602,-0.613051,-0.241135,0.062649,-0.016208,-0.435660,0.300000,0.260000,0.240000,0.100000,-0.500000,0.062649
11,1.757172,-0.613358,-0.245492,0.068717,-0.016774,-0.562501,0.300000,0.260000,0.240000,0.100000,-0.500000,0.068717
12,1.757798,-0.613687,-0.251117,0.075056,-0.018657,-0.578452,0.300000,0.260000,0.240000,0.100000,-0.500000,0.075056
13,1.758478,-0.614055,-0.256901,0.081298,-0.020004,-0.636603,0.300000,0.260000,0.240000,0.100000,-0.500000,0.081298
14,1.759214,-0.614455,-0.263267,0.087572,-0.021470,-0.682812,0.300000,0.260000,0.240000,0.100000,-0.500000,0.087572
15,1.760004,-0.614890,-0.270096,0.093843,-0.022888,-0.731072,0.300000,0.260000,0.240000,0.100000,-0.500000,0.093843
16,1.760847,-0.615361,-0.277406,0.100118,-0.024285,-0.778938,0.300000,0.260000,0.240000,0.100000,-0.500000,0.100118
17,1.761743,-0.615869,-0.285196,0.106396,-0.025657,-0.826638,0.300000,0.260000,0.240000,0.100000,-0.500000,0.106396
18,1.762692,-0.616414,-0.293462,0.112676,-0.027003,-0.874155,0.300000,0.260000,0.240000,0.100000,-0.500000,0.112676
19,1.763693,-0.616999,-0.302204,0.118959,-0.028320,-0.921477,0.300000,0.240000,0.240000,0.100000,-0.500000,0.118959
20,1.764744,-0.617623,-0.311418,0.125244,-0.029608,-0.968591,0.300000,0.240000,0.240000,0.100000,-0.500000,0.125244
21,1.765845,-0.618289,-0.321104,0.131531,-0.030865,-1.015486,0.300000,0.240000,0.240000,0.100000,-0.500000,0.131531
22,1.766996,-0.618997,-0.331259,0.137820,-0.032089,-1.062149,0.300000,0.240000,0.240000,0.100000,-0.600000,0.137820
23,1.768195,-0.619748,-0.341881,0.142441,-0.035331,-1.196340,0.300000,0.240000,0.240000,0.100000,-0.600000,0.142441
24,1.769418,-0.620559,-0.353844,0.147532,-0.038024,-1.293766,0.300000,0.240000,0.240000,0.100000,-0.600000,0.147532
25,1.770671,-0.621427,-0.366782,0.152927,-0.040254,-1.372374,0.300000,0.240000,0.240000,0.100000,-0.600000,0.152927
26,1.771954,-0.622351,-0.380505,0.158516,-0.042140,-1.440544,0.300000,0.240000,0.240000,0.100000,-0.600000,0.158516
27,1.773269,-0.623331,-0.394911,0.164230,-0.043777,-1.502496,0.320000,0.240000,0.240000,0.100000,-0.600000,0.164230
28,1.774617,-0.624367,-0.409936,0.170024,-0.045230,-1.560491,0.320000,0.260000,0.240000,0.100000,-0.600000,0.170024
29,1.775996,-0.625459,-0.425541,0.175870,-0.046542,-1.615812,0.320000,0.260000,0.220000,0.100000,-0.600000,0.175870
30,1.777405,-0.626609,-0.441699,0.181748,-0.047741,-1.669217,0.320000,0.260000,0.220000,0.100000,-0.600000,0.181748
31,1.778844,-0.627818,-0.458391,0.187647,-0.048846,-1.721168,0.320000,0.260000,0.220000,0.100000,-0.600000,0.187647
32,1.780311,-0.629086,-0.475603,0.193557,-0.049866,-1.771949,0.320000,0.260000,0.220000,0.100000,-0.600000,0.193557
33,1.781803,-0.630416,-0.493322,0.199472,-0.050811,-1.821743,0.340000,0.260000,0.220000,0.100000,-0.600000,0.199472
34,1.783320,-0.631808,-0.511540,0.205387,-0.051684,-1.870661,0.340000,0.260000,0.220000,0.100000,-0.600000,0.205387
35,1.784858,-0.633264,-0.530246,0.211298,-0.052487,-1.918775,0.340000,0.260000,0.220000,0.100000,-0.600000,0.211298
36,1.786415,-0.634785,-0.549434,0.217203,-0.053224,-1.966126,0.340000,0.260000,0.220000,0.100000,-0.600000,0.217203
37,1.787989,-0.636373,-0.569095,0.223098,-0.053893,-2.012738,0.320000,0.260000,0.220000,0.100000,-0.600000,0.223098
38,1.789578,-0.638030,-0.589223,0.228981,-0.054495,-2.058621,0.320000,0.260000,0.220000,0.100000,-0.600000,0.228981
39,1.791179,-0.639755,-0.609809,0.234849,-0.055030,-2.103777,0.320000,0.260000,0.220000,0.100000,-0.600000,0.234849
40,1.792789,-0.641551,-0.630847,0.240700,-0.055498,-2.148202,0.300000,0.260000,0.220000,0.100000,-0.600000,0.240700
41,1.794406,-0.643419,-0.652329,0.246532,-0.055897,-2.191889,0.320000,0.260000,0.220000,0.100000,-0.600000,0.246532
42,1.796025,-0.645360,-0.674247,0.252343,-0.056227,-2.234826,0.320000,0.280000,0.220000,0.100000,-0.600000,0.252343
43,1.797646,-0.647374,-0.696596,0.258130,-0.056488,-2.277000,0.340000,0.280000,0.220000,0.100000,-0.600000,0.258130
44,1.799263,-0.649464,-0.719366,0.263891,-0.056678,-2.318399,0.340000,0.280000,0.220000,0.100000,-0.600000,0.263891
45,1.800875,-0.651629,-0.742550,0.269624,-0.056798,-2.359006,0.360000,0.280000,0.220000,0.100000,-0.600000,0.269624
46,1.802477,-0.653871,-0.766140,0.275327,-0.056846,-2.398806,0.360000,0.280000,0.220000,0.100000,-0.600000,0.275327
47,1.804067,-0.656189,-0.790128,0.280996,-0.056821,-2.437785,0.380000,0.280000,0.220000,0.100000,-0.600000,0.280996
48,1.805641,-0.658585,-0.814506,0.286630,-0.056724,-2.475927,0.400000,0.300000,0.220000,0.100000,-0.600000,0.286630
49,1.807195,-0.661060,-0.839265,0.292227,-0.056553,-2.513218,0.420000,0.300000,0.240000,0.100000,-0.600000,0.292227
50,1.808726,-0.663612,-0.864397,0.297783,-0.056309,-2.549642,0.420000,0.300000,0.240000,0.100000,-0.600000,0.297783
51,1.810231,-0.666243,-0.889894,0.303296,-0.055991,-2.585185,0.420000,0.300000,0.240000,0.100000,-0.600000,0.303296
52,1.811705,-0.668952,-0.915745,0.308764,-0.055600,-2.619835,0.420000,0.300000,0.240000,0.100000,-0.600000,0.308764
53,1.813145,-0.671739,-0.941944,0.314184,-0.055134,-2.653577,0.400000,0.280000,0.240000,0.100000,-0.600000,0.314184
54,1.814547,-0.674604,-0.968480,0.319553,-0.054595,-2.686401,0.440000,0.280000,0.240000,0.100000,-0.600000,0.319553
55,1.815908,-0.677547,-0.995344,0.324870,-0.053981,-2.718295,0.480000,0.280000,0.240000,0.100000,-0.600000,0.324870
56,1.817223,-0.680566,-1.022526,0.330131,-0.053295,-2.749249,0.520000,0.300000,0.240000,0.100000,-0.600000,0.330131
57,1.818489,-0.683661,-1.050019,0.335334,-0.052535,-2.779253,0.520000,0.300000,0.260000,0.100000,-0.600000,0.335334
58,1.819702,-0.686831,-1.077812,0.340477,-0.051703,-2.808299,0.500000,0.320000,0.260000,0.100000,-0.600000,0.340477
59,1.820858,-0.690075,-1.105895,0.345556,-0.050800,-2.836380,0.560000,0.320000,0.260000,0.100000,-0.600000,0.345556
60,1.821953,-0.693392,-1.134258,0.350570,-0.049825,-2.863489,0.580000,0.340000,0.260000,0.100000,-0.600000,0.350570
61,1.822983,-0.696780,-1.162893,0.355515,-0.048781,-2.889622,0.580000,0.360000,0.280000,0.100000,-0.600000,0.355515
62,1.823946,-0.700237,-1.191789,0.360391,-0.047667,-2.914775,0.660000,0.400000,0.280000,0.100000,-0.600000,0.360391
63,1.824837,-0.703761,-1.220937,0.365193,-0.046486,-2.938944,0.640000,0.400000,0.260000,0.100000,-0.600000,0.365193
64,1.825652,-0.707351,-1.250327,0.369920,-0.045239,-2.962128,0.640000,0.380000,0.260000,0.100000,-0.600000,0.369920
65,1.826388,-0.711004,-1.279948,0.374570,-0.043927,-2.984328,0.680000,0.380000,0.240000,0.100000,-0.600000,0.374570
66,1.827041,-0.714719,-1.309791,0.379141,-0.042552,-3.005543,0.680000,0.400000,0.260000,0.100000,-0.600000,0.379141
67,1.827608,-0.718492,-1.339847,0.383630,-0.041115,-3.025776,0.720000,0.440000,0.260000,0.100000,-0.600000,0.383630
68,1.828086,-0.722320,-1.370104,0.388035,-0.039619,-3.045030,0.800000,0.480000,0.280000,0.100000,-0.600000,0.388035
69,1.828471,-0.726202,-1.400555,0.392355,-0.038066,-3.063310,0.800000,0.480000,0.280000,0.100000,-0.600000,0.392355
70,1.828761,-0.730133,-1.431188,0.396588,-0.036456,-3.080620,0.800000,0.480000,0.300000,0.100000,-0.500000,0.396588
71,1.828952,-0.734111,-1.461994,0.402170,-0.033625,-3.046949,0.840000,0.540000,0.320000,0.100000,-0.500000,0.402170
72,1.829054,-0.738145,-1.492463,0.407527,-0.031026,-3.021115,0.900000,0.540000,0.340000,0.100000,-0.500000,0.407527
73,1.829064,-0.742232,-1.522675,0.412691,-0.028607,-3.001546,0.900000,0.540000,0.360000,0.100000,-0.500000,0.412691
74,1.828977,-0.746368,-1.552690,0.417684,-0.026324,-2.987021,0.900000,0.620000,0.360000,0.100000,-0.500000,0.417684
75,1.828789,-0.750549,-1.582560,0.422524,-0.024143,-2.976579,0.960000,0.600000,0.340000,0.100000,-0.500000,0.422524
76,1.828498,-0.754771,-1.612326,0.427225,-0.022037,-2.969454,0.960000,0.640000,0.340000,0.100000,-0.500000,0.427225
77,1.828100,-0.759031,-1.642021,0.431798,-0.019985,-2.965027,0.960000,0.640000,0.360000,0.100000,-0.500000,0.431798
78,1.827594,-0.763324,-1.671671,0.436251,-0.017970,-2.962793,1.000000,0.680000,0.400000,0.100000,-0.500000,0.436251
79,1.826976,-0.767646,-1.701299,0.440591,-0.015978,-2.962337,1.000000,0.680000,0.440000,0.100000,-0.500000,0.440591
80,1.826244,-0.771994,-1.730922,0.444823,-0.013998,-2.963315,1.000000,0.760000,0.440000,0.100000,-0.400000,0.444823
