step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.777988,-1.056251,-1.808709,0.000000,0.000000,0.000000,0.820000,0.540000,0.360000,0.550000,0.550000,0.000000
1,1.777988,-1.056251,-1.808709,0.038500,0.000000,0.000000,0.820000,0.540000,0.360000,0.550000,0.550000,0.038500
2,1.777897,-1.056625,-1.808709,0.072221,0.007794,0.333364,0.820000,0.540000,0.360000,0.550000,0.550000,0.072221
3,1.777803,-1.057345,-1.805376,0.106935,0.015270,0.526300,0.820000,0.540000,0.360000,0.550000,0.550000,0.106935
4,1.777703,-1.058421,-1.800113,0.142005,0.021101,0.738496,0.820000,0.540000,0.360000,0.550000,0.550000,0.142005
5,1.777586,-1.059852,-1.792728,0.177256,0.026388,0.937673,0.800000,0.540000,0.360000,0.550000,0.550000,0.177256
6,1.777453,-1.061639,-1.783351,0.212620,0.031116,1.130878,0.800000,0.540000,0.360000,0.550000,0.550000,0.212620
7,1.777308,-1.063783,-1.772042,0.248074,0.035240,1.319309,0.800000,0.520000,0.360000,0.550000,0.550000,0.248074
8,1.777158,-1.066284,-1.758849,0.283607,0.038693,1.503113,0.740000,0.520000,0.360000,0.550000,0.550000,0.283607
9,1.777008,-1.069143,-1.743818,0.319207,0.041401,1.682069,0.740000,0.520000,0.340000,0.550000,0.550000,0.319207
10,1.776866,-1.072358,-1.726997,0.354863,0.043284,1.855802,0.720000,0.520000,0.320000,0.550000,0.550000,0.354863
11,1.776742,-1.075931,-1.708439,0.390559,0.044266,2.023864,0.720000,0.440000,0.280000,0.550000,0.550000,0.390559
12,1.776644,-1.079860,-1.688201,0.426275,0.044270,2.185787,0.700000,0.420000,0.280000,0.550000,0.550000,0.426275
13,1.776585,-1.084146,-1.666343,0.461986,0.043227,2.341104,0.680000,0.420000,0.280000,0.550000,0.550000,0.461986
14,1.776574,-1.088786,-1.642932,0.497660,0.041070,2.489375,0.680000,0.420000,0.260000,0.550000,0.550000,0.497660
15,1.776625,-1.093779,-1.618038,0.533262,0.037738,2.630197,0.620000,0.380000,0.260000,0.550000,0.550000,0.533262
16,1.776750,-1.099123,-1.591736,0.568749,0.033176,2.763220,0.620000,0.380000,0.260000,0.550000,0.550000,0.568749
17,1.776963,-1.104817,-1.564104,0.604077,0.027339,2.888162,0.600000,0.360000,0.260000,0.550000,0.550000,0.604077
18,1.777277,-1.110855,-1.535222,0.639194,0.020186,3.004811,0.540000,0.360000,0.260000,0.550000,0.550000,0.639194
19,1.777706,-1.117236,-1.505174,0.674046,0.011686,3.113036,0.500000,0.320000,0.260000,0.550000,0.550000,0.674046
20,1.778264,-1.123954,-1.474044,0.708576,0.001816,3.212787,0.480000,0.320000,0.240000,0.550000,0.550000,0.708576
21,1.778967,-1.131005,-1.441916,0.742723,-0.009439,3.304095,0.480000,0.300000,0.220000,0.550000,0.550000,0.742723
22,1.779828,-1.138383,-1.408875,0.776426,-0.022084,3.387074,0.460000,0.300000,0.200000,0.550000,0.550000,0.776426
23,1.780862,-1.146081,-1.375004,0.809622,-0.036117,3.461906,0.380000,0.300000,0.200000,0.550000,0.550000,0.809622
24,1.782082,-1.154093,-1.340385,0.842250,-0.051527,3.528842,0.360000,0.240000,0.180000,0.550000,0.550000,0.842250
25,1.783504,-1.162411,-1.305097,0.874246,-0.068296,3.588189,0.320000,0.220000,0.180000,0.550000,0.550000,0.874246
26,1.785141,-1.171026,-1.269215,0.905551,-0.086398,3.640299,0.320000,0.200000,0.160000,0.550000,0.550000,0.905551
27,1.787006,-1.179929,-1.232812,0.936106,-0.105799,3.685559,0.300000,0.200000,0.160000,0.550000,0.550000,0.936106
