step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.757083,-0.543794,0.597209,0.000000,0.000000,0.000000,0.260000,0.240000,0.280000,0.250000,-1.000000,0.000000
1,1.757083,-0.543794,0.597209,0.017500,0.000000,0.000000,0.260000,0.240000,0.280000,0.250000,-1.000000,0.017500
2,1.757228,-0.543695,0.597209,0.026635,-0.005371,-0.229722,0.260000,0.240000,0.280000,0.250000,-1.000000,0.026635
3,1.757478,-0.543590,0.594912,0.036368,-0.013013,-0.311544,0.260000,0.240000,0.280000,0.250000,-1.000000,0.036368
4,1.757852,-0.543494,0.591797,0.046642,-0.015093,-0.631472,0.260000,0.240000,0.280000,0.250000,-1.000000,0.046642
5,1.758324,-0.543359,0.585482,0.057485,-0.022949,-0.631214,0.260000,0.240000,0.260000,0.250000,-1.000000,0.057485
6,1.758930,-0.543233,0.579170,0.068385,-0.025667,-0.877263,0.240000,0.240000,0.260000,0.250000,-1.000000,0.068385
7,1.759642,-0.543073,0.570397,0.079528,-0.030910,-0.979307,0.240000,0.240000,0.260000,0.250000,-1.000000,0.079528
8,1.760479,-0.542904,0.560604,0.090740,-0.034967,-1.130873,0.240000,0.240000,0.260000,0.250000,-1.000000,0.090740
9,1.761433,-0.542718,0.549295,0.102050,-0.039052,-1.268727,0.240000,0.240000,0.260000,0.250000,-1.000000,0.102050
10,1.762507,-0.542518,0.536608,0.113439,-0.042938,-1.404380,0.240000,0.240000,0.260000,0.250000,-1.000000,0.113439
11,1.763702,-0.542307,0.522564,0.124905,-0.046628,-1.536914,0.240000,0.220000,0.260000,0.250000,-1.000000,0.124905
12,1.765017,-0.542088,0.507195,0.136443,-0.050108,-1.666128,0.240000,0.220000,0.260000,0.250000,-1.000000,0.136443
13,1.766453,-0.541863,0.490534,0.148052,-0.053365,-1.791812,0.240000,0.220000,0.260000,0.250000,-1.000000,0.148052
14,1.768010,-0.541636,0.472616,0.159729,-0.056383,-1.913740,0.240000,0.220000,0.280000,0.250000,-1.000000,0.159729
15,1.769689,-0.541411,0.453478,0.171471,-0.059147,-2.031680,0.240000,0.220000,0.280000,0.250000,-1.000000,0.171471
16,1.771490,-0.541191,0.433161,0.183276,-0.061644,-2.145401,0.240000,0.220000,0.260000,0.250000,-1.000000,0.183276
17,1.773412,-0.540982,0.411707,0.195139,-0.063859,-2.254673,0.240000,0.200000,0.260000,0.250000,-1.000000,0.195139
