step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.775724,-0.998124,2.235356,0.000000,0.000000,0.000000,0.200000,0.160000,0.120000,0.400000,-0.900000,0.000000
1,-1.775724,-0.998124,2.235356,0.028000,0.000000,0.000000,0.200000,0.160000,0.120000,0.400000,-0.800000,0.028000
2,-1.775897,-0.997903,2.235356,0.048993,-0.006805,-0.291038,0.200000,0.160000,0.120000,0.400000,-0.800000,0.048993
3,-1.776145,-0.997475,2.232445,0.070632,-0.014772,-0.463057,0.200000,0.160000,0.120000,0.400000,-0.800000,0.070632
4,-1.776463,-0.996827,2.227815,0.092685,-0.020533,-0.700882,0.200000,0.160000,0.120000,0.400000,-0.800000,0.092685
5,-1.776866,-0.995968,2.220806,0.115030,-0.026469,-0.895333,0.200000,0.160000,0.120000,0.400000,-0.800000,0.115030
6,-1.777352,-0.994892,2.211852,0.137552,-0.031899,-1.088308,0.220000,0.160000,0.120000,0.400000,-0.800000,0.137552
7,-1.777918,-0.993599,2.200969,0.160217,-0.036913,-1.275941,0.220000,0.160000,0.120000,0.400000,-0.800000,0.160217
8,-1.778564,-0.992087,2.188210,0.183004,-0.041488,-1.458312,0.220000,0.140000,0.120000,0.400000,-0.800000,0.183004
9,-1.779286,-0.990355,2.173627,0.205905,-0.045587,-1.635294,0.240000,0.140000,0.120000,0.400000,-0.800000,0.205905
10,-1.780077,-0.988400,2.157274,0.228909,-0.049169,-1.806602,0.240000,0.140000,0.120000,0.400000,-0.800000,0.228909
11,-1.780935,-0.986221,2.139208,0.252010,-0.052190,-1.971865,0.260000,0.140000,0.120000,0.400000,-0.800000,0.252010
12,-1.781852,-0.983817,2.119489,0.275198,-0.054607,-2.130675,0.280000,0.140000,0.140000,0.400000,-0.800000,0.275198
13,-1.782821,-0.981184,2.098182,0.298460,-0.056378,-2.282613,0.320000,0.140000,0.140000,0.400000,-0.800000,0.298460
14,-1.783836,-0.978321,2.075356,0.321781,-0.057465,-2.427272,0.360000,0.120000,0.140000,0.400000,-0.700000,0.321781
15,-1.784888,-0.975226,2.051084,0.346395,-0.057646,-2.556320,0.400000,0.120000,0.140000,0.400000,-0.700000,0.346395
16,-1.785978,-0.971888,2.025520,0.370974,-0.057123,-2.681056,0.500000,0.120000,0.140000,0.400000,-0.700000,0.370974
17,-1.787094,-0.968304,1.998710,0.395503,-0.055857,-2.800466,0.620000,0.140000,0.140000,0.400000,-0.700000,0.395503
18,-1.788227,-0.964474,1.970705,0.419961,-0.053813,-2.913811,0.620000,0.140000,0.140000,0.400000,-0.700000,0.419961
19,-1.789366,-0.960396,1.941567,0.444324,-0.050959,-3.020539,0.620000,0.140000,0.120000,0.400000,-0.700000,0.444324
20,-1.790501,-0.956070,1.911362,0.468564,-0.047272,-3.120240,0.820000,0.160000,0.120000,0.300000,-0.700000,0.468564
21,-1.791621,-0.951496,1.880159,0.485650,-0.042732,-3.212619,0.820000,0.160000,0.120000,0.300000,-0.700000,0.485650
22,-1.792692,-0.946740,1.848033,0.502566,-0.037577,-3.294363,1.000000,0.180000,0.100000,-0.800000,-0.700000,0.502566
23,-1.793706,-0.941803,1.815089,0.442281,-0.031812,-3.366431,1.000000,0.200000,0.100000,-0.800000,-0.700000,0.442281
24,-1.794467,-0.937435,1.781425,0.381958,-0.028356,-3.393654,1.000000,0.220000,0.100000,-0.800000,-0.700000,0.381958
25,-1.794989,-0.933641,1.747489,0.321732,-0.027257,-3.378196,1.000000,0.260000,0.100000,-0.800000,-0.700000,0.321732
26,-1.795286,-0.930425,1.713707,0.261818,-0.028393,-3.317904,1.000000,0.320000,0.100000,-0.700000,-0.800000,0.261818
27,-1.795378,-0.927793,1.680528,0.208162,-0.031876,-3.222267,1.000000,0.400000,0.100000,-0.700000,-0.700000,0.208162
28,-1.795289,-0.925689,1.648305,0.157292,-0.035678,-3.024881,1.000000,0.580000,0.120000,-0.400000,-0.600000,0.157292
29,-1.795055,-0.924094,1.618056,0.131493,-0.036603,-2.597949,1.000000,0.580000,0.120000,-0.400000,-0.600000,0.131493
30,-1.794751,-0.922763,1.592077,0.106213,-0.037764,-2.138584,1.000000,0.580000,0.140000,-0.400000,-0.600000,0.106213
31,-1.794397,-0.921693,1.570691,0.081503,-0.038593,-1.655721,1.000000,0.780000,0.140000,-0.100000,-0.400000,0.081503
32,-1.794011,-0.920878,1.554134,0.078393,-0.034919,-1.065630,1.000000,0.780000,0.140000,-0.100000,-0.400000,0.078393
33,-1.793648,-0.920100,1.543477,0.074530,-0.027651,-0.780635,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.074530
34,-1.793352,-0.919362,1.535671,0.069805,-0.021334,-0.614375,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.069805
35,-1.793114,-0.918672,1.529527,0.064219,-0.017351,-0.509796,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.064219
36,-1.792914,-0.918038,1.524429,0.058068,-0.014942,-0.446494,1.000000,1.000000,0.160000,0.400000,0.300000,0.058068
37,-1.792738,-0.917465,1.519964,0.083272,-0.005305,-0.056594,1.000000,1.000000,0.160000,0.400000,0.300000,0.083272
38,-1.792642,-0.916636,1.519398,0.108889,0.003847,0.205143,1.000000,1.000000,0.160000,0.400000,0.300000,0.108889
39,-1.792625,-0.915546,1.521450,0.135233,0.009917,0.390683,1.000000,1.000000,0.160000,0.400000,0.300000,0.135233
40,-1.792657,-0.914191,1.525357,0.162042,0.014107,0.523837,1.000000,1.000000,0.160000,0.400000,0.300000,0.162042
41,-1.792725,-0.912566,1.530595,0.189061,0.017332,0.636805,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.189061
42,-1.792822,-0.910670,1.536963,0.178552,0.008239,0.238596,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.178552
43,-1.792844,-0.908882,1.539349,0.168135,-0.000380,-0.105417,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.168135
44,-1.792787,-0.907202,1.538295,0.158004,-0.008232,-0.391283,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.158004
45,-1.792653,-0.905625,1.534382,0.148391,-0.014874,-0.609629,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.148391
46,-1.792451,-0.904148,1.528286,0.139500,-0.019851,-0.751526,1.000000,0.780000,0.160000,-0.100000,-0.400000,0.139500
