step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.383704,1.539623,1.883272,0.000000,0.000000,0.000000,0.300000,0.220000,0.220000,0.150000,-0.800000,0.000000
1,-1.383704,1.539623,1.883272,0.010500,0.000000,0.000000,0.300000,0.220000,0.220000,0.150000,-0.800000,0.010500
2,-1.383737,1.539723,1.883272,0.013994,-0.006805,-0.291038,0.300000,0.220000,0.220000,0.150000,-0.800000,0.013994
3,-1.383715,1.539877,1.880361,0.025138,-0.011577,-0.001297,0.300000,0.220000,0.220000,0.150000,-0.800000,0.025138
4,-1.383681,1.540152,1.880348,0.029961,-0.009579,-0.602686,0.300000,0.220000,0.220000,0.150000,-0.800000,0.029961
5,-1.383681,1.540467,1.874322,0.039085,-0.017781,-0.322082,0.300000,0.220000,0.220000,0.150000,-0.800000,0.039085
6,-1.383628,1.540893,1.871101,0.045851,-0.016216,-0.728725,0.300000,0.220000,0.220000,0.150000,-0.800000,0.045851
7,-1.383609,1.541379,1.863813,0.054003,-0.023165,-0.593331,0.300000,0.220000,0.220000,0.150000,-0.800000,0.054003
8,-1.383543,1.541963,1.857880,0.061419,-0.023769,-0.834392,0.300000,0.220000,0.220000,0.150000,-0.800000,0.061419
9,-1.383489,1.542619,1.849536,0.069267,-0.028069,-0.853277,0.300000,0.220000,0.220000,0.150000,-0.800000,0.069267
10,-1.383410,1.543362,1.841003,0.076949,-0.030491,-0.978125,0.300000,0.220000,0.220000,0.150000,-0.800000,0.076949
11,-1.383322,1.544185,1.831222,0.084716,-0.033474,-1.065452,0.300000,0.220000,0.220000,0.150000,-0.800000,0.084716
12,-1.383216,1.545090,1.820568,0.092486,-0.036248,-1.160574,0.340000,0.220000,0.200000,0.150000,-0.850000,0.092486
13,-1.383094,1.546076,1.808962,0.099290,-0.039547,-1.278407,0.340000,0.240000,0.200000,0.150000,-0.850000,0.099290
14,-1.382944,1.547134,1.796178,0.106334,-0.042663,-1.383104,0.340000,0.260000,0.200000,0.150000,-0.850000,0.106334
15,-1.382765,1.548266,1.782347,0.113531,-0.045566,-1.482921,0.340000,0.260000,0.200000,0.150000,-0.850000,0.113531
16,-1.382558,1.549471,1.767518,0.120830,-0.048297,-1.579358,0.340000,0.260000,0.200000,0.150000,-0.850000,0.120830
17,-1.382321,1.550751,1.751724,0.128203,-0.050880,-1.673144,0.340000,0.260000,0.200000,0.150000,-0.850000,0.128203
18,-1.382051,1.552103,1.734993,0.135629,-0.053330,-1.764685,0.340000,0.260000,0.200000,0.150000,-0.850000,0.135629
19,-1.381747,1.553529,1.717346,0.143097,-0.055652,-1.854202,0.340000,0.240000,0.200000,0.150000,-0.850000,0.143097
20,-1.381405,1.555026,1.698804,0.150598,-0.057849,-1.941806,0.340000,0.240000,0.220000,0.150000,-0.800000,0.150598
21,-1.381023,1.556593,1.679386,0.159113,-0.059341,-2.002724,0.340000,0.240000,0.220000,0.150000,-0.800000,0.159113
22,-1.380606,1.558239,1.659358,0.167473,-0.060819,-2.071103,0.340000,0.240000,0.220000,0.150000,-0.800000,0.167473
23,-1.380148,1.559961,1.638647,0.175731,-0.062266,-2.142639,0.340000,0.240000,0.220000,0.150000,-0.800000,0.175731
24,-1.379646,1.561757,1.617221,0.183917,-0.063660,-2.215335,0.340000,0.280000,0.220000,0.150000,-0.800000,0.183917
25,-1.379096,1.563623,1.595068,0.192049,-0.064977,-2.288125,0.380000,0.280000,0.220000,0.150000,-0.800000,0.192049
26,-1.378493,1.565559,1.572186,0.200140,-0.066201,-2.360361,0.380000,0.280000,0.200000,0.150000,-0.850000,0.200140
27,-1.377833,1.567561,1.548583,0.207324,-0.067713,-2.448518,0.380000,0.280000,0.200000,0.150000,-0.850000,0.207324
28,-1.377110,1.569619,1.524098,0.214572,-0.069048,-2.530577,0.380000,0.280000,0.200000,0.150000,-0.850000,0.214572
29,-1.376321,1.571730,1.498792,0.221865,-0.070203,-2.607808,0.380000,0.280000,0.220000,0.150000,-0.800000,0.221865
30,-1.375461,1.573893,1.472714,0.230037,-0.070812,-2.665459,0.380000,0.320000,0.240000,0.150000,-0.800000,0.230037
31,-1.374531,1.576113,1.446059,0.238138,-0.071295,-2.723829,0.400000,0.320000,0.240000,0.150000,-0.800000,0.238138
32,-1.373527,1.578387,1.418821,0.246175,-0.071644,-2.781920,0.400000,0.320000,0.240000,0.150000,-0.800000,0.246175
33,-1.372446,1.580712,1.391002,0.254150,-0.071855,-2.839084,0.400000,0.320000,0.220000,0.150000,-0.800000,0.254150
34,-1.371285,1.583084,1.362611,0.262066,-0.071920,-2.894881,0.400000,0.320000,0.220000,0.150000,-0.800000,0.262066
35,-1.370039,1.585499,1.333662,0.269922,-0.071836,-2.948998,0.400000,0.300000,0.220000,0.150000,-0.800000,0.269922
36,-1.368707,1.587954,1.304172,0.277714,-0.071598,-3.001205,0.420000,0.320000,0.260000,0.150000,-0.750000,0.277714
37,-1.367285,1.590444,1.274160,0.286249,-0.070838,-3.035701,0.420000,0.320000,0.260000,0.150000,-0.750000,0.286249
38,-1.365771,1.592975,1.243803,0.294636,-0.069985,-3.072077,0.420000,0.360000,0.260000,0.150000,-0.750000,0.294636
39,-1.364161,1.595540,1.213082,0.302887,-0.069027,-3.109243,0.440000,0.360000,0.260000,0.150000,-0.750000,0.302887
40,-1.362454,1.598136,1.181990,0.311010,-0.067951,-3.146418,0.440000,0.360000,0.300000,0.150000,-0.650000,0.311010
41,-1.360647,1.600756,1.150526,0.320659,-0.065701,-3.138236,0.460000,0.360000,0.300000,0.150000,-0.650000,0.320659
42,-1.358738,1.603416,1.119143,0.329988,-0.063563,-3.140293,0.460000,0.360000,0.280000,0.150000,-0.700000,0.329988
43,-1.356726,1.606107,1.087740,0.338252,-0.061984,-3.171214,0.480000,0.360000,0.280000,0.150000,-0.450000,0.338252
44,-1.354606,1.608815,1.056028,0.350400,-0.055784,-3.009223,0.500000,0.360000,0.280000,0.150000,-0.450000,0.350400
45,-1.352395,1.611590,1.025936,0.361738,-0.050799,-2.895773,0.500000,0.380000,0.280000,0.150000,-0.450000,0.361738
46,-1.350086,1.614420,0.996978,0.372478,-0.046678,-2.817414,0.520000,0.380000,0.280000,0.150000,-0.450000,0.372478
47,-1.347672,1.617295,0.968804,0.382767,-0.043162,-2.764477,0.540000,0.380000,0.280000,0.150000,-0.450000,0.382767
48,-1.345149,1.620205,0.941159,0.392705,-0.040063,-2.730169,0.560000,0.380000,0.320000,0.150000,-0.450000,0.392705
49,-1.342513,1.623144,0.913858,0.402362,-0.037245,-2.709688,0.580000,0.400000,0.320000,0.150000,-0.450000,0.402362
50,-1.339760,1.626102,0.886761,0.411786,-0.034608,-2.699586,0.600000,0.400000,0.320000,0.150000,-0.450000,0.411786
51,-1.336890,1.629075,0.859765,0.421010,-0.032077,-2.697340,0.620000,0.400000,0.320000,0.150000,-0.450000,0.421010
52,-1.333899,1.632056,0.832791,0.430058,-0.029598,-2.701070,0.640000,0.400000,0.320000,0.150000,-0.450000,0.430058
53,-1.330787,1.635038,0.805781,0.438946,-0.027127,-2.709348,0.680000,0.420000,0.320000,0.150000,-0.450000,0.438946
54,-1.327551,1.638017,0.778687,0.447687,-0.024632,-2.721078,0.700000,0.420000,0.340000,0.150000,-0.450000,0.447687
55,-1.324192,1.640986,0.751477,0.456286,-0.022087,-2.735404,0.740000,0.440000,0.340000,0.150000,-0.450000,0.456286
