step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999074,-0.043017,0.996834,-0.079509,0.044685,-0.097220,-1.000000,-0.976899
1,0.999845,-0.017583,0.991809,-0.127729,0.202852,-0.374835,-1.000000,-0.925794
2,0.999429,0.033793,0.975534,-0.219851,0.297461,-0.536510,-1.000000,-0.858570
3,0.995478,0.094990,0.945581,-0.325388,0.300233,-0.533275,-1.000000,-0.834507
4,0.989106,0.147207,0.911380,-0.411565,0.213064,-0.372062,-1.000000,-0.896201
5,0.984525,0.175243,0.890165,-0.455639,0.064485,-0.106189,-1.000000,-1.020116
6,0.985196,0.171429,0.894000,-0.448066,-0.102071,0.188969,1.000000,-1.263045
7,0.993770,0.111450,0.944619,-0.328170,-0.490060,1.087783,1.000000,-1.288943
8,0.999899,-0.014180,0.998853,-0.047886,-0.734471,1.709040,1.000000,-0.773568
9,0.986465,-0.163973,0.951078,0.308950,-0.725789,1.818765,1.000000,-0.205693
10,0.959026,-0.283317,0.799418,0.600775,-0.467336,1.418654,1.000000,-0.138395
11,0.941851,-0.336032,0.650493,0.759512,-0.076694,0.735168,1.000000,-0.566466
12,0.950088,-0.311981,0.595343,0.803471,0.324009,-0.031123,-1.000000,-1.414491
13,0.980836,-0.194834,0.701613,0.712559,0.866413,-1.348914,-1.000000,-2.026168
14,0.999849,0.017377,0.917646,0.397398,1.225974,-2.425863,-1.000000,-1.437305
15,0.963785,0.266679,0.991400,-0.130866,1.225498,-2.825117,-1.000000,-0.180467
16,0.888771,0.458352,0.791043,-0.611761,0.776743,-2.326646,-1.000000,0.343913
17,0.844572,0.535442,0.513729,-0.857953,0.096402,-1.365318,-1.000000,-0.084151
18,0.870333,0.492463,0.364646,-0.931146,-0.582717,-0.293924,-1.000000,-0.860721
19,0.941921,0.335836,0.407353,-0.913271,-1.105737,0.739271,1.000000,-1.710833
20,0.997626,0.068862,0.655321,-0.755350,-1.582747,2.169453,1.000000,-1.964085
21,0.964251,-0.264991,0.951278,-0.308334,-1.718309,3.134066,1.000000,-1.027697
22,0.835200,-0.549946,0.947267,0.320444,-1.331882,3.080046,1.000000,-0.111984
23,0.717766,-0.696284,0.652831,0.757503,-0.502312,2.169481,1.000000,-0.209716
24,0.714417,-0.699720,0.383829,0.923404,0.453369,0.982891,1.000000,-0.880137
25,0.827510,-0.561451,0.317694,0.948193,1.300453,-0.279241,-1.000000,-1.708204
26,0.967606,-0.252467,0.528842,0.848720,2.045940,-2.032403,-1.000000,-1.816387
27,0.981391,0.192021,0.895839,0.444379,2.352757,-3.369866,-1.000000,-0.502483
28,0.801072,0.598568,0.968817,-0.247779,2.015393,-3.503335,-1.000000,0.556092
29,0.574424,0.818558,0.649859,-0.760055,1.096064,-2.529536,-1.000000,0.038376
30,0.482244,0.876037,0.317308,-0.948323,-0.020792,-1.302127,-1.000000,-1.247635
31,0.580626,0.814171,0.191205,-0.981550,-1.126046,0.017262,1.000000,-2.713784
32,0.818823,0.574046,0.382080,-0.924129,-2.222747,1.996406,1.000000,-3.132482
33,0.996148,0.087693,0.834115,-0.551591,-2.928751,3.856044,1.000000,-0.697029
