step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.998529,0.054213,0.997197,0.074825,0.084991,-0.067818,-1.000000,-1.013290
1,0.996921,0.078411,0.999678,0.025371,0.150999,-0.414949,-1.000000,-1.019177
2,0.993833,0.110887,0.996522,-0.083328,0.165051,-0.648892,-1.000000,-0.933373
3,0.990216,0.139544,0.975274,-0.220997,0.113262,-0.716352,1.000000,-0.917191
4,0.991987,0.126338,0.957939,-0.286972,-0.244524,0.041370,1.000000,-1.071192
5,0.998928,0.046284,0.978115,-0.208065,-0.540704,0.748261,1.000000,-1.074294
6,0.996867,-0.079101,0.999967,-0.008160,-0.682446,1.211577,1.000000,-0.838697
7,0.977592,-0.210509,0.969248,0.246086,-0.611043,1.289833,1.000000,-0.605938
8,0.952279,-0.305230,0.885973,0.463738,-0.344300,0.995537,1.000000,-0.629367
9,0.941908,-0.335871,0.807161,0.590331,0.028996,0.474070,1.000000,-0.881088
10,0.955755,-0.294165,0.785528,0.618826,0.401706,-0.115131,-1.000000,-1.331960
11,0.986575,-0.163306,0.864793,0.502129,0.916594,-1.266475,-1.000000,-1.493146
12,0.998615,0.052622,0.983377,0.181576,1.199588,-2.083016,-1.000000,-0.866200
13,0.958139,0.286302,0.966254,-0.257590,1.111838,-2.223382,-1.000000,-0.151712
14,0.890383,0.455213,0.789955,-0.613165,0.665862,-1.689289,-1.000000,-0.147320
15,0.855191,0.518313,0.610061,-0.792354,0.043994,-0.828376,1.000000,-1.013612
16,0.892320,0.451403,0.600224,-0.799832,-0.792544,0.700268,1.000000,-2.031061
17,0.971661,0.236378,0.801904,-0.597454,-1.465380,2.128473,1.000000,-1.828625
18,0.995505,-0.094704,0.994133,-0.108162,-1.789279,3.048963,1.000000,-0.292232
19,0.906251,-0.422740,0.876960,0.480563,-1.531915,2.866287,1.000000,0.719052
20,0.779161,-0.626824,0.552863,0.833272,-0.833555,1.904144,1.000000,0.258750
21,0.724679,-0.689086,0.313814,0.949485,0.013626,0.751493,1.000000,-0.948591
22,0.781454,-0.623962,0.283282,0.959037,0.834145,-0.433243,-1.000000,-2.346955
23,0.914057,-0.405586,0.520181,0.854056,1.690914,-2.158262,-1.000000,-2.780495
24,0.999854,-0.017078,0.907063,0.420996,2.242106,-3.627627,-1.000000,-0.889879
25,0.907247,0.420597,0.942255,-0.334896,2.136503,-3.863320,-1.000000,1.248734
26,0.704133,0.710069,0.524797,-0.851228,1.348125,-2.792963,-1.000000,1.197327
27,0.574350,0.818610,0.125049,-0.992151,0.331528,-1.475888,-1.000000,-0.190923
28,0.604500,0.796605,-0.038174,-0.999271,-0.693819,-0.155241,1.000000,-2.148524
29,0.781340,0.624106,0.116611,-0.993178,-1.745595,1.720724,1.000000,-3.597642
30,0.970958,0.239251,0.609035,-0.793144,-2.525310,3.638938,1.000000,-2.423503
31,0.954201,-0.299167,0.999045,-0.043703,-2.794113,4.811642,1.000000,1.031066
32,0.692721,-0.721206,0.653428,0.756989,-2.091689,3.954933,1.000000,2.238955
33,0.441846,-0.897091,0.069334,0.997594,-0.958480,2.474652,1.000000,1.082767
34,0.376148,-0.926560,-0.281834,0.959463,0.237278,1.084536,-1.000000,-1.122591
35,0.533269,-0.845945,-0.311027,0.950401,1.500748,-0.796474,-1.000000,-3.555652
36,0.824176,-0.566334,0.044921,0.998991,2.510662,-2.848543,-1.000000,-4.281607
37,0.999651,-0.026434,0.737888,0.674924,3.178484,-4.940942,-1.000000,-1.238061
38,0.815741,0.578418,0.941208,-0.337826,3.054546,-5.467139,-1.000000,2.600888
39,0.433251,0.901274,0.274545,-0.961574,1.925607,-3.898851,-1.000000,2.682011
40,0.191637,0.981466,-0.337869,-0.941193,0.621288,-2.373706,-1.000000,1.152198
41,0.197876,0.980227,-0.629028,-0.777382,-0.676553,-0.980890,1.000000,-1.186357
42,0.451816,0.892111,-0.635022,-0.772494,-1.981970,0.929408,1.000000,-3.721255
43,0.824468,0.565908,-0.290786,-0.956788,-2.949818,3.037591,1.000000,-4.440304
44,0.998867,-0.047598,0.512788,-0.858515,-3.480055,5.279052,1.000000,-1.953281
45,0.730929,-0.682453,0.985965,0.166954,-3.359995,6.257372,1.000000,2.021004
46,0.263885,-0.964554,0.292639,0.956223,-2.064837,4.632367,1.000000,2.691330
47,0.001739,-0.999998,-0.449366,0.893348,-0.589801,3.059530,1.000000,1.973310
48,0.027586,-0.999619,-0.806050,0.591848,0.831737,1.650607,1.000000,0.518907
49,0.319585,-0.947558,-0.899959,0.435974,2.114254,0.157277,-1.000000,-1.660873
50,0.761126,-0.648604,-0.818264,0.574843,3.197275,-1.768465,-1.000000,-1.997263
51,0.999859,-0.016801,-0.404386,0.914589,3.556029,-3.627944,-1.000000,-0.719196
52,0.782319,0.622877,0.454280,0.890859,3.276582,-5.158815,-1.000000,-1.111572
