step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999027,0.044104,0.999426,-0.033865,0.006074,-0.091725,-1.000000,-0.993175
1,0.998625,0.052417,0.996939,-0.078181,0.073914,-0.342897,-1.000000,-0.947625
2,0.997441,0.071500,0.986376,-0.164505,0.110472,-0.508722,-1.000000,-0.864767
3,0.995638,0.093305,0.962923,-0.269777,0.100454,-0.548424,-1.000000,-0.790933
4,0.994097,0.108497,0.930193,-0.367072,0.046356,-0.459605,-1.000000,-0.779664
5,0.993929,0.110025,0.900218,-0.435439,-0.032847,-0.275718,-1.000000,-0.846590
6,0.995428,0.095514,0.885488,-0.464662,-0.110482,-0.049358,-1.000000,-0.962360
7,0.997699,0.067792,0.891067,-0.453871,-0.161593,0.164516,1.000000,-1.230012
8,0.999964,0.008482,0.937607,-0.347696,-0.418658,0.971575,1.000000,-1.373169
9,0.995813,-0.091409,0.995149,-0.098377,-0.554459,1.537175,1.000000,-1.018434
10,0.980118,-0.198417,0.973571,0.228384,-0.492457,1.674109,1.000000,-0.478248
11,0.962435,-0.271511,0.857618,0.514287,-0.234960,1.362094,1.000000,-0.233434
12,0.958986,-0.283454,0.727026,0.686610,0.114922,0.777329,-1.000000,-0.659424
13,0.978424,-0.206608,0.707612,0.706601,0.658319,-0.488410,-1.000000,-1.423478
14,0.999394,-0.034820,0.841405,0.540405,1.040649,-1.607160,-1.000000,-1.587232
15,0.981859,0.189612,0.985749,0.168223,1.161682,-2.314323,-1.000000,-0.967033
16,0.919467,0.393168,0.953940,-0.299999,0.909037,-2.298270,-1.000000,-0.318036
17,0.861467,0.507814,0.760426,-0.649424,0.342286,-1.650945,-1.000000,-0.303156
18,0.860786,0.508966,0.584021,-0.811739,-0.328858,-0.730015,-1.000000,-0.732961
19,0.918458,0.395519,0.543961,-0.839110,-0.918158,0.238637,1.000000,-1.392835
20,0.987259,0.159121,0.696701,-0.717361,-1.502802,1.681296,1.000000,-1.633298
21,0.985320,-0.170719,0.939509,-0.342526,-1.741686,2.713824,1.000000,-0.847723
22,0.876326,-0.481719,0.975362,0.220612,-1.480742,2.836175,1.000000,-0.064903
23,0.743850,-0.668346,0.748763,0.662838,-0.760254,2.091504,1.000000,-0.272509
24,0.700626,-0.713529,0.507740,0.861510,0.144786,1.018994,1.000000,-1.094632
25,0.779932,-0.625864,0.430386,0.902645,1.017373,-0.150591,1.000000,-1.780105
26,0.920379,-0.391027,0.558163,0.829732,1.678053,-1.300247,-1.000000,-1.904731
27,0.999971,-0.007577,0.845022,0.534732,2.189257,-2.758191,-1.000000,-0.886083
28,0.906579,0.422037,0.998068,-0.062136,2.132813,-3.295591,-1.000000,0.503238
29,0.696174,0.717873,0.785397,-0.618993,1.436798,-2.614290,-1.000000,0.428084
30,0.548475,0.836167,0.471787,-0.881713,0.433837,-1.481223,-1.000000,-0.800024
31,0.564824,0.825211,0.310072,-0.950713,-0.626869,-0.267116,-1.000000,-2.172721
32,0.734341,0.678780,0.381138,-0.924518,-1.586808,1.037168,1.000000,-3.038372
33,0.944878,0.327422,0.708856,-0.705354,-2.476822,2.902120,1.000000,-1.955588
34,0.978257,-0.207398,0.997934,-0.064246,-2.819788,4.046242,1.000000,0.970702
35,0.744401,-0.667733,0.760635,0.649180,-2.275582,3.417719,1.000000,1.938272
36,0.464550,-0.885547,0.308798,0.951128,-1.251765,2.069260,1.000000,0.603295
37,0.339549,-0.940588,0.030128,0.999546,-0.107126,0.781962,1.000000,-1.415934
38,0.426153,-0.904651,0.001717,0.999999,1.035747,-0.515057,-1.000000,-3.560258
39,0.696405,-0.717649,0.295008,0.955495,2.234918,-2.505153,-1.000000,-4.347737
40,0.967964,-0.251089,0.848813,0.528693,3.158908,-4.565962,-1.000000,-0.961702
41,0.919160,0.393884,0.904287,-0.426925,3.228605,-4.980198,-1.000000,3.039657
42,0.566226,0.824250,0.275392,-0.961332,2.328947,-3.413308,-1.000000,2.875256
