step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999178,-0.040526,0.999999,-0.001149,0.055127,-0.011068,-1.000000,-1.002348
1,0.999930,-0.011820,0.999167,-0.040817,0.224729,-0.373955,-1.000000,-0.956651
2,0.999001,0.044682,0.989846,-0.142147,0.325525,-0.617154,-1.000000,-0.862723
3,0.993803,0.111155,0.962482,-0.271346,0.323689,-0.671411,-1.000000,-0.790566
4,0.986055,0.166421,0.921838,-0.387574,0.220000,-0.532725,-1.000000,-0.815557
5,0.981105,0.193475,0.887670,-0.460480,0.048014,-0.257152,-1.000000,-0.935094
6,0.982902,0.184130,0.878897,-0.477012,-0.141351,0.070956,-1.000000,-1.072650
7,0.990138,0.140096,0.899344,-0.437241,-0.294873,0.363146,-1.000000,-1.145410
8,0.997359,0.072632,0.935946,-0.352144,-0.367718,0.538853,-1.000000,-1.130101
9,1.000000,0.000696,0.969249,-0.246083,-0.334519,0.543709,-1.000000,-1.074610
10,0.998531,-0.054184,0.988126,-0.153644,-0.200614,0.375427,-1.000000,-1.038401
11,0.997172,-0.075148,0.994342,-0.106223,-0.003944,0.091722,-1.000000,-1.025701
12,0.998464,-0.055410,0.992930,-0.118703,0.197081,-0.211563,-1.000000,-0.995113
13,1.000000,-0.000155,0.982831,-0.184510,0.342227,-0.433717,-1.000000,-0.930032
14,0.997211,0.074628,0.960506,-0.278258,0.388122,-0.502129,-1.000000,-0.876376
15,0.989142,0.146960,0.930619,-0.365990,0.322733,-0.399214,-1.000000,-0.896008
16,0.980528,0.196378,0.907854,-0.419286,0.167740,-0.164760,-1.000000,-0.994358
17,0.977710,0.209960,0.906176,-0.422901,-0.031642,0.126978,-1.000000,-1.107900
18,0.982806,0.184639,0.927286,-0.374354,-0.220077,0.390513,-1.000000,-1.157913
19,0.991840,0.127489,0.958848,-0.283919,-0.344290,0.543634,-1.000000,-1.118929
20,0.998493,0.054874,0.984239,-0.176843,-0.366960,0.527481,-1.000000,-1.039322
21,0.999934,-0.011517,0.996042,-0.088887,-0.281050,0.334655,-1.000000,-0.983308
22,0.998650,-0.051941,0.998631,-0.052306,-0.114297,0.019837,-1.000000,-0.957305
23,0.998474,-0.055228,0.996567,-0.082794,0.080796,-0.320152,-1.000000,-0.915365
24,0.999763,-0.021787,0.984746,-0.174000,0.243888,-0.578197,-1.000000,-0.836375
25,0.999324,0.036760,0.954477,-0.298284,0.325748,-0.670623,-1.000000,-0.772958
26,0.994849,0.101368,0.909000,-0.416795,0.305628,-0.569514,-1.000000,-0.803358
27,0.988332,0.152313,0.867882,-0.496771,0.196043,-0.309774,-1.000000,-0.944610
28,0.984504,0.175364,0.853579,-0.520963,0.032657,0.035498,-1.000000,-1.128286
29,0.986348,0.164672,0.874880,-0.484339,-0.138149,0.380627,-1.000000,-1.249627
30,0.992348,0.123470,0.920436,-0.390893,-0.267543,0.637798,-1.000000,-1.244664
31,0.997949,0.064011,0.965939,-0.258770,-0.313734,0.728740,-1.000000,-1.144623
32,0.999986,0.005301,0.992305,-0.123814,-0.257524,0.614496,-1.000000,-1.046566
33,0.999455,-0.033007,0.999606,-0.028062,-0.114927,0.323770,-1.000000,-1.009464
34,0.999283,-0.037873,1.000000,-0.000741,0.067818,-0.055512,-1.000000,-0.998806
