step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.172578,-1.633266,0.620955,0.000000,0.000000,0.000000,0.560000,0.260000,0.180000,0.100000,-0.500000,0.000000
1,0.172578,-1.633266,0.620955,0.007000,0.000000,0.000000,0.560000,0.260000,0.180000,0.100000,-0.500000,0.007000
2,0.172635,-1.633225,0.620955,0.014000,0.000000,0.000000,0.560000,0.260000,0.180000,0.100000,-0.500000,0.014000
3,0.172749,-1.633143,0.620955,0.016731,-0.007814,-0.334217,0.560000,0.260000,0.180000,0.100000,-0.500000,0.016731
4,0.172930,-1.633110,0.617613,0.027224,-0.006697,0.194383,0.560000,0.260000,0.180000,0.100000,-0.500000,0.027224
5,0.173191,-1.633007,0.619557,0.030051,-0.006788,-0.499942,0.560000,0.260000,0.180000,0.100000,-0.500000,0.030051
6,0.173475,-1.632887,0.614558,0.038732,-0.010467,-0.037983,0.560000,0.260000,0.180000,0.100000,-0.500000,0.038732
7,0.173852,-1.632750,0.614178,0.043042,-0.009401,-0.540077,0.560000,0.260000,0.180000,0.100000,-0.500000,0.043042
8,0.174258,-1.632578,0.608777,0.050497,-0.013773,-0.248209,0.580000,0.260000,0.180000,0.100000,-0.500000,0.050497
9,0.174751,-1.632403,0.606295,0.056013,-0.012940,-0.536732,0.580000,0.260000,0.180000,0.100000,-0.500000,0.056013
10,0.175285,-1.632190,0.600928,0.062649,-0.016208,-0.435660,0.600000,0.260000,0.180000,0.100000,-0.500000,0.062649
11,0.175893,-1.631969,0.596571,0.068717,-0.016774,-0.562501,0.600000,0.260000,0.180000,0.100000,-0.500000,0.068717
12,0.176556,-1.631722,0.590946,0.075056,-0.018657,-0.578452,0.620000,0.280000,0.200000,0.100000,-0.400000,0.075056
13,0.177283,-1.631459,0.585162,0.082656,-0.017254,-0.518995,0.640000,0.280000,0.200000,0.100000,-0.400000,0.082656
14,0.178068,-1.631146,0.579972,0.089415,-0.017554,-0.554975,0.640000,0.280000,0.200000,0.100000,-0.400000,0.089415
15,0.178912,-1.630803,0.574422,0.096030,-0.018487,-0.589495,0.660000,0.280000,0.200000,0.100000,-0.400000,0.096030
16,0.179818,-1.630436,0.568527,0.102597,-0.019546,-0.627497,0.860000,0.280000,0.200000,0.100000,-0.400000,0.102597
17,0.180788,-1.630049,0.562252,0.109150,-0.020635,-0.666192,1.000000,0.280000,0.200000,0.100000,-0.400000,0.109150
