step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.157894,1.808926,1.814979,0.000000,0.000000,0.000000,0.160000,0.160000,0.200000,0.600000,-0.600000,0.000000
1,-0.157894,1.808926,1.814979,0.042000,0.000000,0.000000,0.160000,0.160000,0.200000,0.600000,-0.600000,0.042000
2,-0.157995,1.809333,1.814979,0.078731,-0.007701,-0.329379,0.160000,0.160000,0.200000,0.400000,-0.800000,0.078731
3,-0.158111,1.810116,1.811686,0.100101,-0.015267,-0.539508,0.160000,0.160000,0.200000,0.600000,-0.800000,0.100101
4,-0.158202,1.811124,1.806291,0.135794,-0.021796,-0.762878,0.160000,0.160000,0.200000,0.600000,-0.800000,0.135794
5,-0.158306,1.812496,1.798662,0.171621,-0.027763,-0.984822,0.160000,0.160000,0.180000,0.600000,-0.800000,0.171621
6,-0.158424,1.814230,1.788814,0.207573,-0.033150,-1.201573,0.160000,0.160000,0.180000,0.600000,-0.600000,0.207573
7,-0.158549,1.816328,1.776798,0.246078,-0.037406,-1.392886,0.160000,0.160000,0.180000,0.000000,-0.600000,0.246078
8,-0.158686,1.818814,1.762869,0.242621,-0.040967,-1.583814,0.160000,0.160000,0.180000,0.000000,-0.600000,0.242621
9,-0.158747,1.821273,1.747031,0.239616,-0.044027,-1.735478,0.160000,0.160000,0.180000,0.000000,-0.600000,0.239616
10,-0.158734,1.823710,1.729676,0.237038,-0.046599,-1.854016,0.160000,0.160000,0.180000,0.000000,-0.600000,0.237038
11,-0.158649,1.826124,1.711136,0.234841,-0.048722,-1.945206,0.160000,0.160000,0.160000,0.000000,-0.600000,0.234841
12,-0.158495,1.828517,1.691684,0.232976,-0.050447,-2.014320,0.160000,0.140000,0.160000,0.000000,-0.600000,0.232976
13,-0.158275,1.830891,1.671541,0.231387,-0.051833,-2.065975,0.140000,0.140000,0.160000,0.000000,-0.600000,0.231387
14,-0.157992,1.833245,1.650881,0.230026,-0.052936,-2.104062,0.140000,0.140000,0.160000,0.000000,-0.600000,0.230026
15,-0.157648,1.835581,1.629840,0.228848,-0.053808,-2.131744,0.140000,0.140000,0.160000,0.000000,-0.600000,0.228848
16,-0.157246,1.837897,1.608523,0.227817,-0.054493,-2.151531,0.140000,0.140000,0.160000,0.000000,-0.600000,0.227817
17,-0.156788,1.840194,1.587008,0.226902,-0.055028,-2.165372,0.140000,0.140000,0.140000,0.000000,-0.600000,0.226902
18,-0.156274,1.842472,1.565354,0.226078,-0.055444,-2.174755,0.140000,0.140000,0.140000,0.000000,-0.600000,0.226078
19,-0.155708,1.844729,1.543606,0.225327,-0.055765,-2.180809,0.140000,0.140000,0.140000,0.000000,-0.600000,0.225327
20,-0.155089,1.846967,1.521798,0.224633,-0.056011,-2.184382,0.140000,0.140000,0.140000,0.000000,-0.600000,0.224633
21,-0.154419,1.849183,1.499954,0.223985,-0.056198,-2.186106,0.140000,0.140000,0.140000,0.000000,-0.600000,0.223985
22,-0.153700,1.851377,1.478093,0.223372,-0.056339,-2.186453,0.140000,0.120000,0.140000,0.000000,-0.600000,0.223372
23,-0.152933,1.853549,1.456229,0.222788,-0.056443,-2.185776,0.140000,0.120000,0.140000,0.000000,-0.600000,0.222788
24,-0.152117,1.855698,1.434371,0.222228,-0.056518,-2.184337,0.140000,0.120000,0.120000,0.000000,-0.600000,0.222228
25,-0.151255,1.857823,1.412528,0.221687,-0.056571,-2.182331,0.140000,0.120000,0.120000,0.000000,-0.600000,0.221687
26,-0.150347,1.859923,1.390704,0.221161,-0.056606,-2.179904,0.140000,0.120000,0.120000,0.000000,-0.600000,0.221161
27,-0.149394,1.861997,1.368905,0.220648,-0.056627,-2.177165,0.140000,0.120000,0.120000,0.000000,-0.600000,0.220648
28,-0.148397,1.864045,1.347134,0.220146,-0.056638,-2.174195,0.140000,0.120000,0.120000,0.000000,-0.600000,0.220146
29,-0.147356,1.866066,1.325392,0.219653,-0.056639,-2.171057,0.140000,0.120000,0.120000,0.000000,-0.600000,0.219653
30,-0.146273,1.868059,1.303681,0.219168,-0.056634,-2.167797,0.140000,0.120000,0.120000,0.200000,-0.600000,0.219168
31,-0.145148,1.870024,1.282003,0.232691,-0.056623,-2.164450,0.140000,0.120000,0.120000,0.000000,-0.600000,0.232691
32,-0.143943,1.872093,1.260359,0.231829,-0.056749,-2.191634,0.140000,0.120000,0.120000,0.000000,-0.600000,0.231829
33,-0.142694,1.874127,1.238442,0.231053,-0.056841,-2.209111,0.140000,0.120000,0.120000,0.000000,-0.800000,0.231053
34,-0.141403,1.876126,1.216351,0.227026,-0.059164,-2.316388,0.140000,0.120000,0.100000,0.200000,-0.800000,0.227026
