step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.876942,-0.803679,-1.469455,0.000000,0.000000,0.000000,0.740000,0.400000,0.240000,0.200000,-0.700000,0.000000
1,1.876942,-0.803679,-1.469455,0.014000,0.000000,0.000000,0.740000,0.400000,0.240000,0.200000,-0.700000,0.014000
2,1.876956,-0.803818,-1.469455,0.021817,-0.007341,-0.313982,0.740000,0.400000,0.240000,0.200000,-0.700000,0.021817
3,1.876905,-0.804043,-1.472595,0.034771,-0.012728,-0.164445,0.740000,0.400000,0.240000,0.200000,-0.700000,0.034771
4,1.876812,-0.804401,-1.474239,0.044878,-0.011737,-0.634800,0.740000,0.400000,0.240000,0.200000,-0.700000,0.044878
5,1.876739,-0.804859,-1.480587,0.056876,-0.019423,-0.472330,0.760000,0.400000,0.240000,0.200000,-0.700000,0.056876
6,1.876597,-0.805443,-1.485311,0.067855,-0.020612,-0.739212,0.760000,0.400000,0.240000,0.200000,-0.700000,0.067855
7,1.876449,-0.806137,-1.492703,0.079315,-0.025174,-0.785077,0.760000,0.400000,0.240000,0.200000,-0.700000,0.079315
8,1.876260,-0.806947,-1.500553,0.090645,-0.028271,-0.915225,0.760000,0.400000,0.260000,0.200000,-0.700000,0.090645
9,1.876042,-0.807871,-1.509706,0.102040,-0.031568,-1.025238,0.760000,0.400000,0.260000,0.200000,-0.700000,0.102040
10,1.875789,-0.808909,-1.519958,0.113455,-0.034732,-1.136047,0.800000,0.400000,0.260000,0.200000,-0.700000,0.113455
11,1.875500,-0.810060,-1.531319,0.124893,-0.037780,-1.245780,0.800000,0.480000,0.280000,0.200000,-0.700000,0.124893
12,1.875171,-0.811323,-1.543776,0.136354,-0.040704,-1.354314,0.800000,0.480000,0.280000,0.200000,-0.700000,0.136354
13,1.874801,-0.812697,-1.557319,0.147838,-0.043493,-1.461537,0.840000,0.480000,0.300000,0.200000,-0.600000,0.147838
14,1.874386,-0.814181,-1.571935,0.161206,-0.044272,-1.487664,0.840000,0.480000,0.300000,0.200000,-0.600000,0.161206
15,1.873942,-0.815792,-1.586811,0.174125,-0.045430,-1.546749,0.860000,0.480000,0.300000,0.200000,-0.600000,0.174125
16,1.873460,-0.817526,-1.602279,0.186805,-0.046785,-1.619692,0.860000,0.480000,0.280000,0.200000,-0.700000,0.186805
17,1.872933,-0.819378,-1.618476,0.197634,-0.049631,-1.760147,0.860000,0.560000,0.280000,0.200000,-0.700000,0.197634
18,1.872343,-0.821329,-1.636077,0.208648,-0.052176,-1.885594,0.900000,0.560000,0.280000,0.200000,-0.700000,0.208648
19,1.871687,-0.823377,-1.654933,0.219798,-0.054411,-2.001138,0.920000,0.560000,0.280000,0.200000,-0.700000,0.219798
20,1.870960,-0.825521,-1.674945,0.231047,-0.056342,-2.109482,0.920000,0.600000,0.280000,0.200000,-0.700000,0.231047
21,1.870159,-0.827761,-1.696039,0.242368,-0.057976,-2.212150,0.920000,0.600000,0.300000,0.200000,-0.600000,0.242368
22,1.869281,-0.830093,-1.718161,0.255456,-0.057881,-2.248495,0.940000,0.600000,0.340000,0.200000,-0.600000,0.255456
23,1.868334,-0.832535,-1.740646,0.268312,-0.057829,-2.297578,1.000000,0.640000,0.380000,0.200000,-0.500000,0.268312
24,1.867310,-0.835082,-1.763622,0.282673,-0.055648,-2.264569,1.000000,0.640000,0.380000,0.200000,-0.500000,0.282673
25,1.866222,-0.837749,-1.786267,0.296565,-0.053977,-2.262173,1.000000,0.720000,0.380000,0.200000,-0.500000,0.296565
26,1.865061,-0.840531,-1.808889,0.310127,-0.052599,-2.279229,1.000000,0.720000,0.380000,0.200000,-0.500000,0.310127
27,1.863818,-0.843421,-1.831681,0.323443,-0.051367,-2.308871,1.000000,0.720000,0.380000,0.200000,-0.500000,0.323443
28,1.862488,-0.846413,-1.854770,0.336569,-0.050178,-2.346740,1.000000,0.720000,0.460000,0.200000,-0.300000,0.336569
29,1.861063,-0.849504,-1.878238,0.352081,-0.043814,-2.170066,1.000000,0.760000,0.460000,0.200000,-0.300000,0.352081
30,1.859580,-0.852727,-1.899938,0.366970,-0.038929,-2.051204,1.000000,0.760000,0.440000,0.200000,-0.400000,0.366970
31,1.858025,-0.856074,-1.920450,0.380200,-0.037656,-2.083582,1.000000,0.820000,0.440000,0.200000,-0.400000,0.380200
32,1.856369,-0.859517,-1.941286,0.393322,-0.036310,-2.120332,1.000000,0.820000,0.520000,0.200000,-0.200000,0.393322
33,1.854607,-0.863051,-1.962489,0.408347,-0.029437,-1.928322,1.000000,0.820000,0.520000,0.200000,-0.200000,0.408347
34,1.852776,-0.866713,-1.981773,0.422937,-0.024110,-1.787488,1.000000,0.860000,0.520000,0.200000,-0.200000,0.422937
35,1.850865,-0.870494,-1.999647,0.437216,-0.019921,-1.685370,1.000000,0.880000,0.560000,0.200000,-0.100000,0.437216
36,1.848866,-0.874388,-2.016501,0.451707,-0.013511,-1.482300,1.000000,0.880000,0.560000,0.200000,-0.100000,0.451707
37,1.846797,-0.878405,-2.031324,0.465965,-0.008634,-1.324967,1.000000,0.880000,0.560000,0.200000,-0.100000,0.465965
38,1.844648,-0.882541,-2.044574,0.480063,-0.004919,-1.203485,0.540000,0.880000,0.540000,0.200000,-0.200000,0.480063
