step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.290728,-1.511182,-0.322119,0.000000,0.000000,0.000000,0.580000,1.000000,1.000000,0.750000,0.850000,0.000000
1,-0.290728,-1.511182,-0.322119,0.052500,0.000000,0.000000,0.580000,1.000000,1.000000,0.750000,0.850000,0.052500
2,-0.290230,-1.511348,-0.322119,0.097617,0.006485,0.277377,0.580000,1.000000,1.000000,0.750000,0.850000,0.097617
3,-0.289284,-1.511596,-0.319345,0.142920,0.013483,0.503139,0.580000,1.000000,1.000000,0.750000,0.850000,0.142920
4,-0.287884,-1.511917,-0.314313,0.188352,0.019776,0.734922,0.580000,1.000000,1.000000,0.750000,0.850000,0.188352
5,-0.286032,-1.512311,-0.306964,0.233903,0.025432,0.961932,0.580000,1.000000,1.000000,0.750000,0.850000,0.233903
6,-0.283725,-1.512775,-0.297345,0.279571,0.030314,1.182886,0.600000,1.000000,0.980000,0.750000,0.800000,0.279571
7,-0.280963,-1.513304,-0.285516,0.325799,0.034501,1.406423,0.600000,1.000000,0.800000,0.750000,0.400000,0.325799
8,-0.277740,-1.513891,-0.271452,0.376892,0.035613,1.536572,0.620000,1.000000,0.660000,0.750000,-1.000000,0.376892
9,-0.274014,-1.514558,-0.256086,0.421505,0.025770,1.239314,0.620000,1.000000,0.560000,0.750000,-0.450000,0.421505
10,-0.269871,-1.515377,-0.243693,0.470258,0.013376,0.821301,0.640000,1.000000,0.500000,0.750000,-0.550000,0.470258
11,-0.265275,-1.516382,-0.235480,0.517924,0.002475,0.429423,0.640000,1.000000,0.480000,0.750000,-0.550000,0.517924
12,-0.260233,-1.517566,-0.231186,0.565574,-0.006870,0.054410,0.640000,1.000000,0.460000,0.750000,-0.550000,0.565574
13,-0.254743,-1.518929,-0.230642,0.613285,-0.014414,-0.302972,0.640000,1.000000,0.480000,0.750000,-0.550000,0.613285
14,-0.248806,-1.520471,-0.233671,0.661109,-0.019955,-0.641953,0.640000,1.000000,0.500000,0.750000,-0.550000,0.661109
15,-0.242421,-1.522196,-0.240091,0.709069,-0.023327,-0.961880,0.620000,1.000000,0.540000,0.750000,-0.500000,0.709069
16,-0.235589,-1.524109,-0.249710,0.757702,-0.024323,-1.259058,0.620000,1.000000,0.600000,0.750000,-0.450000,0.757702
17,-0.228307,-1.526217,-0.262300,0.807006,-0.022709,-1.527120,0.600000,1.000000,0.720000,0.750000,-1.000000,0.807006
18,-0.220572,-1.528529,-0.277571,0.851477,-0.016892,-1.698918,0.580000,1.000000,0.880000,0.750000,0.600000,0.851477
19,-0.212429,-1.531024,-0.294561,0.898810,0.003903,-1.286340,0.560000,1.000000,1.000000,0.750000,0.850000,0.898810
20,-0.203817,-1.533597,-0.307424,0.943782,0.020241,-0.923610,0.560000,1.000000,1.000000,0.750000,0.850000,0.943782
21,-0.194760,-1.536260,-0.316660,0.988631,0.033645,-0.558287,0.540000,1.000000,1.000000,0.750000,0.850000,0.988631
22,-0.185261,-1.539018,-0.322243,1.033492,0.043869,-0.195403,0.540000,1.000000,1.000000,0.750000,0.850000,1.033492
23,-0.175319,-1.541875,-0.324197,1.078464,0.050706,0.160549,0.540000,1.000000,1.000000,0.750000,0.850000,1.078464
24,-0.164935,-1.544830,-0.322592,1.123610,0.053996,0.505482,0.540000,1.000000,1.000000,0.750000,0.850000,1.123610
25,-0.154107,-1.547880,-0.317537,1.168949,0.053625,0.835664,0.540000,1.000000,1.000000,0.750000,0.850000,1.168949
