step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.415605,1.379141,2.713151,0.000000,0.000000,0.000000,0.260000,0.240000,0.240000,0.081081,-0.621622,0.000000
1,-1.415605,1.379141,2.713151,0.005676,0.000000,0.000000,0.260000,0.240000,0.240000,0.081081,-0.621622,0.005676
2,-1.415657,1.379165,2.713151,0.011351,0.000000,0.000000,0.260000,0.240000,0.240000,0.081081,-0.621622,0.011351
3,-1.415760,1.379212,2.713151,0.011553,-0.007641,-0.326820,0.260000,0.240000,0.240000,0.081081,-0.621622,0.011553
4,-1.415833,1.379329,2.709883,0.021792,-0.007655,0.255002,0.260000,0.240000,0.240000,0.081081,-0.621622,0.021792
5,-1.415999,1.379490,2.712433,0.021996,-0.007419,-0.455184,0.260000,0.240000,0.240000,0.081081,-0.621622,0.021996
6,-1.416168,1.379649,2.707881,0.029937,-0.011203,0.018751,0.260000,0.240000,0.240000,0.081081,-0.621622,0.029937
7,-1.416393,1.379876,2.708069,0.031633,-0.009491,-0.572583,0.260000,0.240000,0.240000,0.081081,-0.621622,0.031633
8,-1.416640,1.380095,2.702343,0.038573,-0.014252,-0.177572,0.260000,0.240000,0.240000,0.081081,-0.621622,0.038573
9,-1.416929,1.380388,2.700567,0.041693,-0.012090,-0.608928,0.260000,0.240000,0.240000,0.081081,-0.621622,0.041693
10,-1.417254,1.380676,2.694478,0.047408,-0.017165,-0.353886,0.260000,0.240000,0.240000,0.081081,-0.621622,0.047408
11,-1.417607,1.381036,2.690939,0.051450,-0.015739,-0.631436,0.260000,0.220000,0.240000,0.081081,-0.621622,0.051450
12,-1.418002,1.381401,2.684625,0.056560,-0.019515,-0.516674,0.260000,0.220000,0.240000,0.081081,-0.621622,0.056560
13,-1.418423,1.381826,2.679458,0.061028,-0.019577,-0.666451,0.260000,0.220000,0.240000,0.081081,-0.621622,0.061028
14,-1.418882,1.382273,2.672794,0.065867,-0.021860,-0.658935,0.240000,0.220000,0.240000,0.081081,-0.621622,0.065867
15,-1.419371,1.382766,2.666204,0.070527,-0.022984,-0.731052,0.240000,0.220000,0.240000,0.081081,-0.621622,0.070527
16,-1.419893,1.383293,2.658894,0.075267,-0.024561,-0.770022,0.240000,0.220000,0.240000,0.081081,-0.621622,0.075267
17,-1.420446,1.383860,2.651193,0.079985,-0.025968,-0.819688,0.240000,0.220000,0.240000,0.081081,-0.621622,0.079985
18,-1.421029,1.384466,2.642997,0.084712,-0.027395,-0.866494,0.240000,0.220000,0.240000,0.081081,-0.621622,0.084712
19,-1.421642,1.385111,2.634332,0.089441,-0.028798,-0.913608,0.240000,0.220000,0.240000,0.081081,-0.621622,0.089441
20,-1.422284,1.385798,2.625196,0.094173,-0.030181,-0.960486,0.240000,0.220000,0.240000,0.081081,-0.621622,0.094173
21,-1.422954,1.386525,2.615591,0.098907,-0.031544,-1.007177,0.240000,0.220000,0.240000,0.081081,-0.621622,0.098907
22,-1.423651,1.387295,2.605519,0.103644,-0.032885,-1.053666,0.240000,0.220000,0.240000,0.081081,-0.621622,0.103644
23,-1.424374,1.388107,2.594982,0.108384,-0.034204,-1.099943,0.240000,0.220000,0.240000,0.081081,-0.621622,0.108384
24,-1.425122,1.388962,2.583983,0.113125,-0.035499,-1.145997,0.240000,0.220000,0.240000,0.081081,-0.621622,0.113125
25,-1.425894,1.389862,2.572523,0.117869,-0.036770,-1.191816,0.240000,0.220000,0.240000,0.081081,-0.621622,0.117869
26,-1.426689,1.390807,2.560605,0.122614,-0.038015,-1.237389,0.240000,0.220000,0.240000,0.081081,-0.621622,0.122614
27,-1.427505,1.391798,2.548231,0.127361,-0.039234,-1.282704,0.240000,0.220000,0.240000,0.081081,-0.621622,0.127361
28,-1.428342,1.392835,2.535404,0.132108,-0.040425,-1.327751,0.240000,0.220000,0.240000,0.081081,-0.621622,0.132108
29,-1.429197,1.393920,2.522126,0.136857,-0.041588,-1.372517,0.260000,0.220000,0.240000,0.081081,-0.621622,0.136857
30,-1.430070,1.395053,2.508401,0.141605,-0.042721,-1.416991,0.260000,0.220000,0.240000,0.081081,-0.621622,0.141605
31,-1.430959,1.396235,2.494231,0.146353,-0.043823,-1.461160,0.260000,0.220000,0.240000,0.081081,-0.621622,0.146353
32,-1.431862,1.397468,2.479620,0.151100,-0.044894,-1.505012,0.260000,0.240000,0.240000,0.081081,-0.621622,0.151100
33,-1.432778,1.398751,2.464569,0.155845,-0.045933,-1.548535,0.260000,0.240000,0.240000,0.081081,-0.621622,0.155845
34,-1.433705,1.400085,2.449084,0.160588,-0.046938,-1.591717,0.280000,0.240000,0.240000,0.081081,-0.621622,0.160588
35,-1.434641,1.401471,2.433167,0.165328,-0.047909,-1.634545,0.280000,0.240000,0.240000,0.081081,-0.621622,0.165328
36,-1.435585,1.402911,2.416821,0.170065,-0.048845,-1.677006,0.280000,0.240000,0.220000,0.081081,-0.675676,0.170065
37,-1.436534,1.404404,2.400051,0.173791,-0.050738,-1.761608,0.280000,0.240000,0.200000,0.081081,-0.702703,0.173791
38,-1.437473,1.405952,2.382435,0.177236,-0.052802,-1.849294,0.280000,0.240000,0.200000,0.081081,-0.702703,0.177236
39,-1.438395,1.407555,2.363942,0.180924,-0.054585,-1.922679,0.260000,0.220000,0.200000,0.081081,-0.702703,0.180924
40,-1.439301,1.409213,2.344716,0.184790,-0.056128,-1.986645,0.260000,0.220000,0.200000,0.081081,-0.702703,0.184790
41,-1.440192,1.410927,2.324849,0.188786,-0.057469,-2.044147,0.260000,0.220000,0.200000,0.081081,-0.702703,0.188786
42,-1.441065,1.412697,2.304408,0.192875,-0.058643,-2.097034,0.260000,0.220000,0.200000,0.081081,-0.702703,0.192875
43,-1.441921,1.414522,2.283437,0.197029,-0.059678,-2.146502,0.260000,0.200000,0.200000,0.081081,-0.702703,0.197029
44,-1.442758,1.416403,2.261972,0.201228,-0.060596,-2.193345,0.260000,0.200000,0.200000,0.081081,-0.702703,0.201228
45,-1.443573,1.418340,2.240039,0.205457,-0.061413,-2.238103,0.280000,0.220000,0.200000,0.081081,-0.702703,0.205457
46,-1.444366,1.420332,2.217658,0.209704,-0.062142,-2.281146,0.280000,0.220000,0.200000,0.081081,-0.702703,0.209704
