step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.372093,-1.594963,0.068413,0.000000,0.000000,0.000000,1.000000,1.000000,0.300000,0.100000,-1.000000,0.000000
1,-0.372093,-1.594963,0.068413,0.007000,0.000000,0.000000,1.000000,1.000000,0.300000,0.100000,-1.000000,0.007000
2,-0.372023,-1.594958,0.068413,0.014000,0.000000,0.000000,1.000000,1.000000,0.300000,0.100000,-1.000000,0.014000
3,-0.371883,-1.594948,0.068413,0.012635,-0.005371,-0.229722,1.000000,1.000000,0.300000,0.100000,-1.000000,0.012635
4,-0.371754,-1.594993,0.066116,0.014456,-0.013642,-0.130547,1.000000,1.000000,0.300000,0.100000,-1.000000,0.014456
5,-0.371600,-1.595120,0.064810,0.018464,-0.007716,-0.594771,1.000000,1.000000,0.300000,0.100000,-1.000000,0.018464
6,-0.371411,-1.595185,0.058863,0.023814,-0.016534,-0.259800,1.000000,1.000000,0.300000,0.100000,-1.000000,0.023814
7,-0.371164,-1.595336,0.056265,0.026136,-0.012580,-0.726427,1.000000,1.000000,0.300000,0.100000,-1.000000,0.026136
8,-0.370896,-1.595447,0.049000,0.030956,-0.021285,-0.426882,0.960000,1.000000,0.320000,0.100000,-1.000000,0.030956
9,-0.370576,-1.595644,0.044732,0.033981,-0.017852,-0.826197,0.960000,1.000000,0.320000,0.100000,-1.000000,0.033981
10,-0.370229,-1.595807,0.036470,0.038344,-0.025797,-0.589363,0.940000,1.000000,0.320000,0.100000,-1.000000,0.038344
11,-0.369836,-1.596051,0.030576,0.041704,-0.023224,-0.926226,0.920000,1.000000,0.320000,0.100000,-1.000000,0.041704
12,-0.369412,-1.596271,0.021314,0.045867,-0.029787,-0.767228,0.880000,1.000000,0.340000,0.100000,-1.000000,0.045867
13,-0.368947,-1.596559,0.013641,0.049446,-0.028652,-1.019612,0.860000,1.000000,0.340000,0.100000,-1.000000,0.049446
14,-0.368449,-1.596838,0.003445,0.053473,-0.033471,-0.952181,0.840000,1.000000,0.360000,0.100000,-1.000000,0.053473
15,-0.367913,-1.597171,-0.006077,0.057212,-0.033962,-1.113680,0.820000,1.000000,0.360000,0.100000,-1.000000,0.057212
16,-0.367343,-1.597514,-0.017213,0.061152,-0.037174,-1.128214,0.800000,1.000000,0.380000,0.100000,-1.000000,0.061152
17,-0.366738,-1.597897,-0.028495,0.064996,-0.038811,-1.224822,0.780000,1.000000,0.380000,0.100000,-1.000000,0.064996
18,-0.366099,-1.598303,-0.040744,0.068903,-0.041150,-1.281770,0.760000,1.000000,0.400000,0.100000,-1.000000,0.068903
19,-0.365427,-1.598742,-0.053561,0.072800,-0.043167,-1.353740,0.720000,1.000000,0.420000,0.100000,-1.000000,0.072800
20,-0.364724,-1.599212,-0.067099,0.076713,-0.045245,-1.420158,0.700000,1.000000,0.440000,0.100000,-1.000000,0.076713
21,-0.363989,-1.599715,-0.081300,0.080636,-0.047265,-1.487219,0.680000,1.000000,0.460000,0.100000,-1.000000,0.080636
22,-0.363223,-1.600252,-0.096173,0.084568,-0.049253,-1.553404,0.660000,1.000000,0.500000,0.100000,-1.000000,0.084568
23,-0.362429,-1.600823,-0.111707,0.088510,-0.051204,-1.618947,0.640000,1.000000,0.520000,0.100000,-1.000000,0.088510
24,-0.361606,-1.601431,-0.127896,0.092462,-0.053116,-1.683782,0.620000,1.000000,0.560000,0.100000,-1.000000,0.092462
25,-0.360757,-1.602075,-0.144734,0.096422,-0.054987,-1.747878,0.600000,1.000000,0.600000,0.100000,-1.000000,0.096422
26,-0.359882,-1.602759,-0.162213,0.100391,-0.056815,-1.811200,0.580000,1.000000,0.660000,0.100000,-1.000000,0.100391
27,-0.358983,-1.603482,-0.180325,0.104368,-0.058600,-1.873714,0.560000,1.000000,0.740000,0.100000,-0.400000,0.104368
28,-0.358061,-1.604245,-0.199062,0.115745,-0.049942,-1.490729,0.540000,1.000000,0.840000,0.100000,0.200000,0.115745
