step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.859003,1.434801,-0.760460,0.000000,0.000000,0.000000,0.040000,0.100000,0.780000,0.100000,0.666667,0.000000
1,0.859003,1.434801,-0.760460,0.007000,0.000000,0.000000,0.040000,0.100000,0.780000,0.100000,0.666667,0.007000
2,0.859054,1.434753,-0.760460,0.014000,0.000000,0.000000,0.040000,0.100000,0.780000,0.100000,0.666667,0.014000
3,0.859155,1.434656,-0.760460,0.015112,0.007484,0.320075,0.040000,0.100000,0.780000,0.100000,0.666667,0.015112
4,0.859316,1.434607,-0.757259,0.025093,0.009157,-0.107423,0.040000,0.100000,0.780000,0.100000,0.666667,0.025093
5,0.859562,1.434501,-0.758333,0.026850,0.008200,0.548611,0.040000,0.100000,0.780000,0.100000,0.666667,0.026850
6,0.859813,1.434376,-0.752847,0.035122,0.013631,0.134462,0.040000,0.100000,0.780000,0.100000,0.666667,0.035122
7,0.860163,1.434235,-0.751503,0.038741,0.011631,0.624634,0.040000,0.100000,0.780000,0.100000,0.666667,0.038741
8,0.860525,1.434055,-0.745256,0.045586,0.017580,0.349779,0.040000,0.100000,0.780000,0.100000,0.666667,0.045586
9,0.860979,1.433875,-0.741758,0.050458,0.016159,0.665581,0.040000,0.100000,0.780000,0.100000,0.666667,0.050458
10,0.861460,1.433654,-0.735103,0.056539,0.020733,0.545860,0.040000,0.100000,0.780000,0.100000,0.666667,0.056539
11,0.862019,1.433428,-0.729644,0.061930,0.020992,0.718280,0.040000,0.120000,0.780000,0.100000,0.666667,0.061930
12,0.862620,1.433172,-0.722461,0.067713,0.023764,0.720648,0.040000,0.120000,0.780000,0.100000,0.666667,0.067713
13,0.863286,1.432903,-0.715255,0.073322,0.025270,0.805142,0.040000,0.120000,0.760000,0.100000,0.666667,0.073322
14,0.864005,1.432612,-0.707203,0.079006,0.027216,0.858240,0.040000,0.120000,0.760000,0.100000,0.666667,0.079006
15,0.864782,1.432306,-0.698621,0.084676,0.029003,0.919920,0.040000,0.120000,0.760000,0.100000,0.666667,0.084676
16,0.865617,1.431983,-0.689422,0.090355,0.030788,0.979592,0.040000,0.120000,0.760000,0.100000,0.666667,0.090355
17,0.866510,1.431646,-0.679626,0.096038,0.032540,1.039175,0.040000,0.120000,0.760000,0.100000,0.666667,0.096038
18,0.867462,1.431296,-0.669234,0.101727,0.034260,1.098435,0.040000,0.120000,0.760000,0.100000,0.666667,0.101727
19,0.868472,1.430933,-0.658250,0.107421,0.035947,1.157363,0.040000,0.120000,0.760000,0.100000,0.666667,0.107421
20,0.869542,1.430561,-0.646676,0.113120,0.037599,1.215937,0.040000,0.120000,0.740000,0.100000,0.666667,0.113120
21,0.870671,1.430179,-0.634517,0.118823,0.039214,1.274138,0.040000,0.120000,0.740000,0.100000,0.666667,0.118823
22,0.871861,1.429791,-0.621775,0.124530,0.040790,1.331945,0.080000,0.120000,0.740000,0.100000,0.666667,0.124530
23,0.873110,1.429397,-0.608456,0.130240,0.042324,1.389334,0.080000,0.120000,0.700000,0.100000,0.666667,0.130240
24,0.874421,1.429000,-0.594563,0.135954,0.043817,1.446286,0.080000,0.120000,0.700000,0.100000,0.666667,0.135954
25,0.875793,1.428601,-0.580100,0.141670,0.045265,1.502776,0.080000,0.120000,0.680000,0.100000,0.666667,0.141670
26,0.877226,1.428203,-0.565072,0.147388,0.046666,1.558784,0.080000,0.120000,0.680000,0.100000,0.666667,0.147388
27,0.878720,1.427808,-0.549484,0.153107,0.048020,1.614286,0.080000,0.120000,0.680000,0.100000,0.666667,0.153107
28,0.880277,1.427418,-0.533341,0.158826,0.049323,1.669259,0.100000,0.140000,0.680000,0.100000,0.666667,0.158826
29,0.881895,1.427035,-0.516649,0.164544,0.050576,1.723681,0.100000,0.140000,0.680000,0.100000,0.666667,0.164544
30,0.883576,1.426662,-0.499412,0.170260,0.051774,1.777527,0.100000,0.140000,0.640000,0.100000,0.666667,0.170260
31,0.885318,1.426301,-0.481637,0.175973,0.052918,1.830775,0.100000,0.140000,0.620000,0.100000,0.666667,0.175973
32,0.887123,1.425955,-0.463329,0.181682,0.054006,1.883401,0.100000,0.140000,0.620000,0.100000,0.666667,0.181682
33,0.888990,1.425626,-0.444495,0.187385,0.055035,1.935380,0.100000,0.780000,0.620000,0.100000,0.111111,0.187385
34,0.890918,1.425317,-0.425141,0.196381,0.044632,1.500301,0.100000,0.760000,0.620000,0.100000,0.111111,0.196381
35,0.892891,1.424914,-0.410138,0.204853,0.035311,1.150226,0.100000,0.760000,0.620000,0.100000,0.111111,0.204853
36,0.894911,1.424421,-0.398636,0.212884,0.027761,0.887697,0.100000,0.760000,0.620000,0.100000,0.111111,0.212884
37,0.896980,1.423850,-0.389759,0.220562,0.022216,0.708826,0.100000,0.740000,0.620000,0.100000,0.500000,0.220562
38,0.899105,1.423218,-0.382671,0.224246,0.027185,0.971549,0.100000,0.740000,0.620000,0.100000,0.500000,0.224246
39,0.901287,1.422633,-0.372955,0.228393,0.031447,1.179130,0.100000,0.740000,0.560000,0.100000,-0.166667,0.228393
40,0.903528,1.422093,-0.361164,0.234336,0.021404,0.763262,0.100000,0.740000,0.560000,0.100000,-0.166667,0.234336
41,0.905796,1.421466,-0.353531,0.240211,0.012537,0.410040,0.100000,0.720000,0.560000,0.111111,-0.166667,0.240211
42,0.908093,1.420752,-0.349431,0.246932,0.005132,0.122505,0.100000,0.720000,0.560000,0.111111,-0.166667,0.246932
43,0.910431,1.419954,-0.348206,0.253805,-0.000705,-0.100413,0.100000,0.720000,0.560000,0.111111,-0.166667,0.253805
44,0.912814,1.419082,-0.349210,0.260855,-0.005097,-0.267001,0.100000,0.720000,0.560000,0.111111,-0.166667,0.260855
45,0.915248,1.418141,-0.351880,0.268066,-0.008306,-0.389503,0.100000,0.720000,0.560000,0.111111,-0.166667,0.268066
46,0.917735,1.417139,-0.355775,0.275403,-0.010616,-0.479951,0.100000,0.720000,0.560000,0.111111,-0.166667,0.275403
47,0.920280,1.416081,-0.360574,0.282834,-0.012269,-0.547980,0.100000,0.720000,0.560000,0.111111,-0.166667,0.282834
48,0.922883,1.414968,-0.366054,0.290331,-0.013449,-0.600567,0.080000,0.720000,0.560000,0.111111,-0.166667,0.290331
49,0.925546,1.413803,-0.372060,0.297874,-0.014287,-0.642535,0.080000,0.720000,0.580000,0.111111,0.500000,0.297874
50,0.928269,1.412587,-0.378485,0.301246,-0.004948,-0.252525,0.080000,0.720000,0.580000,0.111111,0.500000,0.301246
51,0.931050,1.411428,-0.381010,0.304665,0.003417,0.107843,0.080000,0.720000,0.580000,0.111111,0.500000,0.304665
52,0.933891,1.410327,-0.379932,0.308227,0.010812,0.436740,0.080000,0.720000,0.580000,0.111111,0.500000,0.308227
53,0.936793,1.409284,-0.375565,0.312010,0.017250,0.733112,0.080000,0.700000,0.580000,0.100000,0.500000,0.312010
54,0.939759,1.408300,-0.368233,0.315287,0.022753,0.996880,0.080000,0.700000,0.580000,0.100000,0.500000,0.315287
55,0.942783,1.407378,-0.358265,0.318865,0.027369,1.228730,0.080000,0.700000,0.540000,0.100000,-0.166667,0.318865
56,0.945865,1.406516,-0.345977,0.324888,0.017099,0.829246,0.080000,0.700000,0.540000,0.100000,-0.166667,0.324888
57,0.948979,1.405575,-0.337685,0.330857,0.008556,0.480849,0.080000,0.680000,0.540000,0.100000,0.333333,0.330857
58,0.952129,1.404559,-0.332876,0.335725,0.013968,0.711416,0.080000,0.680000,0.520000,0.090909,-0.166667,0.335725
59,0.955348,1.403594,-0.325762,0.341071,0.005962,0.382960,0.080000,0.680000,0.520000,0.100000,-0.166667,0.341071
60,0.958598,1.402559,-0.321933,0.347129,-0.000352,0.107692,0.080000,0.680000,0.520000,0.100000,-0.166667,0.347129
61,0.961890,1.401458,-0.320856,0.353309,-0.005148,-0.116663,0.080000,0.680000,0.520000,0.100000,-0.166667,0.353309
62,0.965227,1.400295,-0.322022,0.359622,-0.008666,-0.296239,0.080000,0.680000,0.520000,0.100000,-0.166667,0.359622
63,0.968611,1.399074,-0.324985,0.366057,-0.011157,-0.438675,0.080000,0.660000,0.520000,0.100000,0.333333,0.366057
64,0.972044,1.397800,-0.329372,0.370409,-0.002107,-0.091925,0.080000,0.660000,0.520000,0.100000,0.333333,0.370409
65,0.975542,1.396582,-0.330291,0.374882,0.005417,0.223142,0.060000,0.660000,0.500000,0.100000,-0.166667,0.374882
66,0.979106,1.395417,-0.328059,0.380989,-0.000555,-0.012777,0.060000,0.660000,0.500000,0.100000,-0.166667,0.380989
67,0.982711,1.394184,-0.328187,0.387207,-0.005067,-0.208913,0.060000,0.660000,0.500000,0.100000,-0.166667,0.387207
68,0.986360,1.392888,-0.330276,0.393542,-0.008362,-0.369653,0.060000,0.660000,0.500000,0.100000,-0.166667,0.393542
69,0.990055,1.391533,-0.333973,0.399981,-0.010678,-0.500436,0.060000,0.660000,0.500000,0.100000,-0.166667,0.399981
70,0.993799,1.390121,-0.338977,0.406508,-0.012227,-0.606672,0.800000,0.660000,0.540000,0.100000,-0.166667,0.406508
71,0.997592,1.388654,-0.345044,0.413102,-0.013183,-0.693190,0.800000,0.640000,0.540000,0.100000,-0.166667,0.413102
72,1.001435,1.387133,-0.351976,0.419747,-0.013687,-0.764049,0.800000,0.640000,0.520000,0.100000,-0.166667,0.419747
73,1.005328,1.385557,-0.359616,0.426427,-0.013847,-0.822547,0.800000,0.640000,0.520000,0.100000,-0.166667,0.426427
74,1.009271,1.383927,-0.367842,0.433131,-0.013747,-0.871311,0.800000,0.640000,0.520000,0.100000,-0.166667,0.433131
75,1.013263,1.382241,-0.376555,0.439848,-0.013448,-0.912415,0.800000,0.640000,0.520000,0.100000,-0.166667,0.439848
76,1.017304,1.380498,-0.385679,0.446570,-0.013000,-0.947484,0.800000,0.640000,0.520000,0.100000,-0.166667,0.446570
77,1.021393,1.378698,-0.395154,0.453292,-0.012436,-0.977789,0.800000,0.640000,0.520000,0.100000,-0.166667,0.453292
78,1.025528,1.376838,-0.404932,0.460009,-0.011783,-1.004323,0.800000,0.640000,0.520000,0.100000,-0.166667,0.460009
79,1.029710,1.374918,-0.414975,0.466717,-0.011061,-1.027863,0.800000,0.640000,0.500000,0.100000,-0.166667,0.466717
80,1.033937,1.372935,-0.425254,0.473414,-0.010283,-1.049014,0.820000,0.640000,0.500000,0.100000,-0.166667,0.473414
81,1.038207,1.370888,-0.435744,0.480096,-0.009460,-1.068254,0.820000,0.640000,0.500000,0.100000,-0.166667,0.480096
82,1.042519,1.368776,-0.446426,0.486763,-0.008598,-1.085954,0.820000,0.640000,0.500000,0.100000,-0.166667,0.486763
83,1.046873,1.366597,-0.457286,0.493412,-0.007703,-1.102409,0.820000,0.640000,0.540000,0.100000,-0.166667,0.493412
84,1.051266,1.364349,-0.468310,0.500044,-0.006779,-1.117850,0.820000,0.640000,0.540000,0.100000,-0.166667,0.500044
85,1.055697,1.362032,-0.479488,0.506656,-0.005827,-1.132457,0.900000,0.640000,0.520000,0.030303,-0.166667,0.506656
86,1.060165,1.359643,-0.490813,0.508369,-0.004850,-1.146376,0.900000,0.640000,0.520000,0.030303,-0.166667,0.508369
87,1.064626,1.357204,-0.502277,0.510066,-0.003903,-1.157937,0.900000,0.640000,0.520000,0.030303,-0.166667,0.510066
88,1.069078,1.354714,-0.513856,0.511745,-0.002992,-1.167581,0.220000,0.640000,0.520000,0.100000,0.333333,0.511745
89,1.073520,1.352172,-0.525532,0.516054,0.008493,-0.721728,0.220000,0.640000,0.520000,0.100000,0.333333,0.516054
90,1.078027,1.349657,-0.532749,0.520413,0.017515,-0.304449,0.920000,0.640000,0.520000,0.030303,-0.166667,0.520413
91,1.082599,1.347165,-0.535794,0.521617,0.012324,-0.431706,0.920000,0.640000,0.520000,0.030303,-0.166667,0.521617
92,1.087147,1.344608,-0.540111,0.522885,0.008244,-0.545936,0.920000,0.620000,0.500000,0.030303,-0.166667,0.522885
93,1.091674,1.341990,-0.545570,0.524216,0.005121,-0.647167,0.200000,0.620000,0.500000,0.100000,-0.166667,0.524216
94,1.096181,1.339313,-0.552042,0.530485,0.002806,-0.735974,0.920000,0.620000,0.500000,0.030303,-0.166667,0.530485
95,1.100713,1.336555,-0.559401,0.531925,0.001207,-0.814362,0.920000,0.620000,0.500000,0.030303,-0.166667,0.531925
96,1.105228,1.333742,-0.567545,0.533406,0.000164,-0.882195,0.920000,0.620000,0.540000,0.030303,-0.166667,0.533406
97,1.109726,1.330876,-0.576367,0.534920,-0.000429,-0.940611,0.920000,0.620000,0.540000,0.030303,-0.166667,0.534920
98,1.114209,1.327958,-0.585773,0.536457,-0.000663,-0.990730,0.180000,0.620000,0.540000,0.100000,0.333333,0.536457
99,1.118676,1.324986,-0.595680,0.540784,0.010326,-0.565789,0.940000,0.620000,0.540000,0.030303,-0.166667,0.540784
100,1.123210,1.322038,-0.601338,0.542087,0.007220,-0.664992,0.940000,0.620000,0.520000,0.030303,-0.166667,0.542087
101,1.127721,1.319030,-0.607988,0.543445,0.004918,-0.752591,0.940000,0.620000,0.520000,0.030303,-0.166667,0.543445
102,1.132210,1.315966,-0.615514,0.544851,0.003290,-0.829333,0.940000,0.620000,0.520000,0.030303,-0.166667,0.544851
103,1.136677,1.312847,-0.623807,0.546296,0.002219,-0.896144,0.160000,0.620000,0.520000,0.100000,0.333333,0.546296
104,1.141124,1.309674,-0.632769,0.550631,0.012736,-0.477801,0.960000,0.620000,0.520000,0.030303,-0.166667,0.550631
105,1.145640,1.306521,-0.637547,0.551895,0.009047,-0.589101,0.960000,0.620000,0.520000,0.030303,-0.166667,0.551895
106,1.150128,1.303308,-0.643438,0.553215,0.006276,-0.688080,0.960000,0.600000,0.520000,0.030303,-0.166667,0.553215
107,1.154592,1.300040,-0.650319,0.554587,0.004282,-0.775303,0.960000,0.600000,0.500000,0.030303,-0.166667,0.554587
108,1.159032,1.296716,-0.658072,0.556003,0.002936,-0.851611,0.960000,0.600000,0.500000,0.030303,-0.166667,0.556003
109,1.163449,1.293339,-0.666588,0.557454,0.002121,-0.917982,0.980000,0.600000,0.500000,0.030303,-0.166667,0.557454
110,1.167843,1.289909,-0.675768,0.558931,0.001739,-0.975443,0.980000,0.600000,0.500000,0.030303,-0.166667,0.558931
111,1.172215,1.286426,-0.685522,0.560426,0.001703,-1.025006,1.000000,0.600000,0.500000,0.100000,-0.166667,0.560426
112,1.176564,1.282891,-0.695772,0.566810,0.001939,-1.067630,1.000000,0.600000,0.500000,0.100000,-0.166667,0.566810
113,1.180927,1.279273,-0.706449,0.573196,0.002446,-1.105569,1.000000,0.600000,0.500000,0.100000,-0.166667,0.573196
114,1.185303,1.275571,-0.717504,0.579576,0.003178,-1.139439,1.000000,0.600000,0.500000,0.100000,-0.166667,0.579576
115,1.189691,1.271784,-0.728899,0.585947,0.004097,-1.169782,1.000000,0.620000,0.500000,0.100000,-0.166667,0.585947
116,1.194088,1.267912,-0.740596,0.592302,0.005173,-1.197074,1.000000,0.620000,0.500000,0.100000,-0.166667,0.592302
117,1.198495,1.263954,-0.752567,0.598638,0.006380,-1.221727,1.000000,0.620000,0.480000,0.100000,-0.166667,0.598638
118,1.202908,1.259909,-0.764784,0.604951,0.007697,-1.244100,1.000000,0.620000,0.480000,0.100000,-0.166667,0.604951
119,1.207326,1.255775,-0.777225,0.611239,0.009107,-1.264500,1.000000,0.620000,0.480000,0.100000,-0.166667,0.611239
120,1.211748,1.251554,-0.789870,0.617499,0.010596,-1.283192,1.000000,0.620000,0.480000,0.100000,-0.166667,0.617499
121,1.216170,1.247242,-0.802702,0.623728,0.012152,-1.300403,1.000000,0.620000,0.480000,0.030303,-0.166667,0.623728
122,1.220590,1.242841,-0.815706,0.625047,0.013766,-1.316329,1.000000,0.620000,0.480000,0.030303,-0.166667,0.625047
123,1.224975,1.238384,-0.828870,0.626335,0.015353,-1.329810,1.000000,0.640000,0.480000,0.030303,-0.166667,0.626335
124,1.229320,1.233870,-0.842168,0.627590,0.016904,-1.341205,1.000000,0.640000,0.480000,0.030303,-0.166667,0.627590
125,1.233625,1.229300,-0.855580,0.628814,0.018410,-1.350823,1.000000,0.640000,0.480000,0.030303,-0.166667,0.628814
126,1.237887,1.224674,-0.869088,0.630008,0.019866,-1.358927,1.000000,0.640000,0.480000,0.030303,-0.166667,0.630008
127,1.242106,1.219990,-0.882677,0.631172,0.021268,-1.365745,1.000000,0.640000,0.480000,0.030303,-0.166667,0.631172
128,1.246279,1.215250,-0.896335,0.632307,0.022615,-1.371471,1.000000,0.720000,0.480000,0.030303,-0.166667,0.632307
129,1.250404,1.210453,-0.910049,0.633414,0.023904,-1.376272,1.000000,0.720000,0.480000,0.030303,-0.166667,0.633414
130,1.254480,1.205598,-0.923812,0.634494,0.025137,-1.380290,1.000000,0.740000,0.480000,0.030303,-0.166667,0.634494
131,1.258505,1.200687,-0.937615,0.635549,0.026313,-1.383647,1.000000,0.740000,0.480000,0.030303,-0.166667,0.635549
132,1.262478,1.195719,-0.951452,0.636580,0.027434,-1.386446,1.000000,0.760000,0.480000,0.030303,-0.166667,0.636580
133,1.266397,1.190695,-0.965316,0.637587,0.028501,-1.388777,1.000000,0.760000,0.480000,0.030303,-0.166667,0.637587
134,1.270260,1.185615,-0.979204,0.638572,0.029516,-1.390715,1.000000,0.760000,0.480000,0.030303,-0.166667,0.638572
135,1.274066,1.180479,-0.993111,0.639536,0.030481,-1.392325,1.000000,0.780000,0.480000,0.030303,-0.166667,0.639536
