step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
1,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
2,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
3,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
4,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
5,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
6,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
7,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
8,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
9,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
10,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
11,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
12,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
13,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
14,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
15,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
16,1.621916,0.924733,-3.100172,0.000000,0.000000,0.000000,0.320000,0.300000,0.340000,0.000000,-0.600000,0.000000
