step,position,velocity,action,reward
0,-0.440646,0.000000,0,-1.011825
1,-0.442262,-0.001616,0,-1.022883
2,-0.445481,-0.003220,0,-1.032431
3,-0.450282,-0.004800,0,-1.039765
4,-0.456627,-0.006346,0,-1.044248
5,-0.464472,-0.007845,0,-1.045329
6,-0.473758,-0.009286,0,-1.042569
7,-0.484416,-0.010658,0,-1.035657
8,-0.496367,-0.011951,0,-1.024436
9,-0.509523,-0.013155,0,-1.008913
10,-0.523784,-0.014261,0,-0.989270
11,-0.539043,-0.015260,0,-0.965864
12,-0.555187,-0.016144,0,-0.939223
13,-0.572094,-0.016907,0,-0.910027
14,-0.589639,-0.017545,0,-0.879079
15,-0.607692,-0.018053,0,-0.847275
16,-0.626120,-0.018429,0,-0.815560
17,-0.644792,-0.018672,0,-0.784885
18,-0.663575,-0.018783,0,-0.756165
19,-0.682338,-0.018764,0,-0.730235
20,-0.700956,-0.018617,0,-0.707821
21,-0.719305,-0.018349,0,-0.689510
22,-0.737269,-0.017964,0,-0.675738
23,-0.754738,-0.017469,0,-0.666780
24,-0.771610,-0.016871,0,-0.662760
25,-0.787788,-0.016178,0,-0.663659
26,-0.803186,-0.015398,0,-0.669334
27,-0.817724,-0.014538,0,-0.679540
28,-0.831332,-0.013608,0,-0.693956
29,-0.843945,-0.012614,0,-0.712203
30,-0.855510,-0.011564,0,-0.733874
31,-0.865976,-0.010466,0,-0.758544
32,-0.875303,-0.009327,0,-0.785791
33,-0.883455,-0.008152,0,-0.815207
34,-0.890402,-0.006948,0,-0.846401
35,-0.896121,-0.005719,0,-0.879008
36,-0.900593,-0.004471,0,-0.912684
37,-0.903802,-0.003209,0,-0.947109
38,-0.905740,-0.001937,0,-0.981977
39,-0.906399,-0.000659,0,-1.016994
40,-0.905777,0.000621,2,-1.106334
41,-0.901878,0.003900,2,-1.193877
42,-0.894712,0.007166,2,-1.277957
43,-0.884303,0.010409,2,-1.356656
44,-0.870687,0.013616,2,-1.427717
45,-0.853913,0.016774,2,-1.488519
46,-0.834048,0.019865,2,-1.536099
47,-0.811177,0.022871,2,-1.567259
48,-0.785406,0.025770,2,-1.578761
49,-0.756868,0.028538,2,-1.567601
50,-0.725720,0.031148,2,-1.531366
51,-0.692147,0.033573,2,-1.468620
52,-0.656363,0.035784,2,-1.379282
53,-0.618610,0.037753,2,-1.264914
54,-0.579153,0.039456,2,-1.128863
55,-0.538282,0.040871,2,-0.976187
56,-0.496301,0.041981,2,-0.813356
57,-0.453524,0.042777,2,-0.647741
58,-0.410269,0.043255,2,-0.486952
59,-0.366848,0.043421,2,-0.338148
60,-0.323559,0.043289,2,-0.207395
61,-0.280682,0.042877,2,-0.099200
62,-0.238470,0.042212,2,-0.016263
63,-0.197146,0.041325,2,0.040545
64,-0.156896,0.040250,2,0.071998
65,-0.117875,0.039021,2,0.080185
66,-0.080199,0.037676,2,0.068114
67,-0.043951,0.036248,2,0.039311
68,-0.009181,0.034770,2,-0.002542
69,0.024090,0.033271,2,-0.053890
70,0.055867,0.031777,2,-0.111502
71,0.086179,0.030312,2,-0.172599
72,0.115075,0.028895,2,-0.234896
73,0.142618,0.027543,2,-0.296608
74,0.168886,0.026268,2,-0.356415
75,0.193968,0.025082,2,-0.413408
76,0.217962,0.023994,2,-0.467026
77,0.240971,0.023009,2,-0.516994
78,0.263106,0.022135,2,-0.563270
79,0.284480,0.021374,2,-0.605989
80,0.305210,0.020730,2,-0.645431
81,0.325418,0.020207,2,-0.681983
82,0.345224,0.019807,2,-0.716126
83,0.364756,0.019532,2,-0.748415
84,0.384142,0.019385,2,-0.779476
85,0.403511,0.019370,2,-0.810006
86,0.422999,0.019488,2,-0.840779
87,0.442745,0.019745,2,-0.872653
88,0.462889,0.020145,2,-0.906581
89,0.483581,0.020692,2,-0.943629
