step,position,velocity,action,reward
0,-0.417876,0.000000,0,-1.016516
1,-0.419656,-0.001780,0,-1.032104
2,-0.423203,-0.003547,0,-1.045860
3,-0.428491,-0.005288,0,-1.056925
4,-0.435483,-0.006992,0,-1.064510
5,-0.444128,-0.008645,0,-1.067925
6,-0.454364,-0.010236,0,-1.066603
7,-0.466115,-0.011751,0,-1.060132
8,-0.479295,-0.013180,0,-1.048282
9,-0.493807,-0.014511,0,-1.031023
10,-0.509541,-0.015735,0,-1.008543
11,-0.526381,-0.016840,0,-0.981256
12,-0.544200,-0.017819,0,-0.949791
13,-0.562865,-0.018665,0,-0.914977
14,-0.582236,-0.019371,0,-0.877810
15,-0.602169,-0.019933,0,-0.839405
16,-0.622519,-0.020350,0,-0.800948
17,-0.643137,-0.020618,0,-0.763631
18,-0.663878,-0.020741,0,-0.728600
19,-0.684598,-0.020720,0,-0.696899
20,-0.705156,-0.020559,0,-0.669420
21,-0.725420,-0.020263,0,-0.646879
22,-0.745260,-0.019840,0,-0.629787
23,-0.764558,-0.019298,0,-0.618452
24,-0.783202,-0.018644,0,-0.612985
25,-0.801090,-0.017888,0,-0.613316
26,-0.818129,-0.017039,0,-0.619226
27,-0.834235,-0.016106,0,-0.630372
28,-0.849334,-0.015099,0,-0.646324
29,-0.863361,-0.014027,0,-0.666597
30,-0.876259,-0.012898,0,-0.690677
31,-0.887978,-0.011719,0,-0.718046
32,-0.898477,-0.010499,0,-0.748204
33,-0.907721,-0.009244,0,-0.780677
34,-0.915681,-0.007960,0,-0.815030
35,-0.922332,-0.006652,0,-0.850868
36,-0.927657,-0.005325,0,-0.887835
37,-0.931641,-0.003984,0,-0.925612
38,-0.934274,-0.002633,0,-0.963905
39,-0.935549,-0.001275,0,-1.002444
40,-0.935463,0.000086,0,-1.040966
41,-0.934016,0.001447,0,-1.079209
42,-0.931211,0.002804,0,-1.116899
43,-0.927057,0.004155,0,-1.153742
44,-0.921563,0.005494,0,-1.189412
45,-0.914744,0.006818,0,-1.223550
46,-0.906621,0.008124,0,-1.255755
47,-0.897216,0.009405,0,-1.285586
48,-0.886560,0.010656,0,-1.312567
49,-0.874689,0.011871,0,-1.336193
50,-0.861645,0.013044,0,-1.355946
51,-0.847479,0.014166,0,-1.371316
52,-0.832248,0.015231,0,-1.381820
53,-0.816020,0.016229,0,-1.387040
54,-0.798868,0.017151,0,-1.386646
55,-0.780880,0.017989,0,-1.380436
56,-0.762147,0.018733,0,-1.368362
57,-0.742774,0.019373,0,-1.350558
58,-0.722873,0.019901,0,-1.327359
59,-0.702565,0.020308,0,-1.299302
60,-0.681979,0.020587,0,-1.267125
61,-0.661249,0.020730,0,-1.231745
62,-0.640515,0.020734,0,-1.194219
63,-0.619923,0.020593,0,-1.155701
64,-0.599618,0.020305,0,-1.117388
65,-0.579747,0.019870,0,-1.080460
66,-0.560458,0.019289,0,-1.046019
67,-0.541893,0.018565,0,-1.015041
68,-0.524191,0.017702,0,-0.988332
69,-0.507484,0.016707,0,-0.966496
70,-0.491898,0.015586,0,-0.949916
71,-0.477550,0.014349,0,-0.938753
72,-0.464545,0.013004,0,-0.932952
73,-0.452982,0.011564,0,-0.932256
74,-0.442944,0.010038,0,-0.936233
75,-0.434505,0.008439,0,-0.944300
76,-0.427726,0.006779,0,-0.955751
77,-0.422657,0.005070,0,-0.969788
78,-0.419333,0.003324,0,-0.985545
79,-0.417778,0.001555,0,-1.002112
80,-0.418004,-0.000226,0,-1.018561
81,-0.420008,-0.002005,0,-1.033967
82,-0.423777,-0.003769,0,-1.047428
83,-0.429284,-0.005507,0,-1.058094
84,-0.436488,-0.007204,0,-1.065187
85,-0.445339,-0.008850,0,-1.068029
86,-0.455771,-0.010432,0,-1.066074
87,-0.467708,-0.011937,0,-1.058931
88,-0.481062,-0.013354,0,-1.046393
89,-0.495735,-0.014673,0,-1.028457
90,-0.511616,-0.015881,0,-1.005341
91,-0.528587,-0.016971,0,-0.977485
92,-0.546521,-0.017934,0,-0.945546
93,-0.565283,-0.018762,0,-0.910376
94,-0.584733,-0.019450,0,-0.872989
95,-0.604727,-0.019994,0,-0.834511
96,-0.625119,-0.020392,0,-0.796132
97,-0.645761,-0.020642,0,-0.759043
98,-0.666507,-0.020746,0,-0.724379
99,-0.687214,-0.020707,0,-0.693167
100,-0.707743,-0.020528,0,-0.666279
101,-0.727959,-0.020217,0,-0.644403
102,-0.747737,-0.019778,0,-0.628028
103,-0.766958,-0.019221,0,-0.617435
104,-0.785512,-0.018554,0,-0.612709
105,-0.803297,-0.017785,0,-0.613763
106,-0.820222,-0.016925,0,-0.620357
107,-0.836205,-0.015983,0,-0.632137
108,-0.851172,-0.014967,0,-0.648664
109,-0.865059,-0.013887,0,-0.669448
110,-0.877810,-0.012751,0,-0.693973
111,-0.889377,-0.011567,0,-0.721723
112,-0.899719,-0.010342,0,-0.752199
113,-0.908801,-0.009083,0,-0.784934
114,-0.916596,-0.007795,0,-0.819496
115,-0.923081,-0.006484,0,-0.855496
116,-0.928237,-0.005156,0,-0.892583
117,-0.932050,-0.003813,0,-0.930440
118,-0.934511,-0.002461,0,-0.968779
119,-0.935613,-0.001102,0,-1.007331
120,-0.935355,0.000259,0,-1.045832
121,-0.933735,0.001619,0,-1.084021
122,-0.930759,0.002976,0,-1.121620
123,-0.926434,0.004325,0,-1.158333
124,-0.920772,0.005663,0,-1.193830
125,-0.913787,0.006985,0,-1.227746
126,-0.905499,0.008287,0,-1.259675
127,-0.895935,0.009565,0,-1.289172
128,-0.885123,0.010812,0,-1.315756
129,-0.873101,0.012022,0,-1.338920
130,-0.859912,0.013189,0,-1.358146
131,-0.845607,0.014304,0,-1.372925
132,-0.830246,0.015361,0,-1.382782
133,-0.813896,0.016350,0,-1.387306
134,-0.796634,0.017262,0,-1.386184
135,-0.778545,0.018089,0,-1.379230
136,-0.759726,0.018820,0,-1.366418
137,-0.740279,0.019446,0,-1.347908
138,-0.720320,0.019959,0,-1.324059
139,-0.699970,0.020350,0,-1.295436
140,-0.679357,0.020612,0,-1.262799
141,-0.658619,0.020739,0,-1.227086
142,-0.637895,0.020724,0,-1.189369
143,-0.617331,0.020564,0,-1.150811
144,-0.597073,0.020258,0,-1.112609
145,-0.577268,0.019805,0,-1.075937
146,-0.558063,0.019205,0,-1.041884
147,-0.539600,0.018463,0,-1.011406
148,-0.522016,0.017583,0,-0.985286
149,-0.505445,0.016571,0,-0.964099
150,-0.490009,0.015435,0,-0.948201
151,-0.475825,0.014184,0,-0.937725
152,-0.462999,0.012827,0,-0.932589
153,-0.451624,0.011375,0,-0.932512
154,-0.441785,0.009839,0,-0.937043
155,-0.433553,0.008232,0,-0.945579
156,-0.426988,0.006565,0,-0.957404
