step,position,velocity,action,reward
0,-0.546243,0.000000,0,-0.998278
1,-0.547074,-0.000830,0,-0.996385
2,-0.548728,-0.001654,0,-0.994155
3,-0.551194,-0.002466,0,-0.991438
4,-0.554453,-0.003259,0,-0.988103
5,-0.558482,-0.004028,0,-0.984045
6,-0.563249,-0.004767,0,-0.979188
7,-0.568719,-0.005470,0,-0.973495
8,-0.574852,-0.006133,0,-0.966961
9,-0.581603,-0.006750,0,-0.959623
10,-0.588920,-0.007317,0,-0.951557
11,-0.596751,-0.007831,0,-0.942872
12,-0.605037,-0.008286,0,-0.933716
13,-0.613719,-0.008682,0,-0.924263
14,-0.622732,-0.009014,0,-0.914712
15,-0.632014,-0.009281,0,-0.905277
16,-0.641496,-0.009482,0,-0.896185
17,-0.651113,-0.009617,0,-0.887663
18,-0.660796,-0.009683,0,-0.879931
19,-0.670479,-0.009683,0,-0.873199
20,-0.680096,-0.009617,0,-0.867656
21,-0.689582,-0.009486,0,-0.863465
22,-0.698874,-0.009292,0,-0.860762
23,-0.707911,-0.009037,0,-0.859650
24,-0.716635,-0.008724,0,-0.860197
25,-0.724990,-0.008356,0,-0.862439
26,-0.732926,-0.007936,0,-0.866376
27,-0.740393,-0.007467,0,-0.871978
28,-0.747346,-0.006953,0,-0.879183
29,-0.753744,-0.006398,0,-0.887906
30,-0.759550,-0.005806,0,-0.898036
31,-0.764730,-0.005180,0,-0.909442
32,-0.769256,-0.004526,0,-0.921978
33,-0.773102,-0.003846,0,-0.935483
34,-0.776246,-0.003144,0,-0.949786
35,-0.778671,-0.002426,0,-0.964708
36,-0.780365,-0.001694,0,-0.980063
37,-0.781318,-0.000953,0,-0.995662
38,-0.781525,-0.000207,0,-1.011315
39,-0.780985,0.000540,0,-1.026829
40,-0.779701,0.001284,0,-1.042014
41,-0.777679,0.002022,0,-1.056682
42,-0.774931,0.002748,0,-1.070651
43,-0.771471,0.003459,0,-1.083744
44,-0.767320,0.004152,0,-1.095795
45,-0.762499,0.004821,0,-1.106649
46,-0.757035,0.005463,0,-1.116166
47,-0.750961,0.006075,0,-1.124224
48,-0.744310,0.006651,0,-1.130724
49,-0.737123,0.007188,0,-1.135588
50,-0.729441,0.007682,0,-1.138771
51,-0.721312,0.008129,0,-1.140255
52,-0.712785,0.008527,0,-1.140056
53,-0.703914,0.008871,0,-1.138223
54,-0.694756,0.009158,0,-1.134842
55,-0.685371,0.009386,0,-1.130029
56,-0.675818,0.009552,0,-1.123934
57,-0.666164,0.009655,0,-1.116731
58,-0.656472,0.009692,0,-1.108620
59,-0.646810,0.009662,0,-1.099816
60,-0.637245,0.009565,0,-1.090543
61,-0.627844,0.009401,0,-1.081029
62,-0.618674,0.009170,0,-1.071495
63,-0.609801,0.008874,0,-1.062151
64,-0.601288,0.008513,0,-1.053186
65,-0.593197,0.008090,0,-1.044761
66,-0.585589,0.007609,0,-1.037008
67,-0.578518,0.007071,0,-1.030022
68,-0.572037,0.006481,0,-1.023861
69,-0.566194,0.005843,0,-1.018543
70,-0.561033,0.005161,0,-1.014050
71,-0.556591,0.004442,0,-1.010325
72,-0.552903,0.003689,0,-1.007281
73,-0.549995,0.002908,0,-1.004799
74,-0.547889,0.002106,0,-1.002739
75,-0.546601,0.001288,0,-1.000943
76,-0.546141,0.000460,0,-0.999242
77,-0.546511,-0.000371,0,-0.997465
78,-0.547710,-0.001199,0,-0.995441
79,-0.549729,-0.002018,0,-0.993011
80,-0.552551,-0.002823,0,-0.990033
81,-0.556157,-0.003606,0,-0.986387
82,-0.560519,-0.004362,0,-0.981980
83,-0.565605,-0.005086,0,-0.976753
84,-0.571376,-0.005771,0,-0.970682
85,-0.577790,-0.006414,0,-0.963783
86,-0.584800,-0.007010,0,-0.956109
87,-0.592353,-0.007553,0,-0.947751
88,-0.600395,-0.008041,0,-0.938836
89,-0.608865,-0.008470,0,-0.929524
90,-0.617703,-0.008838,0,-0.920002
91,-0.626844,-0.009141,0,-0.910475
92,-0.636223,-0.009379,0,-0.901165
93,-0.645774,-0.009551,0,-0.892299
94,-0.655429,-0.009655,0,-0.884103
95,-0.665120,-0.009692,0,-0.876793
96,-0.674782,-0.009662,0,-0.870569
97,-0.684348,-0.009566,0,-0.865610
98,-0.693755,-0.009407,0,-0.862068
99,-0.702940,-0.009185,0,-0.860064
100,-0.711845,-0.008904,0,-0.859686
101,-0.720411,-0.008566,0,-0.860987
102,-0.728586,-0.008175,0,-0.863987
103,-0.736318,-0.007732,0,-0.868672
104,-0.743561,-0.007243,0,-0.874999
105,-0.750271,-0.006710,0,-0.882893
106,-0.756409,-0.006138,0,-0.892259
107,-0.761940,-0.005531,0,-0.902975
108,-0.766832,-0.004892,0,-0.914904
109,-0.771057,-0.004225,0,-0.927893
110,-0.774592,-0.003535,0,-0.941776
111,-0.777417,-0.002825,0,-0.956377
112,-0.779518,-0.002101,0,-0.971516
113,-0.780882,-0.001364,0,-0.987003
114,-0.781503,-0.000621,0,-1.002650
115,-0.781376,0.000126,0,-1.018265
116,-0.780504,0.000873,0,-1.033655
117,-0.778889,0.001614,0,-1.048632
118,-0.776542,0.002347,0,-1.063011
119,-0.773474,0.003067,0,-1.076610
120,-0.769704,0.003771,0,-1.089259
121,-0.765250,0.004453,0,-1.100794
122,-0.760139,0.005111,0,-1.111068
123,-0.754399,0.005740,0,-1.119948
124,-0.748063,0.006336,0,-1.127322
125,-0.741167,0.006895,0,-1.133099
126,-0.733754,0.007414,0,-1.137218
127,-0.725867,0.007887,0,-1.139643
128,-0.717554,0.008313,0,-1.140372
129,-0.708867,0.008687,0,-1.139436
130,-0.699861,0.009006,0,-1.136900
131,-0.690594,0.009267,0,-1.132864
132,-0.681126,0.009468,0,-1.127458
133,-0.671520,0.009606,0,-1.120846
134,-0.661841,0.009679,0,-1.113212
135,-0.652154,0.009687,0,-1.104764
136,-0.642527,0.009627,0,-1.095723
137,-0.633027,0.009500,0,-1.086315
138,-0.623721,0.009306,0,-1.076765
139,-0.614675,0.009046,0,-1.067291
140,-0.605955,0.008720,0,-1.058094
141,-0.597623,0.008332,0,-1.049352
142,-0.589740,0.007883,0,-1.041212
143,-0.582365,0.007375,0,-1.033792
144,-0.575551,0.006814,0,-1.027169
145,-0.569349,0.006202,0,-1.021385
146,-0.563805,0.005544,0,-1.016439
147,-0.558960,0.004845,0,-1.012298
148,-0.554851,0.004109,0,-1.008889
149,-0.551508,0.003343,0,-1.006112
150,-0.548955,0.002553,0,-1.003837
151,-0.547212,0.001743,0,-1.001915
152,-0.546293,0.000920,0,-1.000182
153,-0.546203,0.000090,0,-0.998469
154,-0.546944,-0.000741,0,-0.996602
155,-0.548510,-0.001566,0,-0.994416
156,-0.550890,-0.002379,0,-0.991758
157,-0.554065,-0.003175,0,-0.988495
158,-0.558012,-0.003947,0,-0.984519
159,-0.562701,-0.004689,0,-0.979752
160,-0.568097,-0.005397,0,-0.974149
161,-0.574161,-0.006064,0,-0.967705
162,-0.580847,-0.006686,0,-0.960451
163,-0.588106,-0.007259,0,-0.952458
164,-0.595884,-0.007778,0,-0.943834
165,-0.604124,-0.008240,0,-0.934720
166,-0.612766,-0.008642,0,-0.925290
167,-0.621747,-0.008981,0,-0.915739
168,-0.631003,-0.009256,0,-0.906281
169,-0.640467,-0.009464,0,-0.897142
170,-0.650072,-0.009605,0,-0.888547
171,-0.659752,-0.009679,0,-0.880720
172,-0.669438,-0.009686,0,-0.873871
173,-0.679065,-0.009627,0,-0.868191
174,-0.688568,-0.009503,0,-0.863847
175,-0.697884,-0.009316,0,-0.860978
176,-0.706951,-0.009067,0,-0.859691
177,-0.715711,-0.008760,0,-0.860057
178,-0.724109,-0.008398,0,-0.862116
179,-0.732093,-0.007983,0,-0.865871
180,-0.739612,-0.007520,0,-0.871296
181,-0.746623,-0.007010,0,-0.878332
182,-0.753082,-0.006460,0,-0.886896
183,-0.758954,-0.005871,0,-0.896880
184,-0.764203,-0.005249,0,-0.908156
185,-0.768801,-0.004597,0,-0.920578
186,-0.772721,-0.003920,0,-0.933986
187,-0.775941,-0.003221,0,-0.948212
188,-0.778445,-0.002504,0,-0.963076
189,-0.780218,-0.001773,0,-0.978393
190,-0.781251,-0.001033,0,-0.993975
191,-0.781539,-0.000287,0,-1.009631
192,-0.781079,0.000460,0,-1.025170
193,-0.779875,0.001204,0,-1.040399
194,-0.777932,0.001943,0,-1.055132
195,-0.775261,0.002670,0,-1.069185
196,-0.771878,0.003384,0,-1.082380
197,-0.767800,0.004078,0,-1.094551
198,-0.763049,0.004750,0,-1.105541
199,-0.757654,0.005396,0,-1.115209
