step,position,velocity,action,reward
0,-0.404630,0.000000,2,-0.998673
1,-0.404504,0.000127,2,-0.997351
2,-0.404251,0.000252,2,-0.996040
3,-0.403875,0.000376,2,-0.994745
4,-0.403378,0.000497,2,-0.993472
5,-0.402763,0.000615,2,-0.992226
6,-0.402034,0.000729,2,-0.991015
7,-0.401197,0.000837,2,-0.989845
8,-0.400258,0.000939,2,-0.988723
9,-0.399222,0.001035,2,-0.987655
10,-0.398098,0.001124,2,-0.986650
11,-0.396894,0.001205,2,-0.985715
12,-0.395616,0.001277,2,-0.984858
13,-0.394276,0.001341,2,-0.984087
14,-0.392881,0.001395,2,-0.983409
15,-0.391441,0.001440,2,-0.982832
16,-0.389967,0.001474,2,-0.982363
17,-0.388468,0.001499,2,-0.982009
18,-0.386956,0.001513,2,-0.981777
19,-0.385439,0.001516,2,-0.981670
20,-0.383930,0.001509,2,-0.981694
21,-0.382438,0.001492,2,-0.981852
22,-0.380973,0.001465,2,-0.982145
23,-0.379545,0.001428,2,-0.982576
24,-0.378165,0.001381,2,-0.983143
25,-0.376841,0.001324,2,-0.983844
26,-0.375582,0.001259,2,-0.984676
27,-0.374397,0.001185,2,-0.985635
28,-0.373295,0.001103,2,-0.986714
29,-0.372282,0.001013,2,-0.987905
30,-0.371365,0.000917,2,-0.989200
31,-0.370551,0.000814,2,-0.990588
32,-0.369844,0.000706,2,-0.992059
33,-0.369251,0.000594,2,-0.993599
34,-0.368774,0.000477,2,-0.995196
35,-0.368416,0.000357,2,-0.996835
36,-0.368182,0.000235,2,-0.998503
37,-0.368071,0.000111,2,-1.000184
38,-0.368084,-0.000014,2,-1.001863
39,-0.368222,-0.000138,2,-1.003526
40,-0.368484,-0.000262,2,-1.005157
41,-0.368868,-0.000384,2,-1.006743
42,-0.369370,-0.000503,2,-1.008269
43,-0.369989,-0.000619,2,-1.009723
44,-0.370720,-0.000730,2,-1.011091
45,-0.371557,-0.000837,2,-1.012365
46,-0.372495,-0.000938,2,-1.013532
47,-0.373528,-0.001033,2,-1.014585
48,-0.374650,-0.001121,2,-1.015517
49,-0.375851,-0.001201,2,-1.016321
50,-0.377125,-0.001274,2,-1.016993
51,-0.378462,-0.001337,2,-1.017530
52,-0.379853,-0.001392,2,-1.017931
53,-0.381290,-0.001437,2,-1.018194
54,-0.382762,-0.001472,2,-1.018323
55,-0.384259,-0.001497,2,-1.018318
56,-0.385771,-0.001512,2,-1.018183
57,-0.387287,-0.001516,2,-1.017923
58,-0.388797,-0.001510,2,-1.017544
59,-0.390292,-0.001494,2,-1.017051
60,-0.391759,-0.001467,2,-1.016452
61,-0.393190,-0.001431,2,-1.015753
62,-0.394574,-0.001384,2,-1.014962
63,-0.395901,-0.001328,2,-1.014087
64,-0.397163,-0.001262,2,-1.013136
65,-0.398351,-0.001188,2,-1.012117
66,-0.399457,-0.001105,2,-1.011036
67,-0.400471,-0.001015,2,-1.009903
68,-0.401389,-0.000918,2,-1.008723
69,-0.402203,-0.000814,2,-1.007504
70,-0.402907,-0.000704,2,-1.006252
71,-0.403497,-0.000590,2,-1.004974
72,-0.403968,-0.000471,2,-1.003675
73,-0.404317,-0.000349,2,-1.002361
74,-0.404542,-0.000225,2,-1.001037
75,-0.404641,-0.000099,2,-0.999710
76,-0.404613,0.000028,2,-0.998383
77,-0.404459,0.000154,2,-0.997063
78,-0.404180,0.000279,2,-0.995755
79,-0.403777,0.000403,2,-0.994464
80,-0.403253,0.000523,2,-0.993197
81,-0.402613,0.000640,2,-0.991959
82,-0.401860,0.000753,2,-0.990756
83,-0.401000,0.000860,2,-0.989596
84,-0.400039,0.000961,2,-0.988484
85,-0.398984,0.001055,2,-0.987430
86,-0.397842,0.001142,2,-0.986439
87,-0.396620,0.001221,2,-0.985521
88,-0.395328,0.001292,2,-0.984682
89,-0.393975,0.001353,2,-0.983930
90,-0.392569,0.001406,2,-0.983274
91,-0.391121,0.001448,2,-0.982720
92,-0.389641,0.001480,2,-0.982276
93,-0.388139,0.001502,2,-0.981948
94,-0.386624,0.001514,2,-0.981742
95,-0.385109,0.001516,2,-0.981664
96,-0.383602,0.001507,2,-0.981717
97,-0.382115,0.001487,2,-0.981904
98,-0.380657,0.001458,2,-0.982228
99,-0.379239,0.001418,2,-0.982688
100,-0.377870,0.001369,2,-0.983284
101,-0.376560,0.001310,2,-0.984015
102,-0.375316,0.001243,2,-0.984875
103,-0.374149,0.001167,2,-0.985861
104,-0.373065,0.001084,2,-0.986965
105,-0.372073,0.000993,2,-0.988180
106,-0.371178,0.000895,2,-0.989496
107,-0.370387,0.000791,2,-0.990903
108,-0.369705,0.000682,2,-0.992390
109,-0.369136,0.000568,2,-0.993944
110,-0.368685,0.000451,2,-0.995551
111,-0.368355,0.000331,2,-0.997198
112,-0.368147,0.000208,2,-0.998870
113,-0.368063,0.000084,2,-1.000552
114,-0.368104,-0.000041,2,-1.002229
115,-0.368269,-0.000165,2,-1.003886
116,-0.368558,-0.000289,2,-1.005508
117,-0.368967,-0.000410,2,-1.007082
118,-0.369496,-0.000528,2,-1.008593
119,-0.370139,-0.000643,2,-1.010029
120,-0.370894,-0.000754,2,-1.011378
121,-0.371753,-0.000860,2,-1.012629
122,-0.372713,-0.000960,2,-1.013772
123,-0.373766,-0.001053,2,-1.014800
