step,position,velocity,action,reward
0,-0.406936,0.000000,0,-1.018959
1,-0.408793,-0.001857,0,-1.036912
2,-0.412494,-0.003701,0,-1.052876
3,-0.418013,-0.005519,0,-1.065914
4,-0.425311,-0.007298,0,-1.075162
5,-0.434336,-0.009025,0,-1.079856
6,-0.445022,-0.010686,0,-1.079364
7,-0.457292,-0.012270,0,-1.073218
8,-0.471056,-0.013764,0,-1.061144
9,-0.486212,-0.015156,0,-1.043088
10,-0.502648,-0.016436,0,-1.019238
11,-0.520242,-0.017593,0,-0.990028
12,-0.538860,-0.018618,0,-0.956140
13,-0.558364,-0.019504,0,-0.918478
14,-0.578608,-0.020244,0,-0.878135
15,-0.599441,-0.020833,0,-0.836344
16,-0.620710,-0.021269,0,-0.794415
17,-0.642261,-0.021551,0,-0.753671
18,-0.663940,-0.021680,0,-0.715383
19,-0.685598,-0.021658,0,-0.680701
20,-0.707089,-0.021490,0,-0.650611
21,-0.728271,-0.021183,0,-0.625891
22,-0.749013,-0.020742,0,-0.607094
23,-0.769191,-0.020177,0,-0.594540
24,-0.788689,-0.019498,0,-0.588329
25,-0.807401,-0.018713,0,-0.588363
26,-0.825233,-0.017832,0,-0.594375
27,-0.842099,-0.016866,0,-0.605969
28,-0.857924,-0.015825,0,-0.622655
29,-0.872641,-0.014717,0,-0.643888
30,-0.886193,-0.013552,0,-0.669098
31,-0.898531,-0.012338,0,-0.697718
32,-0.909613,-0.011083,0,-0.729204
33,-0.919406,-0.009792,0,-0.763052
34,-0.927880,-0.008474,0,-0.798803
35,-0.935012,-0.007132,0,-0.836048
36,-0.940785,-0.005773,0,-0.874428
37,-0.945184,-0.004399,0,-0.913626
38,-0.948199,-0.003015,0,-0.953361
39,-0.949824,-0.001625,0,-0.993377
40,-0.950054,-0.000231,0,-1.033432
41,-0.948890,0.001164,0,-1.073287
42,-0.946334,0.002556,0,-1.112692
43,-0.942392,0.003943,0,-1.151375
44,-0.937072,0.005320,0,-1.189033
45,-0.930387,0.006685,0,-1.225321
46,-0.922354,0.008033,0,-1.259846
47,-0.912994,0.009360,0,-1.292166
48,-0.902335,0.010660,0,-1.321792
49,-0.890407,0.011927,0,-1.348191
50,-0.877252,0.013156,0,-1.370802
51,-0.862914,0.014338,0,-1.389053
52,-0.847449,0.015465,0,-1.402388
53,-0.830919,0.016530,0,-1.410295
54,-0.813397,0.017522,0,-1.412341
55,-0.794965,0.018432,0,-1.408214
56,-0.775716,0.019249,0,-1.397756
57,-0.755751,0.019965,0,-1.380998
58,-0.735182,0.020569,0,-1.358186
59,-0.714131,0.021051,0,-1.329795
60,-0.692727,0.021404,0,-1.296532
61,-0.671109,0.021618,0,-1.259315
62,-0.649420,0.021689,0,-1.219247
63,-0.627809,0.021610,0,-1.177565
64,-0.606430,0.021379,0,-1.135581
65,-0.585436,0.020994,0,-1.094618
66,-0.564980,0.020455,0,-1.055941
67,-0.545216,0.019765,0,-1.020695
68,-0.526289,0.018927,0,-0.989852
69,-0.508342,0.017947,0,-0.964170
70,-0.491509,0.016833,0,-0.944166
71,-0.475917,0.015592,0,-0.930109
72,-0.461681,0.014236,0,-0.922024
73,-0.448906,0.012774,0,-0.919706
74,-0.437688,0.011219,0,-0.922749
