step,position,velocity,action,reward
0,-0.411586,0.000000,0,-1.017906
1,-0.413410,-0.001824,0,-1.034840
2,-0.417046,-0.003636,0,-1.049851
3,-0.422467,-0.005421,0,-1.062037
4,-0.429636,-0.007168,0,-1.070565
5,-0.438499,-0.008864,0,-1.074702
6,-0.448995,-0.010495,0,-1.073846
7,-0.461044,-0.012050,0,-1.067553
8,-0.474561,-0.013516,0,-1.055568
9,-0.489444,-0.014883,0,-1.037846
10,-0.505582,-0.016139,0,-1.014578
11,-0.522856,-0.017274,0,-0.986190
12,-0.541135,-0.018279,0,-0.953339
13,-0.560283,-0.019148,0,-0.916899
14,-0.580156,-0.019873,0,-0.877920
15,-0.600607,-0.020451,0,-0.837585
16,-0.621485,-0.020879,0,-0.797150
17,-0.642640,-0.021155,0,-0.757881
18,-0.663921,-0.021281,0,-0.720995
19,-0.685181,-0.021259,0,-0.687597
20,-0.706275,-0.021094,0,-0.658631
21,-0.727067,-0.020792,0,-0.634848
22,-0.747426,-0.020359,0,-0.616784
23,-0.767229,-0.019804,0,-0.604755
24,-0.786364,-0.019135,0,-0.598864
25,-0.804726,-0.018362,0,-0.599026
26,-0.822220,-0.017495,0,-0.604995
27,-0.838763,-0.016543,0,-0.616399
28,-0.854279,-0.015516,0,-0.632773
29,-0.868702,-0.014423,0,-0.653599
30,-0.881974,-0.013273,0,-0.678331
31,-0.894048,-0.012074,0,-0.706424
32,-0.904881,-0.010833,0,-0.737351
33,-0.914438,-0.009557,0,-0.770622
34,-0.922691,-0.008253,0,-0.805789
35,-0.929617,-0.006925,0,-0.842449
36,-0.935196,-0.005579,0,-0.880243
37,-0.939415,-0.004219,0,-0.918853
38,-0.942264,-0.002849,0,-0.957993
39,-0.943736,-0.001472,0,-0.997400
40,-0.943827,-0.000091,0,-1.036824
41,-0.942537,0.001290,2,-1.132873
42,-0.937869,0.004668,2,-1.227221
43,-0.929835,0.008034,2,-1.318410
44,-0.918454,0.011381,2,-1.404630
45,-0.903758,0.014697,2,-1.483622
46,-0.885789,0.017969,2,-1.552615
47,-0.864607,0.021181,2,-1.608336
48,-0.840292,0.024316,2,-1.647113
49,-0.812942,0.027349,2,-1.665074
50,-0.782686,0.030257,2,-1.658471
51,-0.749675,0.033010,2,-1.624095
52,-0.714097,0.035579,2,-1.559769
53,-0.676166,0.037931,2,-1.464835
54,-0.636130,0.040036,2,-1.340570
55,-0.594266,0.041864,2,-1.190419
56,-0.550876,0.043390,2,-1.019973
57,-0.506282,0.044594,2,-0.836649
58,-0.460818,0.045464,2,-0.649088
59,-0.414822,0.045996,2,-0.466345
60,-0.368627,0.046195,2,-0.297005
61,-0.322553,0.046074,2,-0.148376
62,-0.276897,0.045656,2,-0.025876
63,-0.231927,0.044970,2,0.067288
64,-0.187876,0.044051,2,0.130143
65,-0.144938,0.042938,2,0.163709
66,-0.103268,0.041670,2,0.170583
67,-0.062978,0.040289,2,0.154430
68,-0.024144,0.038834,2,0.119477
69,0.013196,0.037340,2,0.070075
70,0.049039,0.035842,2,0.010354
71,0.083408,0.034369,2,-0.056008
72,0.116355,0.032947,2,-0.125915
73,0.147953,0.031598,2,-0.196900
74,0.178294,0.030340,2,-0.267117
75,0.207483,0.029189,2,-0.335286
76,0.235642,0.028158,2,-0.400629
77,0.262899,0.027257,2,-0.462792
78,0.289394,0.026496,2,-0.521774
79,0.315274,0.025880,2,-0.577866
80,0.340692,0.025417,2,-0.631604
81,0.365805,0.025113,2,-0.683725
82,0.390779,0.024974,2,-0.735148
83,0.415782,0.025004,2,-0.786958
84,0.440991,0.025209,2,-0.840397
85,0.466587,0.025596,2,-0.896864
86,0.492757,0.026170,2,-0.957911
