step,position,velocity,action,reward
0,-0.556457,0.000000,0,-0.997748
1,-0.557211,-0.000754,0,-0.995362
2,-0.558714,-0.001502,0,-0.992711
3,-0.560953,-0.002239,0,-0.989679
4,-0.563913,-0.002960,0,-0.986162
5,-0.567571,-0.003658,0,-0.982080
6,-0.571901,-0.004329,0,-0.977379
7,-0.576869,-0.004968,0,-0.972029
8,-0.582440,-0.005571,0,-0.966034
9,-0.588571,-0.006132,0,-0.959427
10,-0.595218,-0.006647,0,-0.952273
11,-0.602333,-0.007114,0,-0.944666
12,-0.609862,-0.007529,0,-0.936728
13,-0.617751,-0.007890,0,-0.928603
14,-0.625944,-0.008193,0,-0.920455
15,-0.634381,-0.008437,0,-0.912462
16,-0.643003,-0.008621,0,-0.904808
17,-0.651748,-0.008745,0,-0.897681
18,-0.660555,-0.008807,0,-0.891262
19,-0.669364,-0.008809,0,-0.885724
20,-0.678114,-0.008750,0,-0.881223
21,-0.686746,-0.008632,0,-0.877895
22,-0.695203,-0.008457,0,-0.875854
23,-0.703429,-0.008226,0,-0.875186
24,-0.711371,-0.007942,0,-0.875950
25,-0.718978,-0.007607,0,-0.878176
26,-0.726202,-0.007224,0,-0.881868
27,-0.732998,-0.006796,0,-0.887000
28,-0.739325,-0.006327,0,-0.893522
29,-0.745145,-0.005820,0,-0.901362
30,-0.750423,-0.005278,0,-0.910426
31,-0.755127,-0.004705,0,-0.920601
32,-0.759232,-0.004105,0,-0.931762
33,-0.762713,-0.003481,0,-0.943767
34,-0.765551,-0.002838,0,-0.956468
35,-0.767729,-0.002178,0,-0.969705
36,-0.769235,-0.001506,0,-0.983316
37,-0.770062,-0.000826,0,-0.997131
38,-0.770203,-0.000142,0,-1.010982
39,-0.769660,0.000544,0,-1.024698
40,-0.768434,0.001226,0,-1.038110
41,-0.766533,0.001901,0,-1.051053
42,-0.763966,0.002566,0,-1.063364
43,-0.760749,0.003217,0,-1.074892
44,-0.756900,0.003849,0,-1.085492
45,-0.752441,0.004460,0,-1.095030
46,-0.747396,0.005044,0,-1.103389
47,-0.741797,0.005599,0,-1.110466
48,-0.735675,0.006122,0,-1.116181
49,-0.729069,0.006607,0,-1.120473
50,-0.722016,0.007052,0,-1.123307
51,-0.714562,0.007454,0,-1.124674
52,-0.706753,0.007809,0,-1.124593
53,-0.698638,0.008115,0,-1.123111
54,-0.690270,0.008368,0,-1.120303
55,-0.681704,0.008567,0,-1.116273
56,-0.672995,0.008708,0,-1.111146
57,-0.664204,0.008792,0,-1.105071
58,-0.655388,0.008815,0,-1.098216
