step,position,velocity,action,reward
0,-0.443027,0.000000,0,-1.011367
1,-0.444625,-0.001598,0,-1.021984
2,-0.447811,-0.003185,0,-1.031123
3,-0.452559,-0.004749,0,-1.038097
4,-0.458837,-0.006277,0,-1.042284
5,-0.466597,-0.007760,0,-1.043147
6,-0.475782,-0.009186,0,-1.040258
7,-0.486325,-0.010543,0,-1.033318
8,-0.498147,-0.011822,0,-1.022174
9,-0.511160,-0.013013,0,-1.006837
10,-0.525266,-0.014106,0,-0.987486
11,-0.540359,-0.015093,0,-0.964476
12,-0.556327,-0.015968,0,-0.938321
13,-0.573050,-0.016723,0,-0.909687
14,-0.590403,-0.017353,0,-0.879358
15,-0.608259,-0.017855,0,-0.848208
16,-0.626486,-0.018227,0,-0.817160
17,-0.644954,-0.018468,0,-0.787141
18,-0.663532,-0.018578,0,-0.759044
19,-0.682090,-0.018559,0,-0.733685
20,-0.700505,-0.018414,0,-0.711771
21,-0.718654,-0.018149,0,-0.693879
22,-0.736422,-0.017768,0,-0.680436
23,-0.753700,-0.017278,0,-0.671714
24,-0.770386,-0.016686,0,-0.667837
25,-0.786386,-0.016000,0,-0.668791
26,-0.801613,-0.015227,0,-0.674439
27,-0.815988,-0.014375,0,-0.684546
28,-0.829441,-0.013453,0,-0.698800
29,-0.841909,-0.012468,0,-0.716834
30,-0.853336,-0.011427,0,-0.738248
31,-0.863674,-0.010338,0,-0.762629
32,-0.872881,-0.009207,0,-0.789562
33,-0.880923,-0.008042,0,-0.818644
34,-0.887769,-0.006846,2,-0.903136
35,-0.891396,-0.003627,2,-0.989421
36,-0.891791,-0.000395,2,-1.075897
37,-0.888953,0.002838,2,-1.160979
38,-0.882891,0.006062,2,-1.242981
39,-0.873627,0.009264,2,-1.320017
40,-0.861194,0.012433,2,-1.389922
41,-0.845640,0.015554,2,-1.450219
42,-0.827030,0.018610,2,-1.498134
43,-0.805445,0.021585,2,-1.530684
44,-0.780990,0.024455,2,-1.544841
45,-0.753790,0.027200,2,-1.537782
46,-0.723998,0.029792,2,-1.507192
47,-0.691792,0.032206,2,-1.451623
48,-0.657377,0.034415,2,-1.370834
49,-0.620986,0.036391,2,-1.266067
50,-0.582874,0.038111,2,-1.140197
51,-0.543321,0.039554,2,-0.997698
52,-0.502619,0.040701,2,-0.844400
53,-0.461075,0.041544,2,-0.687057
54,-0.418997,0.042078,2,-0.532770
55,-0.376691,0.042306,2,-0.388346
56,-0.334451,0.042240,2,-0.259707
57,-0.292554,0.041896,2,-0.151422
58,-0.251256,0.041299,2,-0.066429
59,-0.210780,0.040476,2,-0.005971
60,-0.171320,0.039459,2,0.030283
61,-0.133038,0.038282,2,0.043969
62,-0.096059,0.036979,2,0.037674
63,-0.060477,0.035582,2,0.014576
64,-0.026354,0.034123,2,-0.021911
65,0.006277,0.032631,2,-0.068406
66,0.037408,0.031131,2,-0.121777
67,0.067055,0.029647,2,-0.179270
68,0.095252,0.028197,2,-0.238575
69,0.122051,0.026799,2,-0.297841
70,0.147515,0.025464,2,-0.355658
71,0.171721,0.024205,2,-0.411008
72,0.194751,0.023030,2,-0.463212
73,0.216695,0.021944,2,-0.511874
74,0.237649,0.020954,2,-0.556821
75,0.257713,0.020063,2,-0.598057
76,0.276987,0.019274,2,-0.635722
77,0.295575,0.018589,2,-0.670054
78,0.313584,0.018009,2,-0.701370
79,0.331120,0.017536,2,-0.730040
80,0.348291,0.017171,2,-0.756482
81,0.365207,0.016916,2,-0.781154
82,0.381979,0.016772,2,-0.804551
83,0.398721,0.016742,2,-0.827208
84,0.415548,0.016827,2,-0.849709
85,0.432578,0.017031,2,-0.872693
86,0.449935,0.017356,2,-0.896870
87,0.467743,0.017809,2,-0.923029
88,0.486135,0.018392,2,-0.952060
