step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999932,0.011674,0.997216,-0.074564,-0.053310,0.095813,1.000000,-1.015550
1,0.999895,-0.014469,0.999910,-0.013451,-0.200746,0.501093,1.000000,-0.970813
2,0.997950,-0.063998,0.993249,0.116000,-0.280511,0.765282,1.000000,-0.837420
3,0.992816,-0.119648,0.961569,0.274563,-0.261783,0.816677,1.000000,-0.713268
4,0.986848,-0.161649,0.909612,0.415459,-0.149952,0.656207,1.000000,-0.706822
5,0.984521,-0.175267,0.862460,0.506125,0.016291,0.349914,1.000000,-0.830747
6,0.987909,-0.155032,0.844749,0.535162,0.184848,-0.010884,-1.000000,-1.188852
7,0.996767,-0.080347,0.894503,0.447063,0.551483,-0.979264,-1.000000,-1.444583
8,0.998472,0.055268,0.982174,0.187972,0.772809,-1.702924,-1.000000,-1.085542
9,0.977693,0.210037,0.983133,-0.182891,0.743920,-1.932312,-1.000000,-0.452024
10,0.944674,0.328011,0.855067,-0.518518,0.445818,-1.602149,-1.000000,-0.185600
11,0.928727,0.370763,0.695521,-0.718505,-0.000356,-0.929023,-1.000000,-0.426105
12,0.944684,0.327982,0.614123,-0.789210,-0.445356,-0.146433,1.000000,-1.149864
13,0.982547,0.186012,0.694386,-0.719603,-0.995985,1.186630,1.000000,-1.774099
14,0.998779,-0.049407,0.899942,-0.436010,-1.322670,2.264490,1.000000,-1.407291
15,0.950066,-0.312048,0.998276,0.058688,-1.284350,2.694423,1.000000,-0.441851
16,0.861557,-0.507660,0.844027,0.536301,-0.806311,2.260250,1.000000,-0.042063
17,0.812052,-0.583585,0.597469,0.801892,-0.081503,1.340553,1.000000,-0.431051
18,0.844993,-0.534777,0.459606,0.888123,0.656836,0.279336,1.000000,-1.061331
19,0.931920,-0.362664,0.503439,0.864031,1.235915,-0.762572,-1.000000,-1.642044
20,0.997728,-0.067377,0.737054,0.675834,1.745277,-2.196160,-1.000000,-1.531854
21,0.955393,0.295339,0.979551,0.201195,1.844835,-3.053207,-1.000000,-0.494228
22,0.807113,0.590397,0.919642,-0.392757,1.384199,-2.837492,-1.000000,0.050450
23,0.677808,0.735239,0.635117,-0.772416,0.521825,-1.887969,-1.000000,-0.478324
24,0.672539,0.740061,0.412238,-0.911076,-0.450222,-0.726548,1.000000,-1.696925
25,0.806680,0.590989,0.442723,-0.896658,-1.523004,1.068774,1.000000,-2.650033
26,0.970531,0.240977,0.751311,-0.659948,-2.303243,2.800412,1.000000,-1.661625
27,0.968011,-0.250907,0.999156,-0.041085,-2.546519,3.773121,1.000000,0.731346
28,0.752700,-0.658364,0.780508,0.625146,-1.990981,3.179309,1.000000,1.432857
29,0.522378,-0.852714,0.373424,0.927661,-0.998257,1.923368,1.000000,0.202564
30,0.443837,-0.896108,0.124469,0.992223,0.106168,0.658392,1.000000,-1.609755
31,0.556677,-0.830729,0.122176,0.992508,1.183240,-0.652695,-1.000000,-3.399287
32,0.807914,-0.589301,0.433365,0.901219,2.279630,-2.628910,-1.000000,-3.586184
33,0.995891,-0.090565,0.920176,0.391504,3.023893,-4.442741,-1.000000,-0.218448
34,0.869641,0.493685,0.864475,-0.502677,2.867667,-4.467294,-1.000000,2.689935
35,0.538876,0.842385,0.287397,-0.957812,1.921350,-2.987004,-1.000000,2.094813
36,0.293345,0.956007,-0.157737,-0.987481,0.777451,-1.547278,-1.000000,0.063911
37,0.258083,0.966123,-0.330329,-0.943866,-0.410550,-0.238581,1.000000,-2.518938
38,0.456206,0.889874,-0.200384,-0.979717,-1.696522,1.624224,1.000000,-4.931482
39,0.800543,0.599276,0.328878,-0.944372,-2.814356,3.801054,1.000000,-4.362470
40,0.999965,-0.008417,0.968186,-0.250231,-3.576588,5.806813,1.000000,1.161739
