step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999666,-0.025829,0.998570,-0.053454,0.078481,-0.028781,-1.000000,-0.998498
1,0.999989,0.004583,0.995983,-0.089539,0.218147,-0.321624,-1.000000,-0.950695
2,0.998376,0.056974,0.984756,-0.173942,0.292599,-0.506894,-1.000000,-0.881342
3,0.993339,0.115228,0.960617,-0.277877,0.277113,-0.533507,-1.000000,-0.841855
4,0.986905,0.161302,0.929563,-0.368662,0.176299,-0.404182,-1.000000,-0.876617
5,0.983435,0.181260,0.906459,-0.422295,0.021058,-0.168398,-1.000000,-0.972153
6,0.985625,0.168945,0.903648,-0.428277,-0.143557,0.101206,1.000000,-1.198557
7,0.994828,0.101576,0.945474,-0.325698,-0.521120,0.982546,1.000000,-1.264943
8,0.999586,-0.028758,0.997745,-0.067116,-0.750025,1.599040,1.000000,-0.842806
9,0.983623,-0.180240,0.962541,0.271135,-0.730513,1.730350,1.000000,-0.340190
10,0.954177,-0.299243,0.830468,0.557067,-0.463641,1.366429,1.000000,-0.264119
11,0.936796,-0.349876,0.695446,0.718578,-0.060656,0.714242,1.000000,-0.632151
12,0.946882,-0.321580,0.644331,0.764747,0.353802,-0.027140,-1.000000,-1.380423
13,0.980287,-0.197578,0.743105,0.669175,0.907571,-1.326295,-1.000000,-1.876488
14,0.999750,0.022373,0.936912,0.349564,1.259043,-2.358275,-1.000000,-1.258745
15,0.961255,0.275661,0.986774,-0.162100,1.235987,-2.695393,-1.000000,-0.142569
16,0.883980,0.467525,0.789190,-0.614150,0.779490,-2.179505,-1.000000,0.212875
17,0.838541,0.544839,0.534964,-0.844875,0.101916,-1.235169,-1.000000,-0.297867
18,0.864285,0.503002,0.409709,-0.912216,-0.579932,-0.184197,1.000000,-1.376451
19,0.944846,0.327514,0.518612,-0.855010,-1.317790,1.399659,1.000000,-2.192629
20,0.999844,0.017661,0.824434,-0.565958,-1.787338,2.772056,1.000000,-1.544323
21,0.939071,-0.343723,0.999496,0.031737,-1.801617,3.374147,1.000000,-0.011663
22,0.789750,-0.613429,0.787668,0.616100,-1.211663,2.791848,1.000000,0.477297
23,0.686326,-0.727294,0.441812,0.897108,-0.304150,1.665336,1.000000,-0.248692
24,0.711032,-0.703160,0.244848,0.969561,0.639199,0.428049,1.000000,-1.319769
25,0.842692,-0.538396,0.284903,0.958556,1.435325,-0.841154,-1.000000,-2.244173
26,0.978826,-0.204693,0.592020,0.805923,2.129421,-2.572879,-1.000000,-2.021492
27,0.967856,0.251505,0.959370,0.282150,2.378794,-3.771858,-1.000000,-0.175124
28,0.768168,0.640248,0.891697,-0.452633,1.906902,-3.544357,-1.000000,0.907853
29,0.555904,0.831246,0.481898,-0.876227,0.912783,-2.377758,-1.000000,0.212731
30,0.496064,0.868286,0.155374,-0.987856,-0.212986,-1.083787,1.000000,-1.500323
31,0.635356,0.772219,0.124954,-0.992163,-1.451876,0.793195,1.000000,-3.276342
32,0.883508,0.468416,0.464239,-0.885710,-2.445013,2.791672,1.000000,-3.045670
33,0.997653,-0.068475,0.940868,-0.338775,-3.011299,4.463989,1.000000,0.222949
34,0.794809,-0.606859,0.845793,0.533511,-2.658712,4.270346,1.000000,2.425597
35,0.466555,-0.884492,0.289604,0.957147,-1.622472,2.825040,1.000000,1.557750
36,0.275006,-0.961443,-0.130134,0.991496,-0.435624,1.444483,1.000000,-0.398230
37,0.307107,-0.951675,-0.284119,0.958789,0.765563,0.121926,1.000000,-2.477643
38,0.546638,-0.837369,-0.168288,0.985738,1.866440,-1.345789,-1.000000,-4.274465
39,0.871191,-0.490945,0.309296,0.950966,2.874706,-3.525414,-1.000000,-3.752090
40,0.991333,0.131370,0.943210,0.332198,3.461879,-5.450672,-1.000000,0.805423
41,0.703341,0.710852,0.736701,-0.676219,2.932907,-4.932994,-1.000000,3.411340
42,0.304719,0.952442,0.013032,-0.999915,1.738815,-3.228958,-1.000000,2.335641
43,0.088482,0.996078,-0.467753,-0.883859,0.467711,-1.810432,-1.000000,0.373063
44,0.122018,0.992528,-0.656928,-0.753953,-0.798940,-0.480063,1.000000,-2.179557
45,0.403469,0.914993,-0.586309,-0.810088,-2.099694,1.421769,1.000000,-4.813959
46,0.809091,0.587683,-0.126693,-0.991942,-3.113409,3.633592,1.000000,-5.106776
47,0.997789,-0.066456,0.748169,-0.663509,-3.767857,6.027318,1.000000,-0.565946
48,0.688684,-0.725061,0.848347,0.529440,-3.428564,6.216774,1.000000,3.824900
49,0.203840,-0.979004,-0.038319,0.999266,-2.072973,4.282384,1.000000,3.588422
50,-0.069987,-0.997548,-0.672367,0.740218,-0.687787,2.776441,1.000000,2.231128
51,-0.074397,-0.997229,-0.916660,0.399667,0.629255,1.445075,1.000000,0.331146
52,0.175399,-0.984498,-0.966324,0.257328,1.864334,0.052302,-1.000000,-2.255760
