step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999166,-0.040820,0.998685,0.051273,-0.035585,0.049527,1.000000,-0.989014
1,0.998491,-0.054917,0.996317,0.085751,-0.101458,0.287653,1.000000,-0.955055
2,0.996882,-0.078912,0.987063,0.160333,-0.131660,0.447112,1.000000,-0.894483
3,0.994571,-0.104064,0.967223,0.253929,-0.112789,0.489694,1.000000,-0.838968
4,0.992687,-0.120719,0.939796,0.341736,-0.048875,0.412960,-1.000000,-0.967222
5,0.995354,-0.096286,0.939657,0.342118,0.289044,-0.404465,-1.000000,-1.194371
6,0.999943,-0.010631,0.981077,0.193620,0.548135,-1.102143,-1.000000,-1.099315
7,0.993804,0.111150,0.997539,-0.070112,0.638171,-1.481526,-1.000000,-0.713168
8,0.973759,0.227580,0.933245,-0.359241,0.509633,-1.420553,1.000000,-0.610323
9,0.961459,0.274947,0.853433,-0.521203,-0.029924,-0.361765,1.000000,-1.088715
10,0.976272,0.216550,0.873005,-0.487712,-0.559760,0.737486,1.000000,-1.435001
11,0.997959,0.063864,0.964919,-0.262547,-0.949208,1.645010,1.000000,-1.118301
12,0.989883,-0.141887,0.993408,0.114635,-1.057627,2.055926,1.000000,-0.395007
13,0.944413,-0.328763,0.872375,0.488837,-0.817119,1.805451,-1.000000,-0.310662
14,0.909338,-0.416059,0.735558,0.677462,-0.109360,0.503664,-1.000000,-1.150401
15,0.929414,-0.369039,0.758991,0.651101,0.610669,-0.849323,-1.000000,-1.820500
16,0.981370,-0.192127,0.915595,0.402101,1.199710,-2.050975,-1.000000,-1.396462
17,0.996827,0.079593,0.997299,-0.073454,1.456810,-2.685038,-1.000000,-0.121944
18,0.937543,0.347870,0.828270,-0.560330,1.225312,-2.389081,1.000000,0.241550
19,0.865808,0.500376,0.598481,-0.801137,0.438485,-0.925014,-1.000000,-0.594889
20,0.853230,0.521534,0.523650,-0.851934,-0.194866,0.026419,1.000000,-1.734792
21,0.910243,0.414074,0.652244,-0.758009,-1.004787,1.557769,1.000000,-2.386578
22,0.987432,0.158042,0.917843,-0.396945,-1.627198,2.888334,1.000000,-1.242077
23,0.981682,-0.190525,0.972178,0.234243,-1.773692,3.355840,1.000000,0.651842
24,0.873699,-0.486468,0.659309,0.751872,-1.313137,2.651391,-1.000000,0.761061
25,0.779533,-0.626361,0.350510,0.936559,-0.362196,0.962581,-1.000000,-0.889270
26,0.794770,-0.606910,0.327193,0.944957,0.602211,-0.713522,-1.000000,-2.605305
27,0.903951,-0.427637,0.600717,0.799461,1.476465,-2.390845,-1.000000,-2.842019
28,0.996966,-0.077835,0.956202,0.292706,2.089743,-3.780831,-1.000000,-0.570480
29,0.940701,0.339237,0.881459,-0.472260,2.017145,-3.839347,-1.000000,1.641317
30,0.774646,0.632396,0.403747,-0.914870,1.306741,-2.702572,-1.000000,1.505400
31,0.655390,0.755291,0.007272,-0.999974,0.394250,-1.382554,-1.000000,0.031354
32,0.666419,0.745578,-0.138786,-0.990322,-0.532244,-0.083720,1.000000,-2.045586
33,0.805208,0.592992,0.023362,-0.999727,-1.503195,1.719284,1.000000,-3.736847
34,0.967714,0.252053,0.525307,-0.850913,-2.255485,3.570759,1.000000,-3.041553
35,0.970744,-0.240116,0.988765,-0.149478,-2.602127,4.880247,1.000000,0.434561
36,0.753806,-0.657097,0.704770,0.709436,-1.997248,4.215460,-1.000000,1.973538
37,0.549738,-0.835337,0.140159,0.990129,-0.708928,2.217228,-1.000000,0.412667
38,0.538057,-0.842909,-0.116388,0.993204,0.555011,0.367561,-1.000000,-1.988791
39,0.713412,-0.700745,-0.003728,0.999993,1.673019,-1.515123,-1.000000,-3.781869
40,0.939131,-0.343559,0.477834,0.878450,2.535790,-3.507727,-1.000000,-3.056511
41,0.977865,0.209235,0.980394,0.197045,2.959569,-5.005597,-1.000000,0.703631
42,0.725035,0.688712,0.716986,-0.697088,2.371150,-4.364092,-1.000000,2.590115
43,0.432589,0.901591,0.080162,-0.996782,1.233434,-2.823245,-1.000000,1.612617
44,0.317014,0.948421,-0.334601,-0.942360,0.012196,-1.408881,-1.000000,-0.244886
45,0.425714,0.904858,-0.464616,-0.885512,-1.165503,0.002668,1.000000,-2.554294
46,0.709951,0.704251,-0.282873,-0.959157,-2.279080,1.990791,1.000000,-4.250899
47,0.970231,0.242180,0.319495,-0.947588,-3.028189,4.141516,1.000000,-3.188773
48,0.920199,-0.391450,0.974302,-0.225244,-3.312904,5.775361,1.000000,0.929774
49,0.543191,-0.839609,0.642308,0.766447,-2.460489,4.870274,-1.000000,2.456209
50,0.231719,-0.972783,-0.056062,0.998427,-0.944591,2.733169,-1.000000,0.794379
51,0.191130,-0.981565,-0.406022,0.913864,0.516013,0.904000,-1.000000,-1.728959
52,0.419088,-0.907946,-0.400196,0.916430,1.854797,-1.003850,-1.000000,-4.213649
53,0.793141,-0.609039,0.003314,0.999995,2.923916,-3.199575,-1.000000,-4.618809
54,0.999976,0.006908,0.771125,0.636683,3.618741,-5.497232,-1.000000,-0.516108
55,0.746468,0.665421,0.882274,-0.470736,3.364813,-5.774147,-1.000000,3.515941
56,0.284225,0.958758,0.100547,-0.994932,2.125666,-3.975875,-1.000000,3.102680
57,-0.004258,0.999991,-0.512787,-0.858516,0.798959,-2.480108,-1.000000,1.447908
58,-0.032640,0.999467,-0.785409,-0.618977,-0.508682,-1.169366,-1.000000,-0.501280
59,0.194168,0.980968,-0.840907,-0.541180,-1.756153,0.239933,1.000000,-3.050621
60,0.620463,0.784235,-0.684972,-0.728569,-2.922225,2.242021,1.000000,-4.601983
61,0.970821,0.239805,-0.085209,-0.996363,-3.581945,4.487961,1.000000,-3.577316
62,0.875557,-0.483115,0.861629,-0.507539,-3.800089,6.577332,1.000000,0.086960
