step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999940,-0.010991,0.997407,0.071972,-0.041232,0.003312,-1.000000,-1.015610
1,0.999996,-0.002980,0.999558,0.029717,0.118216,-0.417550,-1.000000,-0.983278
2,0.999445,0.033306,0.996156,-0.087601,0.233324,-0.730246,-1.000000,-0.849753
3,0.996434,0.084382,0.969175,-0.246375,0.262510,-0.845622,1.000000,-0.832950
4,0.994389,0.105788,0.941469,-0.337099,-0.052875,-0.087553,1.000000,-1.077302
5,0.997947,0.064050,0.960073,-0.279750,-0.356128,0.675180,1.000000,-1.189107
6,0.999564,-0.029541,0.996290,-0.086056,-0.555784,1.251532,-1.000000,-1.000074
7,0.992895,-0.118997,0.992347,0.123479,-0.316737,0.797656,-1.000000,-0.936516
8,0.988910,-0.148513,0.976334,0.216267,0.026759,0.125738,-1.000000,-1.055142
9,0.994096,-0.108507,0.985126,0.171835,0.367001,-0.564931,-1.000000,-1.078894
10,0.999955,-0.009440,0.999993,0.003821,0.600317,-1.079074,-1.000000,-0.861953
11,0.992980,0.118286,0.972367,-0.233457,0.645399,-1.251995,1.000000,-0.730813
12,0.978225,0.207545,0.919355,-0.393429,0.239210,-0.399785,1.000000,-1.028976
13,0.978046,0.208388,0.925413,-0.378959,-0.230172,0.553924,1.000000,-1.281200
14,0.992671,0.120846,0.981819,-0.189818,-0.635581,1.380584,0.000000,-1.059669
15,0.999848,-0.017444,0.994713,0.102696,-0.711588,1.482484,-1.000000,-0.742682
16,0.990972,-0.134068,0.943645,0.330960,-0.429590,0.807679,-1.000000,-0.867476
17,0.983653,-0.180077,0.916517,0.399997,-0.026571,-0.080911,-1.000000,-1.194620
18,0.989565,-0.144090,0.953756,0.300582,0.382259,-0.961303,-1.000000,-1.226545
19,0.999357,-0.035850,0.999084,0.042796,0.675089,-1.602586,-1.000000,-0.759775
20,0.994015,0.109240,0.954393,-0.298554,0.734762,-1.768969,1.000000,-0.412248
21,0.976785,0.214220,0.844700,-0.535240,0.306519,-0.801152,1.000000,-0.838831
22,0.974277,0.225353,0.817320,-0.576183,-0.193533,0.313202,1.000000,-1.443027
23,0.990024,0.140900,0.903244,-0.429127,-0.648425,1.362756,1.000000,-1.489439
24,0.999792,-0.020371,0.995918,-0.090264,-0.926585,2.086126,-1.000000,-0.851947
25,0.983652,-0.180079,0.961329,0.275403,-0.634723,1.516002,-1.000000,-0.613897
26,0.966193,-0.257820,0.882781,0.469785,-0.144589,0.547578,-1.000000,-0.995687
27,0.972179,-0.234240,0.881611,0.471977,0.382245,-0.519014,-1.000000,-1.382607
28,0.993489,-0.113928,0.958255,0.285913,0.812990,-1.452740,-1.000000,-1.192104
29,0.997354,0.072696,0.998117,-0.061333,1.006186,-1.966910,-1.000000,-0.501992
30,0.965025,0.262159,0.899221,-0.437494,0.865959,-1.846761,1.000000,-0.295263
31,0.929758,0.368172,0.762730,-0.646717,0.232250,-0.623880,0.000000,-0.917999
32,0.933323,0.359039,0.746251,-0.665665,-0.327486,0.373121,0.000000,-1.527800
33,0.968676,0.248326,0.847770,-0.530364,-0.812449,1.290335,1.000000,-1.652510
34,0.999067,0.043191,0.980125,-0.198379,-1.216850,2.220517,0.000000,-0.926684
35,0.980766,-0.195189,0.969776,0.243997,-1.113055,2.114939,-1.000000,-0.338003
36,0.933958,-0.357382,0.842436,0.538796,-0.540732,1.047867,-1.000000,-0.753562
37,0.919318,-0.393516,0.794467,0.607307,0.156718,-0.220568,-1.000000,-1.493640
38,0.953873,-0.300212,0.885547,0.464551,0.819902,-1.448450,-1.000000,-1.578857
39,0.995933,-0.090098,0.995471,0.095070,1.274211,-2.336659,-1.000000,-0.641475
40,0.984506,0.175350,0.921918,-0.387386,1.315166,-2.449683,1.000000,0.064603
41,0.927282,0.374362,0.717933,-0.696112,0.720389,-1.211960,0.000000,-0.463243
42,0.893138,0.449782,0.620275,-0.784384,0.094855,-0.091879,0.000000,-1.396876
43,0.912990,0.407981,0.692612,-0.721310,-0.550511,1.042745,0.000000,-1.995993
44,0.968030,0.250836,0.880363,-0.474300,-1.084047,2.022657,1.000000,-1.607534
45,0.999980,-0.006383,0.999997,0.002539,-1.445924,2.814070,-1.000000,-0.383183
46,0.965237,-0.261375,0.878959,0.476897,-1.067426,2.005342,-1.000000,-0.134569
47,0.915254,-0.402877,0.715846,0.698258,-0.409143,0.716373,-1.000000,-0.978674
48,0.911874,-0.410470,0.712531,0.701641,0.327091,-0.669119,-1.000000,-1.846674
49,0.958962,-0.283535,0.872692,0.488271,1.004331,-1.971656,-1.000000,-1.647812
50,0.999262,-0.038402,0.999830,0.018464,1.420235,-2.820059,-1.000000,-0.249039
51,0.969864,0.243649,0.852383,-0.522917,1.342349,-2.706357,1.000000,0.478703
52,0.901128,0.433553,0.578542,-0.815653,0.650193,-1.286279,0.000000,-0.344068
53,0.872373,0.488841,0.464515,-0.885565,-0.033689,-0.045668,0.000000,-1.555943
54,0.906607,0.421976,0.563527,-0.826097,-0.706722,1.193236,0.000000,-2.339335
55,0.972189,0.234198,0.814689,-0.579898,-1.251144,2.295327,1.000000,-1.920496
56,0.998416,-0.056259,0.998414,-0.056301,-1.599480,3.183651,0.000000,-0.285633
57,0.939049,-0.343783,0.856113,0.516788,-1.262996,2.647232,-1.000000,0.361408
58,0.864733,-0.502231,0.598252,0.801308,-0.464354,1.179931,-1.000000,-0.647605
59,0.861162,-0.508330,0.531148,0.847279,0.390358,-0.366572,-1.000000,-1.985520
60,0.930540,-0.366191,0.707726,0.706487,1.170145,-1.879861,-1.000000,-2.296595
61,0.996770,-0.080310,0.961838,0.273619,1.712685,-3.090476,-1.000000,-0.798181
62,0.963079,0.269220,0.928591,-0.371104,1.711007,-3.273996,0.000000,0.760096
63,0.850633,0.525760,0.599263,-0.800552,1.044586,-2.118004,0.000000,0.427945
64,0.778388,0.627783,0.349246,-0.937031,0.194851,-0.732462,0.000000,-0.999882
65,0.807232,0.590235,0.342894,-0.939374,-0.658554,0.663986,0.000000,-2.378820
66,0.911885,0.410446,0.581980,-0.813203,-1.395890,2.032252,0.000000,-2.639283
67,0.995896,0.090507,0.910756,-0.412945,-1.861560,3.106531,1.000000,-1.152110
68,0.956304,-0.292373,0.967265,0.253767,-1.899071,3.493916,-1.000000,0.551465
69,0.824992,-0.565144,0.679983,0.733228,-1.080590,2.073938,-1.000000,0.097083
70,0.753487,-0.657463,0.476742,0.879043,-0.078322,0.430052,-1.000000,-1.509103
71,0.806526,-0.591198,0.544502,0.838760,0.915469,-1.218422,-1.000000,-2.681434
72,0.935755,-0.352650,0.831393,0.555685,1.765588,-2.800365,-1.000000,-1.886481
73,0.998975,0.045262,0.996741,-0.080662,2.183068,-3.694019,-1.000000,0.543400
74,0.895953,0.444149,0.708122,-0.706090,1.859359,-3.138034,0.000000,1.414351
75,0.732051,0.681250,0.302000,-0.953308,0.998579,-1.640319,0.000000,0.128565
76,0.658576,0.752514,0.128921,-0.991655,0.017236,-0.141070,0.000000,-1.825773
77,0.727126,0.686504,0.247602,-0.968862,-0.958733,1.355433,0.000000,-3.291869
78,0.888620,0.458643,0.623931,-0.781479,-1.810111,2.867126,0.000000,-2.864124
