step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.546060,-1.000172,-0.293454,0.000000,0.000000,0.000000,0.160000,0.140000,0.120000,0.100000,-1.000000,0.000000
1,-1.546060,-1.000172,-0.293454,0.007000,0.000000,0.000000,0.160000,0.140000,0.120000,0.100000,-1.000000,0.007000
2,-1.545993,-1.000192,-0.293454,0.014000,0.000000,0.000000,0.160000,0.140000,0.120000,0.100000,-1.000000,0.014000
3,-1.545859,-1.000232,-0.293454,0.012635,-0.005371,-0.229722,0.160000,0.140000,0.120000,0.100000,-1.000000,0.012635
4,-1.545754,-1.000320,-0.295751,0.014456,-0.013642,-0.130547,0.160000,0.140000,0.120000,0.100000,-1.000000,0.014456
5,-1.545655,-1.000493,-0.297057,0.018464,-0.007716,-0.594771,0.160000,0.140000,0.120000,0.100000,-1.000000,0.018464
6,-1.545501,-1.000621,-0.303004,0.023814,-0.016534,-0.259800,0.160000,0.140000,0.120000,0.100000,-1.000000,0.023814
7,-1.545323,-1.000850,-0.305602,0.026136,-0.012580,-0.726427,0.160000,0.140000,0.120000,0.100000,-1.000000,0.026136
8,-1.545112,-1.001048,-0.312867,0.030956,-0.021285,-0.426882,0.160000,0.140000,0.120000,0.100000,-1.000000,0.030956
9,-1.544883,-1.001346,-0.317136,0.033981,-0.017852,-0.826197,0.160000,0.140000,0.120000,0.100000,-1.000000,0.033981
10,-1.544616,-1.001622,-0.325397,0.038344,-0.025797,-0.589363,0.160000,0.140000,0.120000,0.100000,-1.000000,0.038344
11,-1.544335,-1.001989,-0.331291,0.041704,-0.023224,-0.926226,0.160000,0.140000,0.120000,0.100000,-1.000000,0.041704
12,-1.544016,-1.002344,-0.340553,0.045867,-0.029787,-0.767228,0.160000,0.140000,0.120000,0.100000,-1.000000,0.045867
13,-1.543683,-1.002778,-0.348226,0.049446,-0.028652,-1.019612,0.160000,0.140000,0.120000,0.100000,-1.000000,0.049446
14,-1.543316,-1.003216,-0.358422,0.053473,-0.033471,-0.952181,0.160000,0.140000,0.120000,0.100000,-1.000000,0.053473
15,-1.542933,-1.003717,-0.367944,0.057212,-0.033962,-1.113680,0.160000,0.140000,0.120000,0.100000,-1.000000,0.057212
16,-1.542521,-1.004240,-0.379080,0.061152,-0.037174,-1.128214,0.160000,0.140000,0.120000,0.100000,-1.000000,0.061152
17,-1.542091,-1.004811,-0.390363,0.064996,-0.038811,-1.224822,0.160000,0.140000,0.120000,0.100000,-1.000000,0.064996
