step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.028805,1.605242,-1.372625,0.000000,0.000000,0.000000,0.100000,0.100000,0.100000,-1.000000,-0.400000,0.000000
1,-0.028805,1.605242,-1.372625,-0.070000,0.000000,0.000000,0.100000,0.100000,0.100000,-1.000000,-0.400000,-0.070000
2,-0.028943,1.605929,-1.372625,-0.140000,0.000000,0.000000,0.100000,0.100000,0.100000,-1.000000,-0.400000,-0.140000
3,-0.029218,1.607301,-1.372625,-0.210002,0.000000,0.000000,0.100000,0.100000,0.120000,-1.000000,-0.400000,-0.210002
4,-0.029632,1.609360,-1.372625,-0.280006,0.000000,0.000000,0.100000,0.100000,0.120000,-1.000000,-0.400000,-0.280006
5,-0.030183,1.612105,-1.372625,-0.350013,0.000000,0.000000,0.100000,0.100000,0.120000,-1.000000,-0.400000,-0.350013
6,-0.030872,1.615537,-1.372625,-0.420023,0.000000,0.000000,0.100000,0.100000,0.120000,-1.000000,-0.400000,-0.420023
7,-0.031699,1.619655,-1.372625,-0.490038,0.000000,0.000000,0.100000,0.100000,0.120000,-1.000000,-0.400000,-0.490038
8,-0.032664,1.624459,-1.372625,-0.560059,0.000000,0.000000,0.120000,0.120000,0.120000,-1.000000,-0.400000,-0.560059
9,-0.033766,1.629950,-1.372625,-0.630085,0.000000,0.000000,0.120000,0.120000,0.140000,-1.000000,-0.400000,-0.630085
10,-0.035007,1.636128,-1.372625,-0.700119,0.000000,0.000000,0.120000,0.120000,0.140000,-1.000000,-0.400000,-0.700119
11,-0.036385,1.642992,-1.372625,-0.770161,0.000000,0.000000,0.120000,0.120000,0.140000,-1.000000,-0.400000,-0.770161
12,-0.037901,1.650543,-1.372625,-0.840212,0.000000,0.000000,0.140000,0.140000,0.160000,-1.000000,-0.400000,-0.840212
13,-0.039556,1.658781,-1.372625,-0.910272,0.000000,0.000000,0.140000,0.140000,0.160000,-1.000000,-0.400000,-0.910272
14,-0.041348,1.667705,-1.372625,-0.980343,0.000000,0.000000,0.140000,0.140000,0.160000,-1.000000,-0.400000,-0.980343
15,-0.043278,1.677317,-1.372625,-1.050425,0.000000,0.000000,0.160000,0.160000,0.180000,-1.000000,-0.400000,-1.050425
16,-0.045346,1.687615,-1.372625,-1.120519,0.000000,0.000000,0.160000,0.160000,0.180000,-1.000000,-0.400000,-1.120519
17,-0.047552,1.698601,-1.372625,-1.190626,0.000000,0.000000,0.180000,0.180000,0.200000,-1.000000,-0.200000,-1.190626
18,-0.049896,1.710275,-1.372625,-1.260747,0.000000,0.000000,0.180000,0.180000,0.200000,-1.000000,-0.400000,-1.260747
19,-0.052378,1.722635,-1.372625,-1.330883,0.000000,0.000000,0.200000,0.200000,0.220000,-1.000000,-0.400000,-1.330883
20,-0.054998,1.735684,-1.372625,-1.401034,0.000000,0.000000,0.200000,0.200000,0.240000,-1.000000,-0.200000,-1.401034
21,-0.057757,1.749420,-1.372625,-1.471202,0.000000,0.000000,0.220000,0.220000,0.240000,-1.000000,-0.200000,-1.471202
22,-0.060653,1.763844,-1.372625,-1.541386,0.000000,0.000000,0.220000,0.220000,0.260000,-1.000000,-0.400000,-1.541386
23,-0.063688,1.778956,-1.372625,-1.611589,0.000000,0.000000,0.240000,0.240000,0.280000,-1.000000,-0.400000,-1.611589
24,-0.066861,1.794757,-1.372625,-1.681811,0.000000,0.000000,0.240000,0.260000,0.280000,-1.000000,-0.200000,-1.681811
25,-0.070172,1.811245,-1.372625,-1.752052,0.000000,0.000000,0.260000,0.260000,0.300000,-1.000000,-0.200000,-1.752052
26,-0.073621,1.828423,-1.372625,-1.822314,0.000000,0.000000,0.280000,0.280000,0.320000,-1.000000,-0.200000,-1.822314
27,-0.077209,1.846290,-1.372625,-1.892598,0.000000,0.000000,0.300000,0.300000,0.340000,-1.000000,-0.400000,-1.892598
28,-0.080935,1.864845,-1.372625,-1.962904,0.000000,0.000000,0.300000,0.300000,0.400000,-1.000000,-0.400000,-1.962904
29,-0.084799,1.884090,-1.372625,-2.033233,0.000000,0.000000,0.320000,0.320000,0.360000,-1.000000,-0.400000,-2.033233
30,-0.088802,1.904024,-1.372625,-2.103585,0.000000,0.000000,0.340000,0.340000,0.440000,-1.000000,-0.200000,-2.103585
31,-0.092944,1.924649,-1.372625,-2.173963,0.000000,0.000000,0.360000,0.360000,0.460000,-1.000000,-0.200000,-2.173963
32,-0.097224,1.945963,-1.372625,-2.244367,0.000000,0.000000,0.380000,0.380000,0.480000,-1.000000,-0.200000,-2.244367
33,-0.101643,1.967967,-1.372625,-2.314797,0.000000,0.000000,0.380000,0.400000,0.500000,-1.000000,-0.200000,-2.314797
34,-0.106200,1.990662,-1.372625,-2.385254,0.000000,0.000000,0.400000,0.420000,0.520000,-1.000000,-0.200000,-2.385254
