step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.628346,1.500663,0.230742,0.000000,0.000000,0.000000,0.400000,1.000000,0.740000,0.100000,0.100000,0.000000
1,-1.628346,1.500663,0.230742,0.007000,0.000000,0.000000,0.400000,1.000000,0.740000,0.100000,0.100000,0.007000
2,-1.628278,1.500679,0.230742,0.014000,0.000000,0.000000,0.400000,1.000000,0.740000,0.100000,0.100000,0.014000
3,-1.628141,1.500711,0.230742,0.020701,0.002975,0.127252,0.400000,1.000000,0.740000,0.100000,0.100000,0.020701
4,-1.627947,1.500788,0.232014,0.028270,-0.000702,-0.209502,0.400000,1.000000,0.740000,0.100000,0.100000,0.028270
5,-1.627670,1.500846,0.229919,0.034515,0.001159,0.391416,0.400000,1.000000,0.740000,0.100000,0.100000,0.034515
6,-1.627336,1.500936,0.233834,0.042151,0.001702,-0.216668,0.400000,1.000000,0.740000,0.100000,0.100000,0.042151
7,-1.626930,1.501050,0.231667,0.048589,0.001774,0.292836,0.400000,1.000000,0.740000,0.100000,0.100000,0.048589
8,-1.626462,1.501179,0.234595,0.055915,0.003147,-0.073580,0.400000,1.000000,0.740000,0.100000,0.100000,0.055915
9,-1.625925,1.501339,0.233859,0.062665,0.002463,0.187146,0.400000,1.000000,0.740000,0.100000,0.100000,0.062665
10,-1.625321,1.501508,0.235731,0.069748,0.003547,0.057569,0.400000,1.000000,0.740000,0.100000,0.100000,0.069748
11,-1.624651,1.501706,0.236307,0.076671,0.003482,0.130155,0.400000,1.000000,0.740000,0.100000,0.100000,0.076671
12,-1.623914,1.501919,0.237608,0.083657,0.003919,0.119937,0.400000,1.000000,0.720000,0.100000,0.100000,0.083657
13,-1.623110,1.502154,0.238807,0.090625,0.004199,0.134743,0.400000,1.000000,0.720000,0.100000,0.100000,0.090625
14,-1.622240,1.502409,0.240155,0.097597,0.004503,0.144426,0.400000,1.000000,0.720000,0.100000,0.100000,0.097597
15,-1.621302,1.502685,0.241599,0.104568,0.004799,0.154690,0.400000,1.000000,0.720000,0.100000,0.100000,0.104568
16,-1.620298,1.502982,0.243146,0.111539,0.005090,0.164913,0.420000,1.000000,0.720000,0.100000,0.100000,0.111539
17,-1.619228,1.503300,0.244795,0.118510,0.005376,0.175118,0.420000,1.000000,0.720000,0.100000,0.100000,0.118510
18,-1.618091,1.503639,0.246546,0.125481,0.005655,0.185304,0.420000,1.000000,0.720000,0.100000,0.100000,0.125481
19,-1.616888,1.504000,0.248399,0.132452,0.005929,0.195470,0.420000,1.000000,0.720000,0.100000,0.100000,0.132452
20,-1.615619,1.504384,0.250354,0.139423,0.006195,0.205616,0.420000,1.000000,0.720000,0.100000,0.100000,0.139423
21,-1.614284,1.504789,0.252410,0.146393,0.006455,0.215740,0.420000,1.000000,0.720000,0.100000,0.100000,0.146393
22,-1.612882,1.505217,0.254568,0.153364,0.006708,0.225840,0.420000,1.000000,0.700000,0.100000,0.100000,0.153364
23,-1.611415,1.505668,0.256826,0.160335,0.006952,0.235917,0.420000,1.000000,0.700000,0.100000,0.100000,0.160335
24,-1.609882,1.506143,0.259185,0.167305,0.007189,0.245969,0.420000,1.000000,0.700000,0.100000,0.100000,0.167305
25,-1.608283,1.506641,0.261645,0.174275,0.007418,0.255994,0.420000,1.000000,0.700000,0.100000,0.100000,0.174275
26,-1.606619,1.507163,0.264205,0.181245,0.007638,0.265992,0.420000,1.000000,0.700000,0.100000,0.100000,0.181245
27,-1.604889,1.507711,0.266865,0.188214,0.007849,0.275962,0.420000,1.000000,0.700000,0.100000,0.100000,0.188214
28,-1.603094,1.508283,0.269624,0.195184,0.008051,0.285903,0.420000,1.000000,0.680000,0.100000,0.100000,0.195184
29,-1.601235,1.508880,0.272483,0.202153,0.008244,0.295813,0.420000,1.000000,0.680000,0.100000,0.100000,0.202153
30,-1.599310,1.509504,0.275442,0.209121,0.008426,0.305692,0.420000,1.000000,0.680000,0.100000,0.100000,0.209121
31,-1.597320,1.510153,0.278498,0.216089,0.008599,0.315538,0.400000,1.000000,0.680000,0.100000,0.100000,0.216089
32,-1.595266,1.510830,0.281654,0.223056,0.008760,0.325351,0.400000,1.000000,0.680000,0.100000,0.100000,0.223056
33,-1.593148,1.511534,0.284907,0.230023,0.008912,0.335129,0.400000,1.000000,0.660000,0.100000,0.100000,0.230023
34,-1.590966,1.512266,0.288259,0.236989,0.009052,0.344872,0.400000,1.000000,0.660000,0.100000,0.100000,0.236989
35,-1.588719,1.513027,0.291707,0.243954,0.009180,0.354578,0.400000,1.000000,0.660000,0.100000,0.100000,0.243954
36,-1.586409,1.513816,0.295253,0.250918,0.009297,0.364246,0.400000,1.000000,0.660000,0.100000,0.100000,0.250918
37,-1.584036,1.514635,0.298896,0.257882,0.009402,0.373876,0.400000,1.000000,0.660000,0.100000,0.100000,0.257882
38,-1.581599,1.515485,0.302634,0.264844,0.009495,0.383466,0.400000,1.000000,0.640000,0.100000,0.100000,0.264844
39,-1.579099,1.516365,0.306469,0.271806,0.009575,0.393016,0.400000,1.000000,0.640000,0.100000,0.100000,0.271806
40,-1.576536,1.517276,0.310399,0.278766,0.009642,0.402524,0.400000,1.000000,0.640000,0.100000,0.100000,0.278766
41,-1.573911,1.518219,0.314424,0.285725,0.009696,0.411990,0.440000,1.000000,0.640000,0.100000,0.100000,0.285725
42,-1.571224,1.519195,0.318544,0.292683,0.009737,0.421412,0.460000,1.000000,0.640000,0.100000,0.100000,0.292683
43,-1.568475,1.520204,0.322758,0.299639,0.009764,0.430789,0.460000,1.000000,0.620000,0.100000,0.100000,0.299639
44,-1.565664,1.521247,0.327066,0.306593,0.009778,0.440122,0.460000,1.000000,0.620000,0.100000,0.100000,0.306593
45,-1.562792,1.522325,0.331468,0.313546,0.009777,0.449408,0.460000,1.000000,0.620000,0.100000,0.100000,0.313546
46,-1.559859,1.523438,0.335962,0.320497,0.009761,0.458647,0.460000,1.000000,0.620000,0.100000,0.100000,0.320497
47,-1.556866,1.524586,0.340548,0.327446,0.009731,0.467837,0.460000,1.000000,0.600000,0.100000,0.100000,0.327446
48,-1.553812,1.525772,0.345226,0.334393,0.009686,0.476979,0.460000,1.000000,0.600000,0.100000,0.100000,0.334393
49,-1.550698,1.526994,0.349996,0.341338,0.009626,0.486071,0.460000,1.000000,0.600000,0.100000,0.100000,0.341338
50,-1.547525,1.528255,0.354857,0.348280,0.009551,0.495111,0.440000,1.000000,0.600000,0.100000,0.100000,0.348280
51,-1.544292,1.529555,0.359808,0.355220,0.009459,0.504101,0.440000,1.000000,0.580000,0.100000,0.100000,0.355220
52,-1.541001,1.530894,0.364849,0.362157,0.009352,0.513037,0.440000,1.000000,0.580000,0.100000,0.100000,0.362157
53,-1.537651,1.532274,0.369979,0.369092,0.009229,0.521920,0.440000,1.000000,0.580000,0.100000,0.100000,0.369092
54,-1.534243,1.533694,0.375199,0.376023,0.009089,0.530749,0.440000,1.000000,0.580000,0.100000,0.100000,0.376023
55,-1.530778,1.535157,0.380506,0.382951,0.008933,0.539523,1.000000,1.000000,0.560000,0.100000,0.100000,0.382951
56,-1.527255,1.536662,0.385901,0.389876,0.008760,0.548241,1.000000,1.000000,0.560000,0.100000,0.100000,0.389876
57,-1.523676,1.538211,0.391384,0.396798,0.008570,0.556903,1.000000,0.980000,0.560000,0.100000,0.100000,0.396798
58,-1.520041,1.539804,0.396953,0.403716,0.008363,0.565507,1.000000,0.960000,0.560000,0.100000,0.000000,0.403716
59,-1.516350,1.541442,0.402608,0.410749,0.005075,0.443043,1.000000,0.940000,0.540000,0.100000,0.000000,0.410749
60,-1.512591,1.543098,0.407038,0.417757,0.002705,0.347015,1.000000,0.940000,0.540000,0.100000,0.000000,0.417757
61,-1.508765,1.544776,0.410508,0.424752,0.001025,0.271832,1.000000,0.920000,0.540000,0.100000,0.000000,0.424752
62,-1.504875,1.546481,0.413227,0.431739,-0.000140,0.212957,1.000000,0.920000,0.540000,0.100000,0.000000,0.431739
63,-1.500920,1.548213,0.415356,0.438723,-0.000925,0.166809,1.000000,0.900000,0.540000,0.100000,0.000000,0.438723
64,-1.496902,1.549975,0.417024,0.445705,-0.001433,0.130593,1.000000,0.900000,0.520000,0.100000,0.000000,0.445705
