step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.860198,-1.534276,-1.573645,0.000000,0.000000,0.000000,0.360000,0.340000,0.360000,0.200000,-0.450000,0.000000
1,0.860198,-1.534276,-1.573645,0.014000,0.000000,0.000000,0.360000,0.340000,0.360000,0.200000,-0.450000,0.014000
2,0.860198,-1.534416,-1.573645,0.024258,-0.007746,-0.331289,0.360000,0.340000,0.360000,0.200000,-0.450000,0.024258
3,0.860119,-1.534658,-1.576957,0.040368,-0.007369,0.048785,0.360000,0.340000,0.360000,0.200000,-0.450000,0.040368
4,0.860043,-1.535061,-1.576470,0.051245,-0.008077,-0.508137,0.360000,0.340000,0.360000,0.200000,-0.450000,0.051245
5,0.859960,-1.535573,-1.581551,0.064867,-0.013547,-0.308551,0.360000,0.340000,0.360000,0.200000,-0.450000,0.064867
6,0.859817,-1.536221,-1.584636,0.077416,-0.014694,-0.525523,0.360000,0.340000,0.360000,0.200000,-0.450000,0.077416
7,0.859660,-1.536993,-1.589892,0.090425,-0.017658,-0.563483,0.360000,0.340000,0.360000,0.200000,-0.450000,0.090425
8,0.859466,-1.537893,-1.595527,0.103341,-0.019952,-0.650977,0.360000,0.340000,0.360000,0.200000,-0.450000,0.103341
9,0.859241,-1.538922,-1.602036,0.116284,-0.022240,-0.731318,0.360000,0.340000,0.360000,0.200000,-0.450000,0.116284
10,0.858982,-1.540077,-1.609350,0.129238,-0.024448,-0.811227,0.360000,0.340000,0.360000,0.200000,-0.450000,0.129238
11,0.858688,-1.541359,-1.617462,0.142200,-0.026569,-0.890656,0.360000,0.340000,0.360000,0.200000,-0.450000,0.142200
12,0.858356,-1.542767,-1.626368,0.155171,-0.028596,-0.969564,0.360000,0.340000,0.360000,0.200000,-0.450000,0.155171
13,0.857985,-1.544300,-1.636064,0.168151,-0.030522,-1.047905,0.360000,0.340000,0.340000,0.200000,-0.500000,0.168151
14,0.857570,-1.545958,-1.646543,0.180379,-0.033406,-1.171365,0.360000,0.340000,0.340000,0.200000,-0.500000,0.180379
15,0.857101,-1.547732,-1.658257,0.192796,-0.035893,-1.277524,0.360000,0.340000,0.340000,0.200000,-0.500000,0.192796
16,0.856575,-1.549621,-1.671032,0.205331,-0.038050,-1.374166,0.360000,0.340000,0.340000,0.200000,-0.500000,0.205331
17,0.855991,-1.551626,-1.684774,0.217940,-0.039930,-1.464987,0.360000,0.340000,0.340000,0.200000,-0.500000,0.217940
18,0.855346,-1.553746,-1.699423,0.230598,-0.041565,-1.551869,0.360000,0.320000,0.340000,0.200000,-0.500000,0.230598
19,0.854638,-1.555979,-1.714942,0.243287,-0.042974,-1.635827,0.360000,0.320000,0.340000,0.200000,-0.500000,0.243287
20,0.853863,-1.558325,-1.731300,0.255993,-0.044166,-1.717423,0.360000,0.320000,0.320000,0.200000,-0.550000,0.255993
21,0.853018,-1.560782,-1.748475,0.267932,-0.046005,-1.833701,0.380000,0.320000,0.320000,0.200000,-0.550000,0.267932
22,0.852092,-1.563338,-1.766812,0.279985,-0.047450,-1.939594,0.380000,0.320000,0.320000,0.200000,-0.550000,0.279985
23,0.851081,-1.565991,-1.786208,0.292115,-0.048534,-2.037591,0.380000,0.320000,0.320000,0.200000,-0.550000,0.292115
24,0.849983,-1.568741,-1.806584,0.304295,-0.049282,-2.129350,0.380000,0.320000,0.320000,0.200000,-0.550000,0.304295
25,0.848793,-1.571585,-1.827877,0.316501,-0.049711,-2.215987,0.380000,0.320000,0.320000,0.200000,-0.550000,0.316501
26,0.847507,-1.574519,-1.850037,0.328714,-0.049834,-2.298265,0.380000,0.320000,0.320000,0.200000,-0.550000,0.328714
27,0.846122,-1.577542,-1.873020,0.340916,-0.049659,-2.376706,0.380000,0.320000,0.300000,0.200000,-0.550000,0.340916
28,0.844633,-1.580649,-1.896787,0.353092,-0.049190,-2.451672,0.380000,0.320000,0.300000,0.200000,-0.550000,0.353092
29,0.843036,-1.583836,-1.921303,0.365229,-0.048431,-2.523412,0.400000,0.320000,0.300000,0.200000,-0.550000,0.365229
30,0.841328,-1.587100,-1.946537,0.377314,-0.047382,-2.592098,0.400000,0.320000,0.300000,0.200000,-0.550000,0.377314
31,0.839502,-1.590436,-1.972458,0.389334,-0.046045,-2.657848,0.400000,0.320000,0.300000,0.200000,-0.550000,0.389334
32,0.837556,-1.593840,-1.999037,0.401277,-0.044419,-2.720743,0.400000,0.320000,0.300000,0.200000,-0.550000,0.401277
33,0.835486,-1.597306,-2.026244,0.413132,-0.042503,-2.780836,0.420000,0.320000,0.300000,0.200000,-0.550000,0.413132
34,0.833287,-1.600829,-2.054053,0.424885,-0.040296,-2.838167,0.420000,0.320000,0.300000,0.200000,-0.550000,0.424885
35,0.830956,-1.604404,-2.082434,0.436527,-0.037800,-2.892760,0.440000,0.320000,0.300000,0.200000,-0.550000,0.436527
36,0.828489,-1.608025,-2.111362,0.448045,-0.035013,-2.944637,0.440000,0.320000,0.280000,0.200000,-0.600000,0.448045
37,0.825883,-1.611687,-2.140808,0.458771,-0.032281,-3.008570,0.460000,0.340000,0.280000,0.200000,-0.600000,0.458771
38,0.823135,-1.615375,-2.170894,0.469388,-0.029180,-3.067370,0.460000,0.340000,0.280000,0.200000,-0.600000,0.469388
39,0.820244,-1.619084,-2.201568,0.479876,-0.025723,-3.121348,0.480000,0.340000,0.280000,0.200000,-0.600000,0.479876
40,0.817206,-1.622807,-2.232781,0.490219,-0.021924,-3.170775,0.500000,0.340000,0.280000,0.200000,-0.600000,0.490219
41,0.814020,-1.626539,-2.264489,0.500399,-0.017794,-3.215894,0.520000,0.340000,0.280000,0.200000,-0.600000,0.500399
42,0.810684,-1.630273,-2.296648,0.510403,-0.013347,-3.256923,0.540000,0.360000,0.280000,0.200000,-0.600000,0.510403
43,0.807196,-1.634002,-2.329217,0.520215,-0.008595,-3.294059,0.580000,0.360000,0.280000,0.200000,-0.600000,0.520215
44,0.803555,-1.637719,-2.362158,0.529822,-0.003549,-3.327485,0.600000,0.360000,0.280000,0.200000,-0.600000,0.529822
45,0.799762,-1.641418,-2.395433,0.539212,0.001777,-3.357370,0.640000,0.380000,0.280000,0.200000,-0.600000,0.539212
46,0.795814,-1.645091,-2.429006,0.548374,0.007371,-3.383874,0.700000,0.380000,0.280000,0.200000,-0.600000,0.548374
47,0.791713,-1.648732,-2.462845,0.557298,0.013219,-3.407150,0.760000,0.400000,0.300000,0.200000,-0.550000,0.557298
48,0.787458,-1.652334,-2.496917,0.566536,0.019405,-3.423197,0.820000,0.400000,0.300000,0.200000,-0.550000,0.566536
49,0.783047,-1.655894,-2.531148,0.575504,0.025794,-3.437516,0.920000,0.420000,0.300000,0.200000,-0.550000,0.575504
50,0.778479,-1.659404,-2.565524,0.584198,0.032380,-3.450112,1.000000,0.440000,0.300000,0.200000,-0.550000,0.584198
51,0.773756,-1.662858,-2.600025,0.592612,0.039153,-3.461002,1.000000,0.460000,0.300000,0.200000,-0.550000,0.592612
52,0.768880,-1.666248,-2.634635,0.600741,0.046107,-3.470211,1.000000,0.480000,0.320000,0.200000,-0.550000,0.600741
53,0.763852,-1.669568,-2.669337,0.608581,0.053230,-3.477775,1.000000,0.500000,0.320000,0.200000,-0.550000,0.608581
54,0.758674,-1.672810,-2.704115,0.616128,0.060513,-3.483732,1.000000,0.540000,0.320000,0.200000,-0.550000,0.616128
55,0.753350,-1.675969,-2.738952,0.623379,0.067945,-3.488128,1.000000,0.560000,0.340000,0.200000,-0.500000,0.623379
56,0.747881,-1.679037,-2.773833,0.630862,0.075561,-3.489023,1.000000,0.620000,0.340000,0.200000,-0.500000,0.630862
57,0.742266,-1.682010,-2.808723,0.638038,0.083292,-3.489360,1.000000,0.660000,0.360000,0.200000,-0.450000,0.638038
58,0.736508,-1.684882,-2.843617,0.645444,0.091244,-3.484357,1.000000,0.740000,0.360000,0.200000,-0.450000,0.645444
59,0.730605,-1.687649,-2.878461,0.652534,0.099269,-3.479812,1.000000,0.820000,0.380000,0.250000,-0.400000,0.652534
60,0.724563,-1.690305,-2.913259,0.663351,0.107545,-3.467891,1.000000,0.920000,0.400000,0.450000,-0.350000,0.663351
61,0.718345,-1.692854,-2.947938,0.688393,0.116253,-3.446008,1.000000,1.000000,0.400000,0.550000,-0.350000,0.688393
62,0.711814,-1.695319,-2.982398,0.720111,0.125559,-3.429641,1.000000,1.000000,0.420000,0.550000,-0.350000,0.720111
