step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.859741,-1.643339,-1.777029,0.000000,0.000000,0.000000,0.300000,0.260000,0.260000,0.100000,-0.900000,0.000000
1,0.859741,-1.643339,-1.777029,0.007000,0.000000,0.000000,0.300000,0.260000,0.260000,0.100000,-0.900000,0.007000
2,0.859727,-1.643407,-1.777029,0.014000,0.000000,0.000000,0.300000,0.260000,0.260000,0.100000,-0.900000,0.014000
3,0.859698,-1.643544,-1.777029,0.013266,-0.006138,-0.262506,0.300000,0.260000,0.260000,0.100000,-0.900000,0.013266
4,0.859611,-1.643661,-1.779654,0.018012,-0.013157,-0.083872,0.300000,0.260000,0.260000,0.100000,-0.900000,0.018012
5,0.859445,-1.643810,-1.780493,0.020998,-0.008575,-0.598223,0.300000,0.260000,0.260000,0.100000,-0.900000,0.020998
6,0.859317,-1.643998,-1.786475,0.027806,-0.016330,-0.232336,0.300000,0.260000,0.260000,0.100000,-0.900000,0.027806
7,0.859098,-1.644234,-1.788798,0.030477,-0.012977,-0.709183,0.300000,0.260000,0.260000,0.100000,-0.900000,0.030477
8,0.858905,-1.644504,-1.795890,0.035974,-0.021004,-0.423777,0.300000,0.260000,0.260000,0.100000,-0.900000,0.035974
9,0.858620,-1.644808,-1.800128,0.039635,-0.018236,-0.799834,0.300000,0.260000,0.260000,0.100000,-0.900000,0.039635
10,0.858353,-1.645152,-1.808126,0.044604,-0.025161,-0.605312,0.300000,0.260000,0.260000,0.100000,-0.900000,0.044604
11,0.858003,-1.645527,-1.814180,0.048658,-0.023711,-0.887463,0.300000,0.260000,0.260000,0.100000,-0.900000,0.048658
12,0.857656,-1.645942,-1.823054,0.053385,-0.028844,-0.796888,0.300000,0.260000,0.260000,0.100000,-0.900000,0.053385
13,0.857243,-1.646387,-1.831023,0.057679,-0.029141,-0.974745,0.300000,0.260000,0.260000,0.100000,-0.900000,0.057679
14,0.856813,-1.646869,-1.840771,0.062258,-0.032486,-0.980793,0.300000,0.260000,0.260000,0.100000,-0.900000,0.062258
15,0.856334,-1.647382,-1.850578,0.066698,-0.034094,-1.081703,0.300000,0.260000,0.260000,0.100000,-0.900000,0.066698
16,0.855822,-1.647929,-1.861395,0.071217,-0.036452,-1.138529,0.320000,0.260000,0.260000,0.100000,-0.900000,0.071217
17,0.855269,-1.648507,-1.872781,0.075720,-0.038490,-1.211225,0.320000,0.260000,0.260000,0.100000,-0.900000,0.075720
18,0.854676,-1.649116,-1.884893,0.080240,-0.040578,-1.278711,0.320000,0.260000,0.260000,0.100000,-0.900000,0.080240
