step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.773056,-1.544877,-2.468655,0.000000,0.000000,0.000000,1.000000,0.520000,0.380000,0.050000,-0.350000,0.000000
1,0.773056,-1.544877,-2.468655,0.003500,0.000000,0.000000,1.000000,0.520000,0.380000,0.050000,-0.350000,0.003500
2,0.773029,-1.544899,-2.468655,0.007000,0.000000,0.000000,1.000000,0.520000,0.380000,0.050000,-0.350000,0.007000
3,0.772974,-1.544942,-2.468655,0.010500,0.000000,0.000000,1.000000,0.520000,0.380000,0.050000,-0.350000,0.010500
4,0.772892,-1.545008,-2.468655,0.011348,-0.007265,-0.310728,1.000000,0.520000,0.380000,0.050000,-0.350000,0.011348
5,0.772758,-1.545022,-2.471762,0.018083,-0.004721,0.371969,1.000000,0.540000,0.400000,0.050000,-0.300000,0.018083
6,0.772587,-1.545097,-2.468043,0.018786,-0.005814,-0.399757,1.000000,0.520000,0.380000,0.050000,-0.350000,0.018786
7,0.772404,-1.545169,-2.472040,0.025120,-0.005300,0.282868,1.000000,0.540000,0.400000,0.050000,-0.300000,0.025120
8,0.772174,-1.545283,-2.469212,0.026139,-0.005573,-0.436192,1.000000,0.520000,0.380000,0.050000,-0.350000,0.026139
9,0.771935,-1.545402,-2.473573,0.031894,-0.006293,0.163260,1.000000,0.540000,0.400000,0.050000,-0.300000,0.031894
10,0.771645,-1.545550,-2.471941,0.033498,-0.005316,-0.444120,1.000000,0.540000,0.400000,0.050000,-0.300000,0.033498
11,0.771350,-1.545716,-2.476382,0.038610,-0.006491,0.089607,1.000000,0.540000,0.400000,0.050000,-0.300000,0.038610
12,0.771006,-1.545904,-2.475486,0.040504,-0.005626,-0.426989,1.000000,0.540000,0.400000,0.050000,-0.300000,0.040504
13,0.770653,-1.546110,-2.479756,0.045059,-0.007684,-0.013572,1.000000,0.540000,0.400000,0.050000,-0.300000,0.045059
14,0.770250,-1.546326,-2.479892,0.047496,-0.006440,-0.388483,1.000000,0.540000,0.400000,0.050000,-0.300000,0.047496
15,0.769836,-1.546567,-2.483776,0.051535,-0.008681,-0.118279,1.000000,0.540000,0.400000,0.050000,-0.300000,0.051535
16,0.769375,-1.546814,-2.484959,0.054422,-0.007642,-0.350068,1.000000,0.540000,0.400000,0.050000,-0.300000,0.054422
17,0.768897,-1.547085,-2.488460,0.058095,-0.009350,-0.214309,1.000000,0.540000,0.400000,0.050000,-0.300000,0.058095
18,0.768379,-1.547364,-2.490603,0.061267,-0.009024,-0.327130,1.000000,0.540000,0.400000,0.050000,-0.300000,0.061267
19,0.767837,-1.547663,-2.493874,0.064735,-0.010003,-0.287588,1.000000,0.540000,0.400000,0.050000,-0.300000,0.064735
20,0.767260,-1.547974,-2.496750,0.068045,-0.010252,-0.330988,1.000000,0.540000,0.400000,0.050000,-0.300000,0.068045
21,0.766655,-1.548301,-2.500060,0.071431,-0.010842,-0.335030,1.000000,0.540000,0.400000,0.050000,-0.300000,0.071431
22,0.766018,-1.548642,-2.503410,0.074786,-0.011290,-0.355068,1.000000,0.540000,0.400000,0.050000,-0.300000,0.074786
23,0.765350,-1.548997,-2.506961,0.078152,-0.011782,-0.369591,1.000000,0.560000,0.400000,0.050000,-0.300000,0.078152
24,0.764650,-1.549365,-2.510657,0.081515,-0.012257,-0.385663,1.000000,0.560000,0.400000,0.050000,-0.300000,0.081515
25,0.763920,-1.549747,-2.514514,0.084878,-0.012731,-0.401356,1.000000,0.560000,0.400000,0.050000,-0.300000,0.084878
26,0.763158,-1.550142,-2.518527,0.088242,-0.013201,-0.417095,1.000000,0.560000,0.400000,0.050000,-0.300000,0.088242
27,0.762364,-1.550550,-2.522698,0.091606,-0.013667,-0.432806,1.000000,0.560000,0.400000,0.050000,-0.300000,0.091606
28,0.761539,-1.550970,-2.527026,0.094970,-0.014129,-0.448497,1.000000,0.560000,0.400000,0.050000,-0.300000,0.094970
29,0.760681,-1.551402,-2.531511,0.098334,-0.014587,-0.464168,1.000000,0.560000,0.400000,0.050000,-0.300000,0.098334
30,0.759792,-1.551846,-2.536153,0.101698,-0.015040,-0.479816,1.000000,0.560000,0.400000,0.050000,-0.300000,0.101698
31,0.758870,-1.552301,-2.540951,0.105063,-0.015489,-0.495441,1.000000,0.580000,0.400000,0.050000,-0.300000,0.105063
32,0.757916,-1.552767,-2.545905,0.108427,-0.015932,-0.511043,1.000000,0.580000,0.400000,0.050000,-0.300000,0.108427
33,0.756929,-1.553244,-2.551016,0.111791,-0.016371,-0.526621,1.000000,0.580000,0.400000,0.050000,-0.300000,0.111791
34,0.755909,-1.553730,-2.556282,0.115155,-0.016805,-0.542173,1.000000,0.580000,0.400000,0.050000,-0.300000,0.115155
35,0.754857,-1.554226,-2.561704,0.118519,-0.017234,-0.557699,1.000000,0.580000,0.400000,0.050000,-0.300000,0.118519
36,0.753771,-1.554731,-2.567281,0.121883,-0.017658,-0.573199,1.000000,0.600000,0.400000,0.050000,-0.300000,0.121883
37,0.752651,-1.555245,-2.573013,0.125247,-0.018076,-0.588670,1.000000,0.600000,0.400000,0.050000,-0.300000,0.125247
38,0.751499,-1.555767,-2.578899,0.128610,-0.018488,-0.604113,1.000000,0.600000,0.400000,0.050000,-0.300000,0.128610
39,0.750312,-1.556297,-2.584941,0.131974,-0.018895,-0.619527,1.000000,0.600000,0.420000,0.050000,-0.300000,0.131974
40,0.749092,-1.556834,-2.591136,0.135337,-0.019296,-0.634910,1.000000,0.620000,0.420000,0.100000,-0.250000,0.135337
41,0.747838,-1.557377,-2.597485,0.142624,-0.018203,-0.586644,1.000000,0.620000,0.420000,0.100000,-0.250000,0.142624
42,0.746523,-1.557960,-2.603351,0.149668,-0.017882,-0.583332,1.000000,0.620000,0.420000,0.100000,-0.250000,0.149668
43,0.745146,-1.558574,-2.609185,0.156605,-0.017968,-0.595772,1.000000,0.620000,0.420000,0.100000,-0.250000,0.156605
44,0.743706,-1.559214,-2.615142,0.163491,-0.018263,-0.614474,1.000000,0.640000,0.420000,0.100000,-0.200000,0.163491
45,0.742201,-1.559877,-2.621287,0.170707,-0.017157,-0.571592,1.000000,0.640000,0.420000,0.100000,-0.200000,0.170707
46,0.740634,-1.560577,-2.627003,0.177773,-0.016672,-0.561333,1.000000,0.640000,0.420000,0.100000,-0.200000,0.177773
47,0.739004,-1.561307,-2.632616,0.184761,-0.016539,-0.565716,1.000000,0.640000,0.420000,0.100000,-0.200000,0.184761
48,0.737310,-1.562063,-2.638274,0.191706,-0.016602,-0.577080,1.000000,0.660000,0.420000,0.150000,-0.200000,0.191706
49,0.735551,-1.562842,-2.644044,0.202128,-0.016775,-0.591960,1.000000,0.660000,0.420000,0.150000,-0.200000,0.202128
50,0.733695,-1.563659,-2.649964,0.212517,-0.017064,-0.612786,1.000000,0.660000,0.420000,0.150000,-0.200000,0.212517
51,0.731741,-1.564512,-2.656092,0.222888,-0.017405,-0.636609,1.000000,0.680000,0.420000,0.200000,-0.150000,0.222888
52,0.729688,-1.565398,-2.662458,0.237039,-0.016245,-0.597193,1.000000,0.680000,0.420000,0.200000,-0.150000,0.237039
53,0.727510,-1.566347,-2.668430,0.251088,-0.015616,-0.585139,1.000000,0.680000,0.420000,0.200000,-0.150000,0.251088
54,0.725204,-1.567352,-2.674281,0.265077,-0.015291,-0.588098,1.000000,0.680000,0.440000,0.200000,-0.150000,0.265077
55,0.722768,-1.568410,-2.680162,0.279029,-0.015137,-0.599642,1.000000,0.700000,0.440000,0.200000,-0.150000,0.279029
56,0.720202,-1.569517,-2.686159,0.292956,-0.015070,-0.616272,1.000000,0.700000,0.440000,0.200000,-0.150000,0.292956
57,0.717505,-1.570670,-2.692321,0.306866,-0.015039,-0.635997,1.000000,0.700000,0.440000,0.200000,-0.150000,0.306866
58,0.714676,-1.571867,-2.698681,0.320764,-0.015009,-0.657640,1.000000,0.720000,0.440000,0.200000,-0.150000,0.320764
59,0.711713,-1.573106,-2.705258,0.334650,-0.014956,-0.680475,1.000000,0.720000,0.440000,0.200000,-0.150000,0.334650
