step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.070635,1.542004,0.031856,0.000000,0.000000,0.000000,0.240000,1.000000,0.780000,0.200000,0.200000,0.000000
1,0.070635,1.542004,0.031856,0.014000,0.000000,0.000000,0.240000,1.000000,0.780000,0.200000,0.200000,0.014000
2,0.070775,1.542008,0.031856,0.026923,0.005314,0.227281,0.240000,1.000000,0.780000,0.200000,0.200000,0.026923
3,0.071043,1.542070,0.034129,0.042077,0.002275,-0.142970,0.240000,1.000000,0.780000,0.200000,0.200000,0.042077
4,0.071462,1.542107,0.032699,0.054829,0.003680,0.352968,0.240000,1.000000,0.780000,0.200000,0.200000,0.054829
5,0.072009,1.542162,0.036229,0.069138,0.006369,0.078859,0.240000,1.000000,0.780000,0.200000,0.200000,0.069138
6,0.072698,1.542250,0.037018,0.082688,0.006734,0.263816,0.260000,1.000000,0.780000,0.200000,0.200000,0.082688
7,0.073522,1.542348,0.039656,0.096534,0.008171,0.260232,0.260000,1.000000,0.760000,0.200000,0.200000,0.096534
8,0.074483,1.542468,0.042258,0.110318,0.009234,0.302951,0.260000,1.000000,0.760000,0.200000,0.200000,0.110318
9,0.075581,1.542607,0.045288,0.124112,0.010289,0.340687,0.260000,1.000000,0.760000,0.200000,0.200000,0.124112
10,0.076817,1.542766,0.048695,0.137907,0.011305,0.378189,0.260000,1.000000,0.740000,0.150000,0.150000,0.137907
11,0.078188,1.542946,0.052476,0.148495,0.010765,0.350720,0.260000,1.000000,0.740000,0.150000,0.150000,0.148495
12,0.079666,1.543131,0.055984,0.158985,0.010735,0.354677,0.260000,1.000000,0.740000,0.150000,0.150000,0.158985
13,0.081247,1.543327,0.059530,0.169435,0.010948,0.368819,0.280000,1.000000,0.720000,0.150000,0.150000,0.169435
14,0.082932,1.543538,0.063219,0.179867,0.011273,0.386843,0.280000,1.000000,0.720000,0.150000,0.150000,0.179867
15,0.084720,1.543764,0.067087,0.190289,0.011645,0.406524,0.280000,1.000000,0.720000,0.150000,0.150000,0.190289
16,0.086611,1.544007,0.071152,0.200706,0.012030,0.426964,0.280000,1.000000,0.700000,0.100000,0.100000,0.200706
17,0.088604,1.544270,0.075422,0.207819,0.010876,0.382145,0.280000,1.000000,0.700000,0.100000,0.100000,0.207819
18,0.090668,1.544535,0.079243,0.214873,0.010205,0.361284,0.300000,1.000000,0.700000,0.100000,0.100000,0.214873
19,0.092802,1.544807,0.082856,0.221894,0.009827,0.353307,0.300000,1.000000,0.680000,0.100000,0.100000,0.221894
20,0.095005,1.545089,0.086389,0.228894,0.009627,0.352467,0.300000,1.000000,0.680000,0.100000,0.100000,0.228894
