step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.439461,-1.269090,-0.656108,0.000000,0.000000,0.000000,0.400000,0.380000,0.360000,0.100000,-1.000000,0.000000
1,1.439461,-1.269090,-0.656108,0.007000,0.000000,0.000000,0.400000,0.380000,0.360000,0.100000,-1.000000,0.007000
2,1.439517,-1.269133,-0.656108,0.014000,0.000000,0.000000,0.400000,0.380000,0.360000,0.100000,-1.000000,0.014000
3,1.439628,-1.269218,-0.656108,0.012635,-0.005371,-0.229722,0.400000,0.380000,0.360000,0.100000,-1.000000,0.012635
4,1.439695,-1.269338,-0.658405,0.014456,-0.013642,-0.130547,0.400000,0.380000,0.360000,0.100000,-1.000000,0.014456
5,1.439726,-1.269534,-0.659710,0.018464,-0.007716,-0.594771,0.400000,0.380000,0.360000,0.100000,-1.000000,0.018464
6,1.439824,-1.269708,-0.665658,0.023814,-0.016534,-0.259800,0.400000,0.380000,0.360000,0.100000,-1.000000,0.023814
7,1.439910,-1.269985,-0.668256,0.026136,-0.012580,-0.726427,0.400000,0.380000,0.360000,0.100000,-1.000000,0.026136
8,1.440037,-1.270246,-0.675520,0.030956,-0.021285,-0.426882,0.420000,0.360000,0.360000,0.100000,-1.000000,0.030956
9,1.440145,-1.270606,-0.679789,0.033981,-0.017852,-0.826197,0.420000,0.360000,0.360000,0.100000,-1.000000,0.033981
10,1.440297,-1.270958,-0.688051,0.038344,-0.025797,-0.589363,0.400000,0.360000,0.360000,0.100000,-1.000000,0.038344
11,1.440430,-1.271401,-0.693945,0.041704,-0.023224,-0.926226,0.400000,0.360000,0.360000,0.100000,-1.000000,0.041704
12,1.440602,-1.271846,-0.703207,0.045867,-0.029787,-0.767228,0.400000,0.360000,0.360000,0.100000,-1.000000,0.045867
13,1.440759,-1.272370,-0.710879,0.049446,-0.028652,-1.019612,0.400000,0.360000,0.360000,0.100000,-1.000000,0.049446
14,1.440947,-1.272910,-0.721075,0.053473,-0.033471,-0.952181,0.400000,0.340000,0.360000,0.100000,-1.000000,0.053473
15,1.441127,-1.273514,-0.730597,0.057212,-0.033962,-1.113680,0.400000,0.340000,0.360000,0.100000,-1.000000,0.057212
16,1.441327,-1.274149,-0.741734,0.061152,-0.037174,-1.128214,0.400000,0.340000,0.360000,0.100000,-1.000000,0.061152
17,1.441527,-1.274836,-0.753016,0.064996,-0.038811,-1.224822,0.400000,0.340000,0.360000,0.100000,-1.000000,0.064996
18,1.441735,-1.275564,-0.765264,0.068903,-0.041150,-1.281770,0.380000,0.360000,0.360000,0.100000,-1.000000,0.068903
19,1.441947,-1.276338,-0.778082,0.072800,-0.043167,-1.353740,0.380000,0.360000,0.360000,0.100000,-1.000000,0.072800
20,1.442163,-1.277156,-0.791619,0.076713,-0.045245,-1.420158,0.380000,0.360000,0.380000,0.100000,-1.000000,0.076713
21,1.442380,-1.278020,-0.805821,0.080636,-0.047265,-1.487219,0.380000,0.360000,0.380000,0.100000,-1.000000,0.080636
22,1.442597,-1.278929,-0.820693,0.084568,-0.049253,-1.553404,0.380000,0.360000,0.380000,0.100000,-1.000000,0.084568
23,1.442814,-1.279884,-0.836227,0.088510,-0.051204,-1.618947,0.380000,0.360000,0.380000,0.100000,-1.000000,0.088510
24,1.443027,-1.280884,-0.852417,0.092462,-0.053116,-1.683782,0.360000,0.340000,0.380000,0.100000,-1.000000,0.092462
25,1.443236,-1.281929,-0.869254,0.096422,-0.054987,-1.747878,0.380000,0.340000,0.360000,0.100000,-1.000000,0.096422
26,1.443438,-1.283021,-0.886733,0.100391,-0.056815,-1.811200,0.400000,0.340000,0.340000,0.100000,-1.000000,0.100391
27,1.443632,-1.284158,-0.904845,0.104368,-0.058600,-1.873714,0.400000,0.340000,0.340000,0.100000,-1.000000,0.104368
28,1.443816,-1.285341,-0.923582,0.108353,-0.060338,-1.935386,0.400000,0.340000,0.340000,0.100000,-1.000000,0.108353
29,1.443988,-1.286569,-0.942936,0.112344,-0.062029,-1.996181,0.400000,0.360000,0.360000,0.100000,-1.000000,0.112344
