step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.727994,0.075128,-2.459382,0.000000,0.000000,0.000000,0.020000,0.080000,0.120000,0.150000,-1.000000,0.000000
1,-1.727994,0.075128,-2.459382,0.010500,0.000000,0.000000,0.020000,0.080000,0.120000,0.150000,-1.000000,0.010500
2,-1.728076,0.075062,-2.459382,0.012635,-0.005371,-0.229722,0.020000,0.080000,0.120000,0.150000,-1.000000,0.012635
3,-1.728208,0.075024,-2.461679,0.017956,-0.013642,-0.130547,0.020000,0.080000,0.120000,0.150000,-1.000000,0.017956
4,-1.728433,0.075017,-2.462985,0.023427,-0.009196,-0.642149,0.020000,0.080000,0.120000,0.150000,-1.000000,0.023427
5,-1.728673,0.074941,-2.469406,0.030812,-0.018731,-0.357110,0.020000,0.080000,0.120000,0.150000,-1.000000,0.030812
6,-1.729031,0.074896,-2.472977,0.036123,-0.016184,-0.784317,0.020000,0.080000,0.120000,0.150000,-1.000000,0.036123
7,-1.729415,0.074799,-2.480820,0.042598,-0.024914,-0.589333,0.020000,0.080000,0.120000,0.150000,-1.000000,0.042598
8,-1.729904,0.074734,-2.486714,0.048322,-0.023881,-0.916440,0.020000,0.080000,0.120000,0.150000,-1.000000,0.048322
9,-1.730433,0.074629,-2.495878,0.054602,-0.030313,-0.842466,0.020000,0.020000,0.120000,0.150000,-1.000000,0.054602
10,-1.731051,0.074543,-2.504303,0.060569,-0.031376,-1.049459,0.020000,0.020000,0.100000,0.150000,-1.000000,0.060569
11,-1.731725,0.074435,-2.514797,0.066759,-0.035522,-1.089086,0.020000,0.020000,0.100000,0.150000,-1.000000,0.066759
12,-1.732474,0.074331,-2.525688,0.072879,-0.038070,-1.209563,0.020000,0.020000,0.100000,0.150000,-1.000000,0.072879
13,-1.733289,0.074221,-2.537784,0.079060,-0.041120,-1.298787,0.020000,0.020000,0.100000,0.150000,-1.000000,0.079060
14,-1.734173,0.074110,-2.550772,0.085256,-0.043950,-1.395089,0.020000,0.020000,0.100000,0.150000,-1.000000,0.085256
15,-1.735126,0.074000,-2.564723,0.091478,-0.046736,-1.488758,0.020000,0.020000,0.020000,0.150000,-1.000000,0.091478
16,-1.736147,0.073893,-2.579610,0.097725,-0.049443,-1.581277,0.020000,0.020000,0.020000,0.150000,-1.000000,0.097725
17,-1.737238,0.073791,-2.595423,0.103995,-0.052069,-1.672423,0.020000,0.020000,0.020000,0.150000,-1.000000,0.103995
18,-1.738397,0.073695,-2.612147,0.110290,-0.054610,-1.762113,0.020000,0.020000,0.020000,0.150000,-1.000000,0.110290
19,-1.739625,0.073610,-2.629768,0.116608,-0.057060,-1.850257,0.020000,0.020000,0.020000,0.150000,-1.000000,0.116608
20,-1.740921,0.073536,-2.648271,0.122949,-0.059414,-1.936764,0.020000,0.020000,0.020000,0.150000,-1.000000,0.122949
21,-1.742285,0.073477,-2.667638,0.129312,-0.061668,-2.021545,0.020000,0.020000,0.020000,0.150000,-1.000000,0.129312
22,-1.743717,0.073436,-2.687854,0.135695,-0.063818,-2.104509,0.020000,0.020000,0.020000,0.150000,-1.000000,0.135695
23,-1.745216,0.073415,-2.708899,0.142098,-0.065858,-2.185566,0.020000,0.020000,0.020000,0.150000,-1.000000,0.142098
24,-1.746783,0.073417,-2.730755,0.148517,-0.067784,-2.264628,0.020000,0.020000,0.020000,0.150000,-1.000000,0.148517
25,-1.748415,0.073445,-2.753401,0.154952,-0.069593,-2.341607,0.020000,0.020000,0.020000,0.150000,-1.000000,0.154952
