step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.384007,1.765732,2.938831,0.000000,0.000000,0.000000,0.080000,0.100000,0.140000,0.050000,-1.000000,0.000000
1,-1.384007,1.765732,2.938831,0.003500,0.000000,0.000000,0.080000,0.100000,0.140000,0.050000,-1.000000,0.003500
2,-1.384041,1.765739,2.938831,0.007000,0.000000,0.000000,0.080000,0.100000,0.140000,0.050000,-1.000000,0.007000
3,-1.384110,1.765753,2.938831,0.010500,0.000000,0.000000,0.080000,0.100000,0.140000,0.050000,-1.000000,0.010500
4,-1.384212,1.765774,2.938831,0.005635,-0.005371,-0.229722,0.080000,0.100000,0.140000,0.050000,-1.000000,0.005635
5,-1.384257,1.765838,2.936533,0.009147,-0.005358,-0.229722,0.080000,0.100000,0.140000,0.050000,-1.000000,0.009147
6,-1.384335,1.765909,2.934236,0.012660,-0.005337,-0.229722,0.080000,0.100000,0.140000,0.050000,-1.000000,0.012660
7,-1.384448,1.765988,2.931939,0.010945,-0.013676,-0.129329,0.080000,0.100000,0.140000,0.050000,-1.000000,0.010945
8,-1.384527,1.766144,2.930646,0.014723,-0.005548,-0.508914,0.080000,0.100000,0.140000,0.050000,-1.000000,0.014723
9,-1.384659,1.766229,2.925557,0.016793,-0.014326,-0.163713,0.080000,0.100000,0.140000,0.050000,-1.000000,0.016793
10,-1.384793,1.766405,2.923919,0.016678,-0.008948,-0.637729,0.080000,0.100000,0.100000,0.050000,-1.000000,0.016678
11,-1.384936,1.766529,2.917542,0.020878,-0.016326,-0.235725,0.080000,0.100000,0.100000,0.050000,-1.000000,0.020878
12,-1.385103,1.766734,2.915185,0.020544,-0.011429,-0.699033,0.080000,0.100000,0.100000,0.050000,-1.000000,0.020544
13,-1.385278,1.766892,2.908195,0.024014,-0.019102,-0.325045,0.080000,0.100000,0.100000,0.050000,-1.000000,0.024014
14,-1.385467,1.767133,2.904944,0.024407,-0.014039,-0.753725,0.080000,0.100000,0.100000,0.050000,-1.000000,0.024407
15,-1.385672,1.767327,2.897407,0.027327,-0.021759,-0.409290,0.080000,0.100000,0.100000,0.050000,-1.000000,0.027327
16,-1.385884,1.767604,2.893314,0.028133,-0.016762,-0.810494,0.080000,0.100000,0.100000,0.050000,-1.000000,0.028133
17,-1.386116,1.767836,2.885209,0.030755,-0.024242,-0.494821,0.080000,0.100000,0.100000,0.050000,-1.000000,0.030755
18,-1.386352,1.768148,2.880261,0.031811,-0.019513,-0.868115,0.080000,0.100000,0.100000,0.050000,-1.000000,0.031811
19,-1.386609,1.768419,2.871580,0.034242,-0.026570,-0.583905,0.080000,0.100000,0.100000,0.050000,-1.000000,0.034242
20,-1.386868,1.768766,2.865741,0.035474,-0.022295,-0.924504,0.080000,0.100000,0.100000,0.050000,-1.000000,0.035474
21,-1.387149,1.769077,2.856496,0.037765,-0.028773,-0.676338,0.080000,0.100000,0.100000,0.050000,-1.000000,0.037765
22,-1.387430,1.769460,2.849732,0.039134,-0.025122,-0.978147,0.080000,0.100000,0.100000,0.050000,-1.000000,0.039134
23,-1.387733,1.769813,2.839951,0.041313,-0.030863,-0.772081,0.080000,0.100000,0.100000,0.050000,-1.000000,0.041313
