step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.280321,-1.511383,-0.972823,0.000000,0.000000,0.000000,0.380000,0.440000,0.620000,0.076923,0.115385,0.000000
1,-0.280321,-1.511383,-0.972823,0.005385,0.000000,0.000000,0.380000,0.440000,0.620000,0.076923,0.115385,0.005385
2,-0.280291,-1.511428,-0.972823,0.010769,0.000000,0.000000,0.380000,0.440000,0.620000,0.076923,0.115385,0.010769
3,-0.280230,-1.511517,-0.972823,0.015761,0.003387,0.144879,0.380000,0.440000,0.620000,0.076923,0.115385,0.015761
4,-0.280114,-1.511628,-0.971374,0.022019,-0.001262,-0.315322,0.380000,0.440000,0.620000,0.076923,0.115385,0.022019
5,-0.280000,-1.511817,-0.974528,0.026352,0.000559,0.432448,0.380000,0.440000,0.600000,0.076923,0.076923,0.026352
6,-0.279847,-1.512032,-0.970203,0.032360,0.000054,-0.285153,0.380000,0.440000,0.620000,0.076923,0.115385,0.032360
7,-0.279664,-1.512299,-0.973055,0.036837,0.001388,0.370323,0.380000,0.440000,0.600000,0.076923,0.076923,0.036837
8,-0.279445,-1.512595,-0.969351,0.042704,0.001666,-0.215684,0.380000,0.440000,0.620000,0.076923,0.115385,0.042704
9,-0.279190,-1.512938,-0.971508,0.047409,0.002072,0.301790,0.380000,0.440000,0.600000,0.076923,0.076923,0.047409
10,-0.278905,-1.513318,-0.968490,0.053125,0.002503,-0.112384,0.380000,0.440000,0.620000,0.076923,0.115385,0.053125
11,-0.278584,-1.513741,-0.969614,0.058071,0.002668,0.226284,0.380000,0.440000,0.620000,0.076923,0.115385,0.058071
12,-0.278233,-1.514205,-0.967351,0.063611,0.003942,0.039617,0.380000,0.440000,0.620000,0.076923,0.115385,0.063611
13,-0.277840,-1.514707,-0.966955,0.068871,0.003605,0.154402,0.360000,0.440000,0.620000,0.076923,0.115385,0.068871
14,-0.277419,-1.515253,-0.965411,0.074266,0.004193,0.116566,0.360000,0.440000,0.620000,0.076923,0.115385,0.074266
15,-0.276962,-1.515840,-0.964246,0.079606,0.004370,0.142458,0.360000,0.440000,0.620000,0.076923,0.115385,0.079606
16,-0.276472,-1.516469,-0.962821,0.084964,0.004676,0.147383,0.360000,0.440000,0.620000,0.076923,0.115385,0.084964
17,-0.275948,-1.517140,-0.961347,0.090318,0.004948,0.157449,0.360000,0.440000,0.620000,0.076923,0.115385,0.090318
18,-0.275391,-1.517852,-0.959773,0.095672,0.005221,0.166621,0.360000,0.440000,0.620000,0.076923,0.115385,0.095672
19,-0.274799,-1.518606,-0.958106,0.101027,0.005490,0.175874,0.360000,0.440000,0.620000,0.076923,0.115385,0.101027
20,-0.274173,-1.519401,-0.956348,0.106381,0.005756,0.185111,0.360000,0.440000,0.620000,0.076923,0.115385,0.106381
21,-0.273513,-1.520237,-0.954497,0.111735,0.006017,0.194334,0.360000,0.440000,0.620000,0.076923,0.115385,0.111735
22,-0.272818,-1.521114,-0.952553,0.117090,0.006275,0.203543,0.360000,0.440000,0.620000,0.076923,0.115385,0.117090
23,-0.272088,-1.522031,-0.950518,0.122444,0.006528,0.212738,0.360000,0.440000,0.620000,0.076923,0.115385,0.122444
24,-0.271323,-1.522990,-0.948390,0.127798,0.006776,0.221917,0.360000,0.440000,0.620000,0.076923,0.115385,0.127798
25,-0.270523,-1.523989,-0.946171,0.133152,0.007020,0.231081,0.360000,0.440000,0.620000,0.076923,0.115385,0.133152
26,-0.269688,-1.525028,-0.943860,0.138506,0.007259,0.240229,0.360000,0.420000,0.620000,0.076923,0.115385,0.138506
27,-0.268816,-1.526107,-0.941458,0.143860,0.007493,0.249359,0.360000,0.420000,0.620000,0.076923,0.115385,0.143860
28,-0.267909,-1.527226,-0.938965,0.149214,0.007722,0.258471,0.360000,0.420000,0.620000,0.076923,0.115385,0.149214
29,-0.266965,-1.528384,-0.936380,0.154567,0.007945,0.267565,0.360000,0.420000,0.620000,0.076923,0.115385,0.154567
30,-0.265985,-1.529582,-0.933704,0.159921,0.008162,0.276640,0.360000,0.420000,0.620000,0.076923,0.115385,0.159921
31,-0.264968,-1.530819,-0.930938,0.165274,0.008374,0.285696,0.360000,0.420000,0.620000,0.076923,0.115385,0.165274
32,-0.263914,-1.532095,-0.928081,0.170627,0.008580,0.294730,0.360000,0.420000,0.620000,0.076923,0.115385,0.170627
33,-0.262823,-1.533409,-0.925134,0.175980,0.008779,0.303744,0.360000,0.420000,0.620000,0.076923,0.115385,0.175980
34,-0.261694,-1.534762,-0.922096,0.181332,0.008972,0.312737,0.360000,0.420000,0.620000,0.076923,0.115385,0.181332
35,-0.260527,-1.536153,-0.918969,0.186684,0.009159,0.321707,0.360000,0.420000,0.620000,0.076923,0.115385,0.186684
