step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,2.045124,-0.514811,-2.002401,0.000000,0.000000,0.000000,0.620000,1.000000,0.360000,0.100000,-0.700000,0.000000
1,2.045124,-0.514811,-2.002401,0.007000,0.000000,0.000000,0.620000,1.000000,0.360000,0.100000,-0.700000,0.007000
2,2.045094,-0.514875,-2.002401,0.014000,0.000000,0.000000,0.620000,1.000000,0.360000,0.100000,-0.700000,0.014000
3,2.045036,-0.515002,-2.002401,0.014817,-0.007341,-0.313982,0.620000,1.000000,0.360000,0.100000,-0.700000,0.014817
4,2.044907,-0.515106,-2.005540,0.024408,-0.009728,0.083227,0.620000,1.000000,0.360000,0.100000,-0.700000,0.024408
5,2.044716,-0.515286,-2.004708,0.026057,-0.008446,-0.560179,0.620000,1.000000,0.360000,0.100000,-0.700000,0.026057
6,2.044530,-0.515487,-2.010310,0.034258,-0.014154,-0.149962,0.620000,1.000000,0.360000,0.100000,-0.700000,0.034258
7,2.044256,-0.515737,-2.011810,0.037723,-0.011974,-0.639619,0.620000,1.000000,0.360000,0.100000,-0.700000,0.037723
8,2.043987,-0.516027,-2.018206,0.044406,-0.018238,-0.365751,0.620000,1.000000,0.520000,0.100000,-0.400000,0.044406
9,2.043630,-0.516348,-2.021863,0.053383,-0.009358,-0.376744,0.620000,1.000000,0.520000,0.100000,-0.400000,0.053383
10,2.043313,-0.516788,-2.025631,0.059975,-0.012132,-0.327843,0.620000,1.000000,0.520000,0.100000,-0.400000,0.059975
11,2.042941,-0.517274,-2.028909,0.066372,-0.012707,-0.429163,0.620000,1.000000,0.520000,0.100000,-0.400000,0.066372
12,2.042533,-0.517813,-2.033201,0.072973,-0.014244,-0.438648,0.600000,1.000000,0.520000,0.100000,-0.400000,0.072973
13,2.042080,-0.518402,-2.037587,0.079483,-0.015338,-0.489187,0.600000,1.000000,0.520000,0.100000,-0.400000,0.079483
14,2.041586,-0.519043,-2.042479,0.086026,-0.016553,-0.526106,0.600000,1.000000,0.520000,0.100000,-0.400000,0.086026
15,2.041047,-0.519734,-2.047740,0.092563,-0.017721,-0.566013,0.600000,1.000000,0.520000,0.100000,-0.400000,0.092563
16,2.040465,-0.520475,-2.053400,0.099103,-0.018874,-0.605390,0.600000,1.000000,0.520000,0.100000,-0.400000,0.099103
17,2.039838,-0.521265,-2.059454,0.105645,-0.020008,-0.644685,0.600000,1.000000,0.640000,0.100000,-0.200000,0.105645
18,2.039165,-0.522104,-2.065901,0.113632,-0.015498,-0.443416,0.580000,1.000000,0.640000,0.100000,-0.200000,0.113632
19,2.038489,-0.523030,-2.070335,0.120972,-0.013389,-0.398587,0.580000,1.000000,0.640000,0.100000,-0.200000,0.120972
20,2.037792,-0.524028,-2.074321,0.128045,-0.012737,-0.397439,0.580000,1.000000,0.640000,0.100000,-0.200000,0.128045
21,2.037063,-0.525088,-2.078295,0.135016,-0.012716,-0.409065,0.580000,1.000000,0.640000,0.100000,-0.200000,0.135016
22,2.036295,-0.526206,-2.082386,0.141944,-0.012968,-0.425279,0.520000,1.000000,0.640000,0.100000,-0.200000,0.141944
23,2.035487,-0.527381,-2.086639,0.148852,-0.013337,-0.443399,0.520000,1.000000,0.640000,0.100000,-0.200000,0.148852
24,2.034637,-0.528610,-2.091073,0.155751,-0.013758,-0.462376,0.520000,1.000000,0.720000,0.100000,0.000000,0.155751
25,2.033743,-0.529893,-2.095697,0.162812,-0.008536,-0.239716,0.520000,1.000000,0.720000,0.100000,0.000000,0.162812
26,2.032854,-0.531259,-2.098094,0.169830,-0.005168,-0.124387,0.520000,1.000000,0.720000,0.100000,0.000000,0.169830
27,2.031954,-0.532700,-2.099338,0.176834,-0.003157,-0.067000,0.520000,1.000000,0.720000,0.100000,0.000000,0.176834
28,2.031035,-0.534212,-2.100008,0.183834,-0.001964,-0.037774,0.520000,1.000000,0.720000,0.100000,0.000000,0.183834
29,2.030090,-0.535789,-2.100385,0.190832,-0.001245,-0.022218,0.500000,1.000000,0.720000,0.100000,0.000000,0.190832
30,2.029116,-0.537429,-2.100608,0.197829,-0.000804,-0.013555,0.500000,1.000000,0.720000,0.100000,0.000000,0.197829
31,2.028109,-0.539132,-2.100743,0.204826,-0.000528,-0.008530,0.500000,1.000000,0.720000,0.100000,0.000000,0.204826
32,2.027069,-0.540897,-2.100828,0.211822,-0.000352,-0.005512,0.500000,1.000000,0.700000,0.100000,-0.100000,0.211822
33,2.025995,-0.542723,-2.100884,0.218526,-0.003221,-0.131239,0.500000,1.000000,0.700000,0.100000,-0.100000,0.218526
34,2.024862,-0.544592,-2.102196,0.225320,-0.005167,-0.210832,0.500000,1.000000,0.700000,0.100000,-0.100000,0.225320
35,2.023676,-0.546508,-2.104304,0.232173,-0.006492,-0.262959,0.500000,1.000000,0.700000,0.100000,-0.100000,0.232173
36,2.022439,-0.548474,-2.106934,0.239065,-0.007409,-0.298825,0.500000,1.000000,0.700000,0.100000,-0.100000,0.239065
37,2.021154,-0.550491,-2.109922,0.245981,-0.008056,-0.324952,0.500000,1.000000,0.700000,0.100000,-0.100000,0.245981
38,2.019823,-0.552561,-2.113172,0.252912,-0.008522,-0.345140,0.500000,1.000000,0.700000,0.100000,-0.100000,0.252912
39,2.018444,-0.554683,-2.116623,0.259853,-0.008864,-0.361628,0.500000,1.000000,0.780000,0.100000,0.100000,0.259853
40,2.017019,-0.556858,-2.120239,0.266393,-0.003484,-0.134795,0.480000,1.000000,0.780000,0.100000,0.100000,0.266393
41,2.015599,-0.559112,-2.121587,0.273019,0.000468,0.030238,0.480000,1.000000,0.780000,0.100000,0.100000,0.273019
42,2.014174,-0.561441,-2.121285,0.279728,0.003291,0.148406,0.480000,1.000000,0.780000,0.100000,0.100000,0.279728
43,2.012738,-0.563842,-2.119801,0.286505,0.005277,0.233138,0.480000,1.000000,0.780000,0.100000,0.100000,0.286505
44,2.011288,-0.566313,-2.117469,0.293333,0.006666,0.294714,0.480000,1.000000,0.780000,0.100000,0.100000,0.293333
45,2.009820,-0.568854,-2.114522,0.300197,0.007633,0.340410,0.480000,1.000000,0.760000,0.100000,0.000000,0.300197
46,2.008333,-0.571462,-2.111118,0.307215,0.005237,0.244134,0.480000,1.000000,0.760000,0.100000,0.000000,0.307215
47,2.006797,-0.574124,-2.108677,0.314220,0.003565,0.176000,0.540000,1.000000,0.760000,0.100000,0.000000,0.314220
48,2.005218,-0.576841,-2.106917,0.321218,0.002403,0.127614,0.540000,1.000000,0.760000,0.100000,0.000000,0.321218
49,2.003598,-0.579614,-2.105641,0.328212,0.001597,0.093058,0.540000,1.000000,0.760000,0.100000,0.000000,0.328212
50,2.001939,-0.582446,-2.104710,0.335204,0.001040,0.068220,0.520000,1.000000,0.760000,0.100000,0.000000,0.335204
51,2.000242,-0.585337,-2.104028,0.342196,0.000656,0.050254,0.520000,1.000000,0.760000,0.100000,0.000000,0.342196
52,1.998508,-0.588287,-2.103525,0.349186,0.000392,0.037178,0.520000,1.000000,0.760000,0.100000,0.000000,0.349186
53,1.996738,-0.591297,-2.103154,0.356176,0.000214,0.027608,0.520000,1.000000,0.740000,0.100000,0.000000,0.356176
54,1.994932,-0.594367,-2.102878,0.363165,0.000094,0.020566,0.520000,1.000000,0.740000,0.100000,0.000000,0.363165
55,1.993090,-0.597497,-2.102672,0.370154,0.000016,0.015361,0.520000,1.000000,0.740000,0.100000,0.000000,0.370154
56,1.991213,-0.600688,-2.102518,0.377142,-0.000034,0.011496,0.520000,1.000000,0.740000,0.100000,0.000000,0.377142
57,1.989301,-0.603938,-2.102403,0.384130,-0.000065,0.008616,0.520000,1.000000,0.740000,0.100000,0.000000,0.384130
58,1.987353,-0.607249,-2.102317,0.391117,-0.000082,0.006462,0.520000,1.000000,0.740000,0.100000,0.000000,0.391117
59,1.985370,-0.610620,-2.102253,0.398104,-0.000090,0.004846,0.520000,1.000000,0.740000,0.100000,0.000000,0.398104
60,1.983352,-0.614052,-2.102204,0.405091,-0.000091,0.003632,0.520000,1.000000,0.740000,0.100000,0.000000,0.405091
61,1.981298,-0.617543,-2.102168,0.412077,-0.000089,0.002717,0.500000,1.000000,0.720000,0.100000,0.000000,0.412077
62,1.979209,-0.621096,-2.102141,0.419062,-0.000085,0.002027,0.500000,1.000000,0.720000,0.100000,0.000000,0.419062
63,1.977085,-0.624708,-2.102120,0.426047,-0.000079,0.001506,0.500000,1.000000,0.720000,0.100000,0.000000,0.426047
64,1.974926,-0.628381,-2.102105,0.433032,-0.000073,0.001113,0.500000,1.000000,0.720000,0.100000,0.000000,0.433032
65,1.972731,-0.632114,-2.102094,0.440016,-0.000066,0.000816,0.500000,1.000000,0.720000,0.100000,0.000000,0.440016
66,1.970501,-0.635907,-2.102086,0.446999,-0.000059,0.000592,0.500000,1.000000,0.720000,0.100000,0.000000,0.446999
67,1.968236,-0.639760,-2.102080,0.453982,-0.000053,0.000423,0.500000,1.000000,0.700000,0.100000,-0.100000,0.453982
68,1.965935,-0.643674,-2.102076,0.460666,-0.003023,-0.126969,0.500000,1.000000,0.700000,0.100000,-0.100000,0.460666
69,1.963576,-0.647631,-2.103346,0.467394,-0.005092,-0.232540,0.500000,1.000000,0.700000,0.100000,-0.100000,0.467394
70,1.961159,-0.651631,-2.105671,0.474161,-0.006452,-0.319906,0.480000,1.000000,0.740000,0.100000,0.000000,0.474161
71,1.958686,-0.655678,-2.108870,0.481162,-0.004207,-0.261667,0.480000,1.000000,0.740000,0.100000,0.000000,0.481162
72,1.956184,-0.659788,-2.111487,0.488154,-0.002504,-0.213890,0.480000,1.000000,0.740000,0.100000,0.000000,0.488154
73,1.953650,-0.663960,-2.113626,0.495139,-0.001226,-0.174715,0.480000,1.000000,0.740000,0.100000,0.000000,0.495139
74,1.951082,-0.668194,-2.115373,0.502120,-0.000281,-0.142592,0.480000,1.000000,0.720000,0.100000,0.000000,0.502120
75,1.948478,-0.672487,-2.116799,0.509099,0.000406,-0.116248,0.460000,1.000000,0.720000,0.100000,0.000000,0.509099
76,1.945838,-0.676840,-2.117961,0.516076,0.000894,-0.094641,0.460000,1.000000,0.720000,0.100000,0.000000,0.516076
77,1.943161,-0.681252,-2.118907,0.523053,0.001227,-0.076916,0.460000,1.000000,0.720000,0.100000,0.000000,0.523053
78,1.940446,-0.685723,-2.119677,0.530028,0.001442,-0.062378,0.460000,1.000000,0.720000,0.100000,0.000000,0.530028
79,1.937693,-0.690252,-2.120300,0.537003,0.001568,-0.050457,0.460000,1.000000,0.720000,0.100000,0.000000,0.537003
80,1.934901,-0.694840,-2.120805,0.543978,0.001627,-0.040685,0.460000,1.000000,0.700000,0.100000,-0.100000,0.543978
81,1.932072,-0.699486,-2.121212,0.550651,-0.001336,-0.159811,0.460000,1.000000,0.700000,0.100000,-0.100000,0.550651
82,1.929180,-0.704172,-2.122810,0.557359,-0.003374,-0.262193,0.440000,1.000000,0.700000,0.100000,-0.100000,0.557359
83,1.926229,-0.708900,-2.125432,0.564099,-0.004656,-0.349932,0.440000,1.000000,0.740000,0.100000,0.000000,0.564099
84,1.923218,-0.713671,-2.128931,0.571088,-0.002288,-0.294868,0.440000,1.000000,0.740000,0.100000,0.000000,0.571088
85,1.920175,-0.718503,-2.131880,0.578067,-0.000462,-0.248028,0.440000,1.000000,0.740000,0.100000,0.000000,0.578067
86,1.917095,-0.723395,-2.134360,0.585040,0.000925,-0.208233,0.440000,1.000000,0.720000,0.100000,0.000000,0.585040
87,1.913977,-0.728345,-2.136443,0.592008,0.001959,-0.174457,0.420000,1.000000,0.720000,0.100000,0.000000,0.592008
