step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.191693,1.927021,0.209815,0.000000,0.000000,0.000000,1.000000,0.300000,0.120000,0.166667,0.000000,0.000000
1,-1.191693,1.927021,0.209815,0.011667,0.000000,0.000000,1.000000,0.300000,0.120000,0.166667,0.000000,0.011667
2,-1.191578,1.927045,0.209815,0.023333,0.000000,0.000000,1.000000,0.300000,0.120000,0.166667,0.000000,0.023333
3,-1.191350,1.927093,0.209815,0.035000,0.000000,0.000000,1.000000,0.300000,0.120000,0.166667,0.000000,0.035000
4,-1.191008,1.927166,0.209815,0.046667,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.046667
5,-1.190551,1.927264,0.209815,0.058333,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.058333
6,-1.189981,1.927385,0.209815,0.069999,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.069999
7,-1.189296,1.927531,0.209815,0.081666,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.081666
8,-1.188498,1.927701,0.209815,0.093332,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.093332
9,-1.187585,1.927895,0.209815,0.104998,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.104998
10,-1.186558,1.928114,0.209815,0.116663,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.116663
11,-1.185417,1.928357,0.209815,0.128329,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.128329
12,-1.184162,1.928624,0.209815,0.139994,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.139994
13,-1.182792,1.928916,0.209815,0.151659,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.151659
14,-1.181309,1.929232,0.209815,0.163324,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.163324
15,-1.179712,1.929572,0.209815,0.174988,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.174988
16,-1.178000,1.929936,0.209815,0.186652,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.186652
17,-1.176174,1.930325,0.209815,0.198316,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.198316
18,-1.174235,1.930738,0.209815,0.209979,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.209979
19,-1.172181,1.931176,0.209815,0.221642,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.221642
20,-1.170013,1.931637,0.209815,0.233305,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.233305
21,-1.167731,1.932123,0.209815,0.244967,0.000000,0.000000,1.000000,0.280000,0.120000,0.166667,0.000000,0.244967
22,-1.165335,1.932633,0.209815,0.256628,0.000000,0.000000,1.000000,0.260000,0.120000,0.166667,0.000000,0.256628
23,-1.162825,1.933168,0.209815,0.268289,0.000000,0.000000,1.000000,0.260000,0.120000,0.166667,0.000000,0.268289
24,-1.160201,1.933727,0.209815,0.279950,0.000000,0.000000,1.000000,0.260000,0.100000,0.166667,0.000000,0.279950
25,-1.157463,1.934310,0.209815,0.291610,0.000000,0.000000,1.000000,0.260000,0.100000,0.166667,0.000000,0.291610
26,-1.154611,1.934917,0.209815,0.303269,0.000000,0.000000,1.000000,0.260000,0.100000,0.166667,0.000000,0.303269
27,-1.151645,1.935549,0.209815,0.314928,0.000000,0.000000,1.000000,0.260000,0.100000,0.166667,0.000000,0.314928
28,-1.148565,1.936205,0.209815,0.326586,0.000000,0.000000,1.000000,0.260000,0.100000,0.166667,0.000000,0.326586
29,-1.145370,1.936885,0.209815,0.338244,0.000000,0.000000,1.000000,0.260000,0.100000,0.166667,0.000000,0.338244
30,-1.142062,1.937589,0.209815,0.349901,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.349901
31,-1.138640,1.938318,0.209815,0.361557,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.361557
32,-1.135104,1.939071,0.209815,0.373212,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.373212
33,-1.131453,1.939848,0.209815,0.384867,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.384867
34,-1.127689,1.940650,0.209815,0.396521,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.396521
35,-1.123811,1.941476,0.209815,0.408174,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.408174
36,-1.119819,1.942326,0.209815,0.419827,0.000000,0.000000,1.000000,0.240000,0.100000,0.166667,0.000000,0.419827
37,-1.115712,1.943200,0.209815,0.431478,0.000000,0.000000,1.000000,0.220000,0.100000,0.166667,-0.666667,0.431478
38,-1.111492,1.944099,0.209815,0.437241,-0.007484,-0.320075,1.000000,0.220000,0.100000,0.166667,0.000000,0.437241
