step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.500343,1.691390,-0.253297,0.000000,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.000000
1,-0.500343,1.691390,-0.253297,0.014000,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.014000
2,-0.500208,1.691355,-0.253297,0.028000,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.028000
3,-0.499937,1.691285,-0.253297,0.042000,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.042000
4,-0.499530,1.691180,-0.253297,0.056000,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.056000
5,-0.498988,1.691039,-0.253297,0.069999,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.069999
6,-0.498310,1.690864,-0.253297,0.083999,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.083999
7,-0.497497,1.690654,-0.253297,0.097998,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.097998
8,-0.496548,1.690408,-0.253297,0.111998,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.111998
9,-0.495464,1.690127,-0.253297,0.125997,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.125997
10,-0.494244,1.689812,-0.253297,0.139995,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.139995
11,-0.492889,1.689461,-0.253297,0.153994,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.153994
12,-0.491398,1.689075,-0.253297,0.167992,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.167992
13,-0.489772,1.688654,-0.253297,0.181989,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.181989
14,-0.488010,1.688198,-0.253297,0.195986,0.000000,0.000000,0.200000,0.780000,1.000000,0.200000,0.000000,0.195986
15,-0.486113,1.687707,-0.253297,0.209983,0.000000,0.000000,0.200000,0.760000,1.000000,0.200000,-0.200000,0.209983
16,-0.484080,1.687180,-0.253297,0.222902,-0.005314,-0.227281,0.200000,0.760000,1.000000,0.200000,-0.200000,0.222902
17,-0.481935,1.686570,-0.255570,0.236073,-0.009274,-0.387606,0.200000,0.760000,1.000000,0.200000,-0.200000,0.236073
18,-0.479675,1.685884,-0.259446,0.249437,-0.012156,-0.503431,0.200000,0.740000,1.000000,0.200000,-0.200000,0.249437
19,-0.477295,1.685127,-0.264480,0.262937,-0.014253,-0.591025,0.200000,0.720000,1.000000,0.200000,-0.200000,0.262937
20,-0.474794,1.684302,-0.270390,0.276527,-0.015789,-0.660841,0.200000,0.720000,1.000000,0.200000,-0.200000,0.276527
21,-0.472172,1.683411,-0.276999,0.290177,-0.016917,-0.719303,0.200000,0.700000,1.000000,0.000000,0.000000,0.290177
22,-0.469427,1.682455,-0.284192,0.290291,-0.011850,-0.518592,0.180000,0.680000,1.000000,0.000000,0.000000,0.290291
23,-0.466674,1.681527,-0.289378,0.290346,-0.008188,-0.369697,0.180000,0.660000,1.000000,0.000000,0.000000,0.290346
24,-0.463914,1.680620,-0.293074,0.290369,-0.005601,-0.261762,0.180000,0.640000,1.000000,0.000000,0.000000,0.290369
25,-0.461151,1.679727,-0.295692,0.290376,-0.003801,-0.184567,0.180000,0.500000,1.000000,0.000000,-0.200000,0.290376
26,-0.458384,1.678845,-0.297538,0.289435,-0.008176,-0.369906,0.180000,0.500000,1.000000,0.000000,-0.200000,0.289435
27,-0.455641,1.677918,-0.301237,0.288680,-0.011420,-0.510932,0.180000,0.480000,1.000000,0.000000,-0.200000,0.288680
28,-0.452918,1.676953,-0.306346,0.288086,-0.013772,-0.615731,0.180000,0.480000,1.000000,0.000000,-0.200000,0.288086
29,-0.450213,1.675952,-0.312503,0.287622,-0.015447,-0.692351,0.180000,0.460000,1.000000,0.000000,-0.200000,0.287622
