step,position,velocity,action,reward
0,-0.402554,0.000000,0,-1.019969
1,-0.404442,-0.001888,0,-1.038901
2,-0.408205,-0.003763,0,-1.055781
3,-0.413816,-0.005611,0,-1.069641
4,-0.421236,-0.007420,0,-1.079585
5,-0.430411,-0.009175,0,-1.084821
6,-0.441276,-0.010865,0,-1.084688
7,-0.453753,-0.012476,0,-1.078694
8,-0.467749,-0.013996,0,-1.066546
9,-0.483162,-0.015413,0,-1.048180
10,-0.499878,-0.016716,0,-1.023782
11,-0.517771,-0.017894,0,-0.993795
12,-0.536709,-0.018937,0,-0.958920
13,-0.556548,-0.019839,0,-0.920091
14,-0.577140,-0.020592,0,-0.878444
15,-0.598332,-0.021192,0,-0.835257
16,-0.619969,-0.021637,0,-0.791896
17,-0.641893,-0.021924,0,-0.749738
18,-0.663948,-0.022055,0,-0.710104
19,-0.685981,-0.022033,0,-0.674191
20,-0.707844,-0.021863,0,-0.643023
21,-0.729395,-0.021551,0,-0.617404
22,-0.750498,-0.021103,0,-0.597904
23,-0.771028,-0.020530,0,-0.584848
24,-0.790868,-0.019840,0,-0.578331
25,-0.809911,-0.019043,0,-0.578241
26,-0.828062,-0.018151,0,-0.584293
27,-0.845234,-0.017172,0,-0.596066
28,-0.861350,-0.016117,0,-0.613046
29,-0.876346,-0.014995,0,-0.634661
30,-0.890162,-0.013817,0,-0.660319
31,-0.902751,-0.012589,0,-0.689430
32,-0.914071,-0.011320,0,-0.721435
33,-0.924088,-0.010017,0,-0.755814
34,-0.932773,-0.008685,0,-0.792101
35,-0.940104,-0.007331,0,-0.829881
36,-0.946063,-0.005959,2,-0.926241
37,-0.948636,-0.002573,2,-1.023475
38,-0.947818,0.000818,2,-1.120434
39,-0.943610,0.004208,2,-1.215933
40,-0.936022,0.007588,2,-1.308589
41,-0.925071,0.010950,2,-1.396684
42,-0.910786,0.014285,2,-1.478044
43,-0.893208,0.017578,2,-1.549971
44,-0.872392,0.020816,2,-1.609239
45,-0.848412,0.023980,2,-1.652173
46,-0.821364,0.027049,2,-1.674834
47,-0.791367,0.029996,2,-1.673325
48,-0.758571,0.032796,2,-1.644204
49,-0.723156,0.035416,2,-1.584974
50,-0.685332,0.037824,2,-1.494601
51,-0.645341,0.039990,2,-1.373957
52,-0.603458,0.041883,2,-1.226110
53,-0.559982,0.043476,2,-1.056358
54,-0.515233,0.044749,2,-0.871964
55,-0.469547,0.045686,2,-0.681580
56,-0.423264,0.046282,2,-0.494449
57,-0.376723,0.046541,2,-0.319497
58,-0.330248,0.046475,2,-0.164477
59,-0.284143,0.046105,2,-0.035292
60,-0.238684,0.045459,2,0.064386
61,-0.194110,0.044573,2,0.133194
62,-0.150625,0.043485,2,0.171872
63,-0.108389,0.042236,2,0.182847
64,-0.067521,0.040867,2,0.169729
65,-0.028103,0.039419,2,0.136780
66,0.009825,0.037927,2,0.088448
67,0.046253,0.036428,2,0.028997
68,0.081206,0.034952,2,-0.037745
69,0.114732,0.033526,2,-0.108538
70,0.146905,0.032173,2,-0.180788
71,0.177817,0.030912,2,-0.252541
72,0.207576,0.029759,2,-0.322439
73,0.236304,0.028728,2,-0.389648
74,0.264135,0.027831,2,-0.453785
75,0.291211,0.027075,2,-0.514841
76,0.317681,0.026470,2,-0.573119
77,0.343703,0.026022,2,-0.629182
78,0.369441,0.025738,2,-0.683813
79,0.395063,0.025622,2,-0.737988
80,0.420745,0.025682,2,-0.792862
81,0.446668,0.025923,2,-0.849758
82,0.473019,0.026351,2,-0.910163
83,0.499992,0.026973,2,-0.975722
