step,position,velocity,action,reward
0,-0.410795,0.000000,0,-1.018084
1,-0.412625,-0.001830,0,-1.035189
2,-0.416272,-0.003647,0,-1.050361
3,-0.421710,-0.005438,0,-1.062690
4,-0.428901,-0.007190,0,-1.071339
5,-0.437792,-0.008891,0,-1.075570
6,-0.448319,-0.010528,0,-1.074775
7,-0.460407,-0.012087,0,-1.068506
8,-0.473965,-0.013559,0,-1.056504
9,-0.488895,-0.014929,0,-1.038726
10,-0.505084,-0.016189,0,-1.015359
11,-0.522412,-0.017328,0,-0.986831
12,-0.540749,-0.018337,0,-0.953805
13,-0.559957,-0.019208,0,-0.917158
14,-0.579893,-0.019936,0,-0.877949
15,-0.600409,-0.020516,0,-0.837368
16,-0.621354,-0.020945,0,-0.796680
17,-0.642577,-0.021222,0,-0.757163
18,-0.663925,-0.021349,0,-0.720041
19,-0.685252,-0.021327,0,-0.686426
20,-0.706414,-0.021162,0,-0.657270
21,-0.727272,-0.020858,0,-0.633329
22,-0.747697,-0.020424,0,-0.615142
23,-0.767564,-0.019867,0,-0.603023
24,-0.786760,-0.019196,0,-0.597078
25,-0.805181,-0.018421,0,-0.597219
26,-0.822733,-0.017552,0,-0.603195
27,-0.839331,-0.016598,0,-0.614631
28,-0.854899,-0.015568,0,-0.631059
29,-0.869372,-0.014473,0,-0.651955
30,-0.882692,-0.013320,0,-0.676768
31,-0.894811,-0.012118,0,-0.704950
32,-0.905686,-0.010875,0,-0.735973
33,-0.915283,-0.009597,0,-0.769344
34,-0.923573,-0.008290,0,-0.804611
35,-0.930534,-0.006960,0,-0.841371
36,-0.936145,-0.005612,0,-0.879267
37,-0.940395,-0.004249,0,-0.917978
38,-0.943271,-0.002877,0,-0.957221
39,-0.944768,-0.001497,0,-0.996734
40,-0.944883,-0.000114,0,-1.036267
41,-0.943614,0.001269,2,-1.132494
42,-0.938965,0.004649,2,-1.227042
43,-0.930946,0.008019,2,-1.318462
44,-0.919578,0.011368,2,-1.404954
45,-0.904891,0.014687,2,-1.484265
46,-0.886928,0.017963,2,-1.553627
47,-0.865749,0.021179,2,-1.609766
48,-0.841431,0.024318,2,-1.648998
49,-0.814075,0.027357,2,-1.667435
50,-0.783805,0.030270,2,-1.661302
51,-0.750776,0.033029,2,-1.627358
52,-0.715172,0.035604,2,-1.563386
53,-0.677209,0.037963,2,-1.468688
54,-0.637135,0.040075,2,-1.344505
55,-0.595225,0.041910,2,-1.194254
56,-0.551782,0.043443,2,-1.023517
57,-0.507128,0.044654,2,-0.839717
58,-0.461598,0.045530,2,-0.651522
59,-0.415529,0.046068,2,-0.468029
60,-0.369258,0.046272,2,-0.297879
61,-0.323103,0.046155,2,-0.148437
62,-0.277362,0.045740,2,-0.025173
63,-0.232305,0.045057,2,0.068659
64,-0.188165,0.044140,2,0.132058
65,-0.145137,0.043028,2,0.166030
66,-0.103376,0.041761,2,0.173167
67,-0.062996,0.040380,2,0.157145
68,-0.024071,0.038925,2,0.122208
69,0.013361,0.037431,2,0.072726
70,0.049294,0.035933,2,0.012851
71,0.083755,0.034461,2,-0.053721
72,0.116794,0.033039,2,-0.123878
73,0.148485,0.031691,2,-0.195140
74,0.178920,0.030435,2,-0.265653
75,0.208207,0.029287,2,-0.334134
76,0.236466,0.028259,2,-0.399805
77,0.263828,0.027362,2,-0.462313
78,0.290433,0.026605,2,-0.521666
79,0.316428,0.025995,2,-0.578163
80,0.341967,0.025540,2,-0.632350
81,0.367211,0.025244,2,-0.684981
82,0.392325,0.025113,2,-0.736990
83,0.417479,0.025154,2,-0.789482
84,0.442850,0.025372,2,-0.843719
85,0.468622,0.025772,2,-0.901123
86,0.494984,0.026361,2,-0.963272
