step,position,velocity,action,reward
0,-0.576405,0.000000,2,-1.006513
1,-0.575010,0.001394,2,-1.012462
2,-0.572232,0.002778,2,-1.017301
3,-0.568090,0.004142,2,-1.020519
4,-0.562615,0.005475,2,-1.021659
5,-0.555849,0.006767,2,-1.020333
6,-0.547841,0.008008,2,-1.016240
7,-0.538651,0.009190,2,-1.009179
8,-0.528348,0.010303,2,-0.999062
9,-0.517010,0.011338,2,-0.985922
10,-0.504722,0.012289,2,-0.969916
11,-0.491574,0.013147,2,-0.951327
12,-0.477667,0.013907,2,-0.930550
13,-0.463103,0.014564,2,-0.908088
14,-0.447990,0.015113,2,-0.884523
15,-0.432439,0.015551,2,-0.860501
16,-0.416564,0.015875,2,-0.836699
17,-0.400478,0.016086,2,-0.813798
18,-0.384294,0.016184,2,-0.792456
19,-0.368125,0.016169,2,-0.773279
20,-0.352080,0.016045,2,-0.756798
21,-0.336265,0.015815,2,-0.743456
22,-0.320783,0.015482,2,-0.733589
23,-0.305729,0.015053,2,-0.727429
24,-0.291196,0.014533,0,-0.765379
25,-0.279268,0.011928,0,-0.811379
26,-0.270013,0.009255,0,-0.863517
27,-0.263481,0.006532,0,-0.919918
28,-0.259708,0.003773,0,-0.978752
29,-0.258714,0.000994,0,-1.038222
30,-0.260505,-0.001790,0,-1.096544
31,-0.265069,-0.004565,0,-1.151914
32,-0.272384,-0.007315,0,-1.202490
33,-0.282410,-0.010026,0,-1.246384
34,-0.295091,-0.012681,0,-1.281677
35,-0.310355,-0.015264,0,-1.306472
36,-0.328111,-0.017756,0,-1.318969
37,-0.348250,-0.020140,0,-1.317582
38,-0.370645,-0.022395,0,-1.301077
39,-0.395148,-0.024502,0,-1.268723
40,-0.421590,-0.026442,0,-1.220439
41,-0.449785,-0.028195,0,-1.156913
42,-0.479529,-0.029744,0,-1.079670
43,-0.510603,-0.031074,0,-0.991058
44,-0.542774,-0.032171,0,-0.894161
45,-0.575802,-0.033028,0,-0.792623
46,-0.609439,-0.033638,0,-0.690402
47,-0.643440,-0.034001,0,-0.591484
48,-0.677561,-0.034121,0,-0.499592
49,-0.711569,-0.034007,0,-0.417927
50,-0.745240,-0.033671,0,-0.348969
51,-0.778368,-0.033128,0,-0.294362
52,-0.810766,-0.032398,0,-0.254887
53,-0.842268,-0.031501,0,-0.230518
54,-0.872727,-0.030459,0,-0.220533
55,-0.902021,-0.029294,0,-0.223671
56,-0.930048,-0.028027,0,-0.238305
57,-0.956728,-0.026680,0,-0.262606
58,-0.981999,-0.025272,0,-0.294686
59,-1.005819,-0.023819,0,-0.332723
60,-1.028157,-0.022338,0,-0.375036
61,-1.048999,-0.020842,0,-0.420149
62,-1.068342,-0.019343,0,-0.466814
63,-1.086190,-0.017848,0,-0.514018
64,-1.102554,-0.016365,0,-0.560976
65,-1.117453,-0.014899,0,-0.607112
66,-1.130908,-0.013454,2,-0.709627
67,-1.140940,-0.010033,2,-0.809447
68,-1.147571,-0.006631,2,-0.907216
69,-1.150815,-0.003243,2,-1.003905
70,-1.150678,0.000137,2,-1.100640
71,-1.147161,0.003517,2,-1.198542
72,-1.140255,0.006906,2,-1.298561
73,-1.129947,0.010309,2,-1.401308
74,-1.116214,0.013732,2,-1.506862
75,-1.099036,0.017179,2,-1.614562
76,-1.078387,0.020649,2,-1.722782
77,-1.054249,0.024138,2,-1.828705
78,-1.026612,0.027637,2,-1.928146
79,-0.995480,0.031132,2,-2.015441
80,-0.960877,0.034602,2,-2.083512
81,-0.922859,0.038019,2,-2.124151
82,-0.881511,0.041347,2,-2.128618
83,-0.836967,0.044545,2,-2.088560
84,-0.789403,0.047564,2,-1.997239
85,-0.739051,0.050352,2,-1.850910
86,-0.686193,0.052858,2,-1.650105
87,-0.631163,0.055030,2,-1.400512
88,-0.574340,0.056823,2,-1.113134
89,-0.516139,0.058202,2,-0.803532
90,-0.456993,0.059146,2,-0.490187
91,-0.397343,0.059650,2,-0.192251
92,-0.337618,0.059725,2,0.072851
93,-0.278217,0.059402,2,0.291452
94,-0.219494,0.058723,2,0.454918
95,-0.161748,0.057746,2,0.559980
96,-0.105214,0.056534,2,0.608217
97,-0.050056,0.055158,2,0.604936
98,0.003630,0.053686,2,0.557768
99,0.055816,0.052186,2,0.475306
100,0.106537,0.050721,2,0.365959
101,0.155884,0.049348,2,0.237139
102,0.204000,0.048116,2,0.094777
103,0.251070,0.047070,2,-0.056876
104,0.297316,0.046246,0,-0.246342
105,0.340992,0.043676,0,-0.420869
106,0.382366,0.041374,0,-0.579260
107,0.421713,0.039346,0,-0.721921
108,0.459307,0.037594,0,-0.850277
109,0.495422,0.036115,0,-0.966329
