step,position,velocity,action,reward
0,-0.425104,0.000000,0,-1.014967
1,-0.426832,-0.001728,0,-1.029059
2,-0.430276,-0.003444,0,-1.041421
3,-0.435410,-0.005134,0,-1.051246
4,-0.442198,-0.006788,0,-1.057793
5,-0.450591,-0.008393,0,-1.060419
6,-0.460527,-0.009936,0,-1.058599
7,-0.471933,-0.011406,0,-1.051955
8,-0.484725,-0.012792,0,-1.040282
9,-0.498808,-0.014083,0,-1.023564
10,-0.514076,-0.015269,0,-1.001989
11,-0.530416,-0.016340,0,-0.975953
12,-0.547705,-0.017289,0,-0.946053
13,-0.565813,-0.018108,0,-0.913069
14,-0.584606,-0.018792,0,-0.877934
15,-0.603943,-0.019337,0,-0.841691
16,-0.623684,-0.019741,0,-0.805444
17,-0.643685,-0.020001,0,-0.770307
18,-0.663805,-0.020120,0,-0.737349
19,-0.683905,-0.020099,0,-0.707542
20,-0.703847,-0.019943,0,-0.681726
21,-0.723503,-0.019656,0,-0.660571
22,-0.742748,-0.019245,0,-0.644567
23,-0.761465,-0.018717,0,-0.634010
24,-0.779546,-0.018081,0,-0.629018
25,-0.796890,-0.017344,0,-0.629537
26,-0.813406,-0.016517,0,-0.635376
27,-0.829013,-0.015607,0,-0.646225
28,-0.843636,-0.014623,0,-0.661691
29,-0.857211,-0.013575,0,-0.681325
30,-0.869682,-0.012470,0,-0.704647
31,-0.880998,-0.011317,0,-0.731174
32,-0.891119,-0.010121,0,-0.760428
33,-0.900009,-0.008890,0,-0.791958
34,-0.907639,-0.007630,0,-0.825344
35,-0.913985,-0.006346,0,-0.860198
36,-0.919028,-0.005043,0,-0.896169
37,-0.922753,-0.003725,0,-0.932935
38,-0.925151,-0.002398,0,-0.970200
39,-0.926214,-0.001063,0,-1.007681
40,-0.925940,0.000274,2,-1.101011
41,-0.922330,0.003610,2,-1.192870
42,-0.915393,0.006937,2,-1.281744
43,-0.905149,0.010244,2,-1.365836
44,-0.891628,0.013520,2,-1.442972
45,-0.874875,0.016753,2,-1.510536
46,-0.854949,0.019926,2,-1.565479
47,-0.831927,0.023022,2,-1.604402
48,-0.805908,0.026019,2,-1.623737
49,-0.777016,0.028892,2,-1.620022
50,-0.745402,0.031614,2,-1.590279
51,-0.711244,0.034158,2,-1.532449
52,-0.674752,0.036492,2,-1.445830
53,-0.636165,0.038587,2,-1.331459
54,-0.595749,0.040416,2,-1.192335
55,-0.553797,0.041952,2,-1.033427
56,-0.510618,0.043179,2,-0.861417
57,-0.466537,0.044081,2,-0.684179
58,-0.421882,0.044655,2,-0.510079
59,-0.376977,0.044904,2,-0.347179
60,-0.332137,0.044840,2,-0.202485
61,-0.287656,0.044481,2,-0.081365
62,-0.243800,0.043856,2,0.012793
63,-0.200805,0.042995,2,0.078658
64,-0.158869,0.041935,2,0.116785
65,-0.118155,0.040714,2,0.129268
66,-0.078785,0.039370,2,0.119290
67,-0.040846,0.037939,2,0.090673
68,-0.004389,0.036458,2,0.047451
69,0.030569,0.034958,2,-0.006456
70,0.064038,0.033468,2,-0.067483
71,0.096052,0.032014,2,-0.132562
72,0.126670,0.030618,2,-0.199188
73,0.155966,0.029296,2,-0.265417
74,0.184030,0.028065,2,-0.329839
75,0.210966,0.026936,2,-0.391508
76,0.236887,0.025920,2,-0.449883
77,0.261912,0.025025,2,-0.504756
78,0.286170,0.024258,2,-0.556187
79,0.309795,0.023624,2,-0.604460
80,0.332923,0.023129,2,-0.650035
81,0.355698,0.022775,2,-0.693521
82,0.378267,0.022569,2,-0.735660
83,0.400780,0.022513,2,-0.777311
84,0.423392,0.022612,2,-0.819455
85,0.446264,0.022872,2,-0.863190
86,0.469561,0.023297,2,-0.909746
87,0.493455,0.023894,2,-0.960488
