step,position,velocity,action,reward
0,-0.426420,0.000000,0,-1.014691
1,-0.428138,-0.001719,0,-1.028516
2,-0.431563,-0.003425,0,-1.040631
3,-0.436669,-0.005106,0,-1.050235
4,-0.443420,-0.006751,0,-1.056599
5,-0.451767,-0.008346,0,-1.059086
6,-0.461648,-0.009881,0,-1.057179
7,-0.472991,-0.011343,0,-1.050507
8,-0.485712,-0.012721,0,-1.038869
9,-0.499716,-0.014005,0,-1.022251
10,-0.514900,-0.015184,0,-1.000840
11,-0.531149,-0.016249,0,-0.975029
12,-0.548341,-0.017192,0,-0.945411
13,-0.566348,-0.018007,0,-0.912756
14,-0.585035,-0.018687,0,-0.877985
15,-0.604264,-0.019229,0,-0.842129
16,-0.623894,-0.019630,0,-0.806277
17,-0.643783,-0.019889,0,-0.771530
18,-0.663790,-0.020007,0,-0.738941
19,-0.683776,-0.019986,0,-0.709473
20,-0.703607,-0.019831,0,-0.683954
21,-0.723152,-0.019545,0,-0.663048
22,-0.742288,-0.019136,0,-0.647238
23,-0.760899,-0.018611,0,-0.636821
24,-0.778878,-0.017978,0,-0.631913
25,-0.796123,-0.017245,0,-0.632466
26,-0.812545,-0.016422,0,-0.638291
27,-0.828060,-0.015516,0,-0.649086
28,-0.842597,-0.014537,0,-0.664463
29,-0.856091,-0.013493,0,-0.683980
30,-0.868484,-0.012393,0,-0.707165
31,-0.879728,-0.011244,0,-0.733536
32,-0.889780,-0.010053,0,-0.762624
33,-0.898607,-0.008826,0,-0.793980
34,-0.906177,-0.007571,0,-0.827185
35,-0.912468,-0.006291,2,-0.917300
36,-0.915461,-0.002993,2,-1.008713
37,-0.915146,0.000315,2,-1.099991
38,-0.911525,0.003621,2,-1.189689
39,-0.904608,0.006917,2,-1.276217
40,-0.894417,0.010192,2,-1.357722
41,-0.880983,0.013434,2,-1.431997
42,-0.864354,0.016629,2,-1.496435
43,-0.844591,0.019762,2,-1.548044
44,-0.821777,0.022815,2,-1.583537
45,-0.796012,0.025764,2,-1.599519
46,-0.767425,0.028588,2,-1.592760
47,-0.736167,0.031258,2,-1.560554
48,-0.702421,0.033746,2,-1.501135
49,-0.666398,0.036024,2,-1.414078
50,-0.628335,0.038062,2,-1.300639
51,-0.588501,0.039835,2,-1.163936
52,-0.547182,0.041319,2,-1.008927
53,-0.504687,0.042495,2,-0.842133
54,-0.461333,0.043354,2,-0.671132
55,-0.417444,0.043889,2,-0.503886
56,-0.373338,0.044106,2,-0.347994
57,-0.329320,0.044017,2,-0.210007
58,-0.285679,0.043641,2,-0.094892
59,-0.242674,0.043005,2,-0.005737
60,-0.200536,0.042138,2,0.056307
61,-0.159459,0.041077,2,0.091851
62,-0.119601,0.039858,2,0.102940
63,-0.081084,0.038517,2,0.092632
64,-0.043993,0.037091,2,0.064573
65,-0.008380,0.035612,2,0.022605
66,0.025733,0.034113,2,-0.029540
67,0.058354,0.032621,2,-0.088463
68,0.089513,0.031159,2,-0.151230
69,0.119261,0.029749,2,-0.215435
70,0.147668,0.028407,2,-0.279197
71,0.174816,0.027148,2,-0.341132
72,0.200800,0.025984,2,-0.400296
73,0.225724,0.024924,2,-0.456119
74,0.249700,0.023976,2,-0.508342
75,0.272845,0.023145,2,-0.556954
76,0.295282,0.022437,2,-0.602146
77,0.317138,0.021855,2,-0.644265
78,0.338542,0.021404,2,-0.683790
79,0.359628,0.021086,2,-0.721306
80,0.380533,0.020905,2,-0.757494
81,0.401398,0.020865,2,-0.793128
82,0.422367,0.020969,2,-0.829074
83,0.443589,0.021221,2,-0.866302
84,0.465216,0.021627,2,-0.905891
85,0.487407,0.022191,2,-0.949040
