step,position,velocity,action,reward
0,-0.400898,0.000000,0,-1.020355
1,-0.402797,-0.001900,0,-1.039662
2,-0.406583,-0.003786,0,-1.056893
3,-0.412229,-0.005646,0,-1.071069
4,-0.419694,-0.007465,0,-1.081281
5,-0.428926,-0.009232,0,-1.086726
6,-0.439859,-0.010933,0,-1.086732
7,-0.452413,-0.012554,0,-1.080799
8,-0.466497,-0.014084,0,-1.068626
9,-0.482008,-0.015510,0,-1.050144
10,-0.498829,-0.016821,0,-1.025539
11,-0.516836,-0.018007,0,-0.995257
12,-0.535893,-0.019058,0,-0.960006
13,-0.555859,-0.019965,0,-0.920733
14,-0.576583,-0.020724,0,-0.878587
15,-0.597911,-0.021328,0,-0.834868
16,-0.619686,-0.021775,0,-0.790960
17,-0.641751,-0.022065,0,-0.748260
18,-0.663948,-0.022197,0,-0.708111
19,-0.686123,-0.022175,0,-0.671727
20,-0.708127,-0.022004,0,-0.640146
21,-0.729817,-0.021690,0,-0.614183
22,-0.751057,-0.021240,0,-0.594414
23,-0.771720,-0.020663,0,-0.581166
24,-0.791689,-0.019969,0,-0.574533
25,-0.810858,-0.019169,0,-0.574395
26,-0.829129,-0.018271,0,-0.580462
27,-0.846416,-0.017287,0,-0.592303
28,-0.862644,-0.016227,0,-0.609394
29,-0.877744,-0.015101,0,-0.631153
30,-0.891661,-0.013917,0,-0.656979
31,-0.904346,-0.012684,0,-0.686275
32,-0.915756,-0.011410,0,-0.718474
33,-0.925858,-0.010102,0,-0.753052
34,-0.934624,-0.008766,0,-0.789537
35,-0.942031,-0.007407,0,-0.827515
36,-0.948061,-0.006031,0,-0.866623
37,-0.952702,-0.004640,0,-0.906547
38,-0.955942,-0.003240,0,-0.947012
39,-0.957775,-0.001833,2,-1.045600
40,-0.956198,0.001577,2,-1.143700
41,-0.951213,0.004985,2,-1.240180
42,-0.942831,0.008382,2,-1.333671
43,-0.931071,0.011760,2,-1.422421
44,-0.915960,0.015110,2,-1.504176
45,-0.897541,0.018419,2,-1.576121
46,-0.875870,0.021671,2,-1.634873
47,-0.851022,0.024848,2,-1.676582
48,-0.823095,0.027928,2,-1.697136
49,-0.792211,0.030883,2,-1.692491
50,-0.758524,0.033687,2,-1.659117
51,-0.722218,0.036307,2,-1.594527
52,-0.683508,0.038710,2,-1.497809
53,-0.642644,0.040864,2,-1.370095
54,-0.599907,0.042738,2,-1.214835
55,-0.555602,0.044305,2,-1.037803
56,-0.510057,0.045545,2,-0.846771
57,-0.463614,0.046443,2,-0.650873
58,-0.416619,0.046996,2,-0.459735
59,-0.369412,0.047207,2,-0.282517
60,-0.322321,0.047091,2,-0.127028
61,-0.275649,0.046672,2,0.000941
62,-0.229670,0.045979,2,0.097974
63,-0.184621,0.045049,2,0.163051
64,-0.140698,0.043923,2,0.197292
65,-0.098055,0.042642,2,0.203489
66,-0.056805,0.041250,2,0.185566
67,-0.017019,0.039786,2,0.148024
68,0.021270,0.038289,2,0.095469
69,0.058064,0.036794,2,0.032245
70,0.093396,0.035332,2,-0.037805
71,0.127326,0.033930,2,-0.111481
72,0.159936,0.032610,2,-0.186265
73,0.191328,0.031392,2,-0.260310
74,0.221621,0.030293,2,-0.332381
75,0.250946,0.029325,2,-0.401780
76,0.279447,0.028501,2,-0.468267
77,0.307276,0.027829,2,-0.531990
78,0.334595,0.027318,2,-0.593413
79,0.361570,0.026976,2,-0.653273
80,0.388378,0.026808,2,-0.712541
81,0.415199,0.026821,2,-0.772397
82,0.442221,0.027022,2,-0.834211
83,0.469639,0.027418,2,-0.899537
84,0.497654,0.028015,2,-0.970097
