step,position,velocity,action,reward
0,-0.460346,0.000000,2,-0.996997
1,-0.459817,0.000528,2,-0.993943
2,-0.458764,0.001053,2,-0.990789
3,-0.457195,0.001570,2,-0.987491
4,-0.455119,0.002075,2,-0.984012
5,-0.452554,0.002565,2,-0.980328
6,-0.449518,0.003036,2,-0.976421
7,-0.446033,0.003485,2,-0.972291
8,-0.442124,0.003909,2,-0.967948
9,-0.437821,0.004304,2,-0.963417
10,-0.433153,0.004667,2,-0.958737
11,-0.428156,0.004997,2,-0.953960
12,-0.422864,0.005291,2,-0.949150
13,-0.417317,0.005547,2,-0.944382
14,-0.411553,0.005764,2,-0.939737
15,-0.405615,0.005939,2,-0.935304
16,-0.399542,0.006072,2,-0.931174
17,-0.393379,0.006163,2,-0.927440
18,-0.387167,0.006211,2,-0.924191
19,-0.380951,0.006216,2,-0.921513
20,-0.374772,0.006179,2,-0.919483
21,-0.368672,0.006099,2,-0.918169
22,-0.362693,0.005979,2,-0.917629
23,-0.356875,0.005818,2,-0.917907
24,-0.351256,0.005620,2,-0.919034
25,-0.345872,0.005384,2,-0.921024
26,-0.340759,0.005113,2,-0.923880
27,-0.335949,0.004810,2,-0.927588
28,-0.331474,0.004475,2,-0.932120
29,-0.327361,0.004113,2,-0.937435
30,-0.323636,0.003725,2,-0.943479
31,-0.320323,0.003313,2,-0.950187
32,-0.317442,0.002881,2,-0.957483
33,-0.315010,0.002432,2,-0.965284
34,-0.313042,0.001968,2,-0.973499
35,-0.311551,0.001491,2,-0.982031
36,-0.310545,0.001006,2,-0.990777
37,-0.310030,0.000515,2,-0.999633
38,-0.310009,0.000020,2,-1.008494
39,-0.310483,-0.000474,2,-1.017253
40,-0.311449,-0.000966,2,-1.025806
41,-0.312901,-0.001452,2,-1.034051
42,-0.314829,-0.001929,2,-1.041890
43,-0.317224,-0.002394,2,-1.049232
44,-0.320068,-0.002845,2,-1.055991
45,-0.323347,-0.003278,2,-1.062092
46,-0.327038,-0.003691,2,-1.067470
47,-0.331120,-0.004082,2,-1.072068
48,-0.335566,-0.004446,2,-1.075845
49,-0.340349,-0.004783,2,-1.078772
50,-0.345438,-0.005089,2,-1.080835
51,-0.350801,-0.005363,2,-1.082032
52,-0.356403,-0.005601,2,-1.082379
53,-0.362206,-0.005803,2,-1.081905
54,-0.368173,-0.005967,2,-1.080654
55,-0.374264,-0.006091,2,-1.078680
56,-0.380438,-0.006174,2,-1.076053
57,-0.386653,-0.006215,2,-1.072848
58,-0.392867,-0.006213,2,-1.069150
59,-0.399036,-0.006169,2,-1.065050
60,-0.405117,-0.006082,2,-1.060639
61,-0.411069,-0.005952,2,-1.056008
62,-0.416848,-0.005780,2,-1.051246
63,-0.422415,-0.005567,2,-1.046437
64,-0.427729,-0.005314,2,-1.041655
65,-0.432752,-0.005023,2,-1.036965
66,-0.437448,-0.004696,2,-1.032420
67,-0.441783,-0.004335,2,-1.028060
68,-0.445726,-0.003942,2,-1.023912
69,-0.449247,-0.003521,2,-1.019987
70,-0.452321,-0.003074,2,-1.016284
71,-0.454926,-0.002605,2,-1.012790
72,-0.457042,-0.002116,2,-1.009478
73,-0.458654,-0.001612,2,-1.006313
74,-0.459750,-0.001096,2,-1.003252
75,-0.460322,-0.000572,2,-1.000247
76,-0.460366,-0.000044,2,-0.997247
77,-0.459881,0.000485,2,-0.994199
78,-0.458871,0.001010,2,-0.991055
79,-0.457344,0.001527,2,-0.987770
80,-0.455310,0.002034,2,-0.984307
81,-0.452785,0.002525,2,-0.980640
82,-0.449786,0.002998,2,-0.976753
83,-0.446337,0.003449,2,-0.972641
84,-0.442463,0.003875,2,-0.968314
85,-0.438190,0.004272,2,-0.963797
86,-0.433552,0.004639,2,-0.959128
87,-0.428580,0.004971,2,-0.954357
88,-0.423312,0.005268,2,-0.949547
89,-0.417784,0.005528,2,-0.944772
90,-0.412037,0.005747,2,-0.940114
91,-0.406111,0.005926,2,-0.935660
92,-0.400048,0.006063,2,-0.931502
93,-0.393890,0.006157,2,-0.927732
94,-0.387681,0.006209,2,-0.924439
95,-0.381464,0.006218,2,-0.921711
96,-0.375280,0.006184,2,-0.919624
97,-0.369172,0.006108,2,-0.918249
98,-0.363182,0.005990,2,-0.917644
99,-0.357349,0.005833,2,-0.917853
100,-0.351712,0.005637,2,-0.918908
101,-0.346307,0.005405,2,-0.920827
102,-0.341170,0.005137,2,-0.923612
103,-0.336334,0.004836,2,-0.927250
104,-0.331830,0.004504,2,-0.931715
105,-0.327687,0.004144,2,-0.936967
106,-0.323929,0.003758,2,-0.942953
107,-0.320581,0.003348,2,-0.949609
