step,position,velocity,action,reward
0,-0.494837,0.000000,2,-0.997944
1,-0.494053,0.000785,2,-0.995739
2,-0.492490,0.001563,2,-0.993242
3,-0.490159,0.002330,2,-0.990322
4,-0.487079,0.003080,2,-0.986866
5,-0.483273,0.003807,2,-0.982784
6,-0.478768,0.004505,2,-0.978014
7,-0.473598,0.005170,2,-0.972522
8,-0.467802,0.005796,2,-0.966310
9,-0.461423,0.006380,2,-0.959412
10,-0.454507,0.006916,2,-0.951897
11,-0.447106,0.007401,2,-0.943865
12,-0.439273,0.007833,2,-0.935448
13,-0.431066,0.008207,2,-0.926803
14,-0.422544,0.008522,2,-0.918106
15,-0.413768,0.008776,2,-0.909550
16,-0.404802,0.008967,2,-0.901335
17,-0.395707,0.009094,2,-0.893663
18,-0.386549,0.009159,2,-0.886733
19,-0.377389,0.009159,2,-0.880730
20,-0.368292,0.009098,2,-0.875823
21,-0.359317,0.008975,2,-0.872161
22,-0.350526,0.008792,2,-0.869863
23,-0.341974,0.008551,2,-0.869024
24,-0.333719,0.008255,2,-0.869707
25,-0.325812,0.007907,2,-0.871943
26,-0.318303,0.007509,2,-0.875735
27,-0.311238,0.007065,2,-0.881056
28,-0.304660,0.006578,2,-0.887852
29,-0.298608,0.006051,0,-0.934164
30,-0.295119,0.003489,0,-0.982753
31,-0.294212,0.000907,0,-1.031933
32,-0.295894,-0.001681,0,-1.080018
33,-0.300153,-0.004259,0,-1.125319
34,-0.306965,-0.006812,0,-1.166143
35,-0.316290,-0.009325,0,-1.200800
36,-0.328072,-0.011782,0,-1.227633
37,-0.342237,-0.014165,0,-1.245067
38,-0.358696,-0.016459,0,-1.251679
39,-0.377343,-0.018646,0,-1.246290
40,-0.398051,-0.020708,0,-1.228068
41,-0.420679,-0.022628,0,-1.196640
42,-0.445067,-0.024388,0,-1.152185
43,-0.471038,-0.025971,0,-1.095505
44,-0.498402,-0.027364,0,-1.028050
45,-0.526954,-0.028553,0,-0.951888
46,-0.556482,-0.029527,0,-0.869619
47,-0.586763,-0.030281,0,-0.784222
48,-0.617573,-0.030810,0,-0.698875
49,-0.648688,-0.031115,0,-0.616731
50,-0.679886,-0.031198,0,-0.540715
51,-0.710955,-0.031069,0,-0.473331
52,-0.741692,-0.030736,0,-0.416526
53,-0.771906,-0.030215,0,-0.371609
54,-0.801427,-0.029520,0,-0.339232
55,-0.830096,-0.028669,0,-0.319426
56,-0.857777,-0.027681,0,-0.311687
57,-0.884352,-0.026574,0,-0.315088
58,-0.909718,-0.025367,0,-0.328403
59,-0.933794,-0.024076,0,-0.350229
60,-0.956514,-0.022720,0,-0.379099
61,-0.977825,-0.021311,0,-0.413574
62,-0.997691,-0.019865,0,-0.452311
63,-1.016084,-0.018393,0,-0.494111
64,-1.032988,-0.016904,0,-0.537946
65,-1.048394,-0.015406,0,-0.582972
66,-1.062300,-0.013906,0,-0.628521
67,-1.074708,-0.012409,0,-0.674100
68,-1.085626,-0.010917,0,-0.719363
69,-1.095059,-0.009434,0,-0.764102
70,-1.103019,-0.007960,0,-0.808220
71,-1.109513,-0.006494,2,-0.910525
72,-1.112551,-0.003038,2,-1.012185
73,-1.112137,0.000414,2,-1.113936
74,-1.108271,0.003867,2,-1.216492
75,-1.100946,0.007325,2,-1.320361
76,-1.090153,0.010792,2,-1.425651
77,-1.075881,0.014272,2,-1.531873
78,-1.058119,0.017763,2,-1.637727
79,-1.036858,0.021261,2,-1.740904
80,-1.012098,0.024760,2,-1.837911
81,-0.983852,0.028246,2,-1.923969
82,-0.952151,0.031701,2,-1.993040
83,-0.917050,0.035100,2,-2.038036
84,-0.878638,0.038412,2,-2.051282
85,-0.837039,0.041599,2,-2.025254
86,-0.792421,0.044619,2,-1.953585
87,-0.744998,0.047423,2,-1.832230
88,-0.695033,0.049964,2,-1.660615
89,-0.642839,0.052194,2,-1.442510
90,-0.588770,0.054069,2,-1.186359
91,-0.533215,0.055555,2,-0.904874
92,-0.476588,0.056627,2,-0.613858
93,-0.419312,0.057276,2,-0.330410
94,-0.361806,0.057506,2,-0.070862
95,-0.304466,0.057340,2,0.151131
96,-0.247654,0.056812,2,0.325968
97,-0.191682,0.055971,2,0.448729
98,-0.136809,0.054873,2,0.519025
99,-0.083228,0.053581,2,0.540236
100,-0.031070,0.052158,2,0.518388
101,0.019599,0.050669,2,0.460938
102,0.068773,0.049174,2,0.375684
103,0.116499,0.047727,2,0.269914
104,0.162877,0.046378,2,0.149835
105,0.208047,0.045170,2,0.020276
106,0.252189,0.044142,2,-0.115410
107,0.295512,0.043324,0,-0.287120
108,0.336255,0.040743,0,-0.443393
109,0.374666,0.038411,2,-0.563796
110,0.412997,0.038331,2,-0.687482
111,0.451514,0.038516,2,-0.816356
112,0.490494,0.038980,2,-0.952700
