step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.998574,0.053382,0.999995,0.003070,-0.089919,-0.049991,-1.000000,-1.020799
1,0.999078,0.042928,0.999321,-0.036836,-0.014042,-0.343524,-1.000000,-0.964246
2,0.998890,0.047100,0.991604,-0.129312,0.051713,-0.567549,-1.000000,-0.839044
3,0.998128,0.061159,0.967639,-0.252337,0.081982,-0.662478,-1.000000,-0.707208
4,0.997050,0.076751,0.927009,-0.375039,0.067443,-0.607357,-1.000000,-0.658473
5,0.996322,0.085687,0.882597,-0.470131,0.018273,-0.425877,-1.000000,-0.737440
6,0.996538,0.083134,0.852682,-0.522430,-0.044037,-0.169326,1.000000,-1.110546
7,0.999036,0.043887,0.881877,-0.471480,-0.340837,0.744114,1.000000,-1.503972
8,0.998879,-0.047329,0.965653,-0.259835,-0.549905,1.492133,1.000000,-1.319042
9,0.986600,-0.163159,0.996827,0.079604,-0.579059,1.852608,1.000000,-0.665778
10,0.965654,-0.259832,0.903863,0.427821,-0.376100,1.690863,1.000000,-0.153248
11,0.954223,-0.299096,0.745522,0.666481,-0.019824,1.139866,-1.000000,-0.413280
12,0.969565,-0.244835,0.677178,0.735819,0.566870,-0.161915,-1.000000,-1.239561
13,0.996215,-0.086921,0.782915,0.622128,1.004674,-1.359742,-1.000000,-1.635190
14,0.990404,0.138201,0.953962,0.299927,1.203027,-2.226096,-1.000000,-1.193955
15,0.932469,0.361249,0.985114,-0.171905,1.041459,-2.418977,-1.000000,-0.461548
16,0.862746,0.505638,0.817921,-0.575331,0.518797,-1.892512,-1.000000,-0.276564
17,0.844050,0.536265,0.617283,-0.786741,-0.168239,-1.000033,-1.000000,-0.637522
18,0.893585,0.448894,0.534703,-0.845040,-0.815579,-0.010019,1.000000,-1.343392
19,0.973328,0.229419,0.656095,-0.754678,-1.479316,1.496278,1.000000,-1.702913
20,0.994601,-0.103773,0.908927,-0.416956,-1.807891,2.657508,1.000000,-0.940372
21,0.897079,-0.441871,0.989126,0.147071,-1.636978,2.942351,1.000000,0.007425
22,0.749613,-0.661877,0.777977,0.628293,-0.957322,2.264255,1.000000,-0.091333
23,0.678360,-0.734729,0.516105,0.856525,-0.046078,1.197881,-1.000000,-1.241061
24,0.751000,-0.660303,0.457881,0.889014,1.065160,-0.535493,-1.000000,-2.550539
25,0.916061,-0.401038,0.687237,0.726434,1.973663,-2.267455,-1.000000,-2.293793
26,0.999146,0.041321,0.976847,0.213937,2.468458,-3.548028,-1.000000,-0.004908
27,0.866972,0.498356,0.875812,-0.482653,2.206134,-3.393310,-1.000000,1.503783
28,0.634139,0.773219,0.478046,-0.878335,1.359763,-2.226509,-1.000000,0.778694
29,0.494616,0.869112,0.179999,-0.983667,0.320840,-0.953203,-1.000000,-0.958857
30,0.531293,0.847188,0.116129,-0.993234,-0.741607,0.314647,1.000000,-2.968008
