step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.999618,0.027643,0.996591,0.082497,-0.024865,0.034772,1.000000,-0.985853
1,0.999969,0.007839,0.993113,0.117161,-0.167873,0.304119,1.000000,-0.941475
2,0.999354,-0.035949,0.980495,0.196543,-0.258514,0.478860,1.000000,-0.879218
3,0.995946,-0.089953,0.955634,0.294556,-0.268646,0.507249,1.000000,-0.845470
4,0.990521,-0.137359,0.924701,0.380693,-0.196598,0.386656,1.000000,-0.883115
5,0.986468,-0.163953,0.902022,0.431690,-0.065918,0.159503,1.000000,-0.982977
6,0.986781,-0.162062,0.899746,0.436414,0.084611,-0.107255,1.000000,-1.087768
7,0.991249,-0.132007,0.918831,0.394652,0.211976,-0.340397,1.000000,-1.138064
8,0.996631,-0.082015,0.948534,0.316675,0.278499,-0.473342,1.000000,-1.118765
9,0.999645,-0.026647,0.974545,0.224190,0.262023,-0.463101,1.000000,-1.066189
10,0.999852,0.017191,0.989246,0.146264,0.165133,-0.309776,1.000000,-1.024867
11,0.999358,0.035827,0.994093,0.108535,0.016503,-0.061469,1.000000,-1.000674
12,0.999728,0.023321,0.992403,0.123033,-0.138406,0.202569,1.000000,-0.967148
13,0.999860,-0.016742,0.982901,0.184132,-0.252003,0.398599,1.000000,-0.914115
14,0.997387,-0.072241,0.962699,0.270573,-0.289587,0.465553,1.000000,-0.874433
15,0.991987,-0.126343,0.935394,0.353606,-0.240860,0.386432,1.000000,-0.892629
16,0.986605,-0.163127,0.912838,0.408322,-0.122173,0.191187,1.000000,-0.973786
17,0.985043,-0.172306,0.907263,0.420564,0.031043,-0.059694,1.000000,-1.072200
18,0.988467,-0.151439,0.921927,0.387364,0.175185,-0.294471,1.000000,-1.127811
19,0.994333,-0.106313,0.948602,0.316472,0.268686,-0.444229,1.000000,-1.115168
20,0.998752,-0.049938,0.973834,0.227259,0.282699,-0.459041,1.000000,-1.061841
21,1.000000,0.000740,0.989015,0.147818,0.211567,-0.328278,1.000000,-1.014521
22,0.999541,0.030285,0.994456,0.105153,0.076749,-0.090098,1.000000,-0.987678
23,0.999553,0.029897,0.993436,0.114393,-0.080037,0.181006,1.000000,-0.957303
24,1.000000,0.000039,0.984862,0.173343,-0.210458,0.399460,1.000000,-0.905929
25,0.998761,-0.049766,0.964793,0.263009,-0.274769,0.496070,1.000000,-0.859742
26,0.994584,-0.103940,0.935056,0.354499,-0.254996,0.442295,1.000000,-0.867931
27,0.989268,-0.146112,0.907220,0.420656,-0.159942,0.258482,1.000000,-0.948079
28,0.986420,-0.164243,0.895753,0.444552,-0.019513,0.000345,1.000000,-1.062033
29,0.988152,-0.153480,0.907283,0.420522,0.125610,-0.261110,1.000000,-1.143843
30,0.993135,-0.116975,0.935599,0.353064,0.233558,-0.453737,1.000000,-1.151466
31,0.997859,-0.065405,0.966076,0.258260,0.271045,-0.518200,1.000000,-1.099789
32,0.999894,-0.014567,0.986567,0.163356,0.224515,-0.428635,1.000000,-1.040929
33,0.999810,0.019502,0.995131,0.098564,0.107358,-0.208637,1.000000,-1.006734
34,0.999661,0.026017,0.996388,0.084922,-0.043740,0.074652,1.000000,-0.980652
35,0.999996,0.002891,0.991942,0.126692,-0.181326,0.334166,1.000000,-0.932722
36,0.999090,-0.042648,0.977679,0.210106,-0.262147,0.490368,1.000000,-0.871473
37,0.995357,-0.096247,0.951409,0.307929,-0.261320,0.497651,1.000000,-0.846041
38,0.989973,-0.141260,0.920732,0.390195,-0.180745,0.360093,1.000000,-0.893946
39,0.986417,-0.164259,0.900300,0.435269,-0.046378,0.124355,1.000000,-0.998222
40,0.987341,-0.158614,0.901097,0.433618,0.102202,-0.141297,1.000000,-1.098594
41,0.992070,-0.125684,0.922354,0.386347,0.222488,-0.364152,1.000000,-1.139587
42,0.997215,-0.074577,0.952306,0.305144,0.278501,-0.479912,1.000000,-1.113504
43,0.999794,-0.020311,0.977059,0.212970,0.251011,-0.450389,1.000000,-1.060567
44,0.999791,0.020449,0.990292,0.139004,0.146106,-0.282054,1.000000,-1.021983
45,0.999389,0.034940,0.994205,0.107499,-0.004887,-0.028010,1.000000,-0.997963
46,0.999829,0.018466,0.991736,0.128292,-0.155702,0.230825,1.000000,-0.961562
47,0.999708,-0.024185,0.981081,0.193596,-0.259943,0.412578,1.000000,-0.907818
48,0.996788,-0.080086,0.959775,0.280771,-0.285815,0.461173,1.000000,-0.873460
49,0.991208,-0.132315,0.932523,0.361112,-0.226668,0.365929,1.000000,-0.900017
50,0.986197,-0.165575,0.911656,0.410954,-0.101815,0.161561,1.000000,-0.985646
51,0.985340,-0.170601,0.908605,0.417656,0.051827,-0.089446,1.000000,-1.080718
52,0.989275,-0.146062,0.925151,0.379599,0.190597,-0.315413,1.000000,-1.127755
53,0.995111,-0.098766,0.952054,0.305930,0.274235,-0.449282,1.000000,-1.108210
54,0.999100,-0.042414,0.976109,0.217282,0.276620,-0.445457,1.000000,-1.054315
55,0.999982,0.006017,0.989868,0.141989,0.195692,-0.299538,1.000000,-1.010351
56,0.999494,0.031802,0.994387,0.105808,0.056006,-0.055075,1.000000,-0.984870
57,0.999627,0.027312,0.992567,0.121699,-0.099286,0.211167,1.000000,-0.952331
58,0.999983,-0.005745,0.982702,0.185195,-0.222403,0.414914,1.000000,-0.900181
59,0.998381,-0.056886,0.961243,0.275701,-0.276028,0.491638,1.000000,-0.859488
60,0.993910,-0.110197,0.931331,0.364173,-0.245684,0.419359,1.000000,-0.877393
61,0.988732,-0.149698,0.905331,0.424706,-0.143289,0.223853,1.000000,-0.964066
62,0.986424,-0.164215,0.897016,0.441999,-0.000527,-0.036595,1.000000,-1.075798
63,0.988697,-0.149925,0.911296,0.411751,0.141446,-0.290600,1.000000,-1.147772
64,0.993823,-0.110980,0.940470,0.339876,0.241458,-0.467220,1.000000,-1.145101
65,0.998267,-0.058849,0.969765,0.244040,0.268316,-0.510706,1.000000,-1.089820
66,0.999954,-0.009583,0.988326,0.152353,0.211826,-0.401466,1.000000,-1.033999
67,0.999774,0.021271,0.995551,0.094228,0.088768,-0.169638,1.000000,-1.002772
68,0.999713,0.023976,0.996069,0.088575,-0.062228,0.113894,1.000000,-0.974924
69,0.999997,-0.002326,0.990551,0.137146,-0.193731,0.362048,1.000000,-0.923694
70,0.998781,-0.049365,0.974582,0.224032,-0.264423,0.498865,1.000000,-0.864541
71,0.994754,-0.102297,0.947059,0.321060,-0.252802,0.485160,1.000000,-0.848216
72,0.989471,-0.144733,0.916942,0.399021,-0.164251,0.331529,1.000000,-0.906059
73,0.986446,-0.164083,0.898990,0.437970,-0.026912,0.088451,1.000000,-1.013602
74,0.987951,-0.154766,0.902865,0.429923,0.119028,-0.174794,1.000000,-1.108501
75,0.992875,-0.119163,0.926089,0.377306,0.231714,-0.386203,1.000000,-1.139998
76,0.997738,-0.067224,0.956037,0.293246,0.277017,-0.484059,1.000000,-1.107780
77,0.999897,-0.014344,0.979411,0.201874,0.238757,-0.435306,1.000000,-1.055120
78,0.999732,0.023148,0.991211,0.132289,0.126495,-0.252799,1.000000,-1.019183
79,0.999440,0.033463,0.994238,0.107198,-0.025998,0.005700,1.000000,-0.994824
80,0.999913,0.013160,0.990954,0.134199,-0.171913,0.258050,1.000000,-0.955492
81,0.999494,-0.031803,0.979098,0.203389,-0.266300,0.424679,1.000000,-0.901709
82,0.996140,-0.087777,0.956755,0.290895,-0.280436,0.454808,1.000000,-0.873361
83,0.990453,-0.137852,0.929734,0.368231,-0.211309,0.344037,1.000000,-0.908187
84,0.985884,-0.167432,0.910704,0.413060,-0.081022,0.131525,1.000000,-0.997457
85,0.985735,-0.168302,0.910166,0.414243,0.072216,-0.118546,1.000000,-1.088356
86,0.990118,-0.140239,0.928430,0.371508,0.204878,-0.334769,1.000000,-1.126737
87,0.995847,-0.091045,0.955372,0.295406,0.278208,-0.452221,1.000000,-1.101011
88,0.999386,-0.035039,0.978183,0.207747,0.268979,-0.429948,1.000000,-1.047282
89,0.999941,0.010872,0.990582,0.136924,0.178744,-0.269819,1.000000,-1.006667
90,0.999463,0.032758,0.994227,0.107296,0.034982,-0.020444,1.000000,-0.982033
91,0.999707,0.024196,0.991565,0.129613,-0.117970,0.239594,1.000000,-0.947218
92,0.999929,-0.011878,0.980365,0.197193,-0.233148,0.427771,1.000000,-0.894955
93,0.997945,-0.064082,0.957631,0.287999,-0.275860,0.484569,1.000000,-0.860480
94,0.993219,-0.116261,0.927813,0.373045,-0.235164,0.394560,1.000000,-0.887948
95,0.988241,-0.152903,0.903885,0.427776,-0.125954,0.188600,1.000000,-0.980042
96,0.986503,-0.163741,0.898738,0.438485,0.018473,-0.072799,1.000000,-1.088290
97,0.989287,-0.145984,0.915542,0.402223,0.156622,-0.318074,1.000000,-1.149963
98,0.994495,-0.104781,0.945247,0.326356,0.248187,-0.477750,1.000000,-1.137711
99,0.998629,-0.052345,0.973166,0.230102,0.264274,-0.500077,1.000000,-1.079996
100,0.999988,-0.004891,0.989834,0.142228,0.198153,-0.371960,1.000000,-1.027637
101,0.999744,0.022615,0.995840,0.091114,0.069872,-0.129823,1.000000,-0.998816
102,0.999768,0.021527,0.995625,0.093439,-0.080241,0.152207,1.000000,-0.968643
103,0.999970,-0.007788,0.988920,0.148452,-0.205031,0.387536,1.000000,-0.914532
104,0.998427,-0.056071,0.971213,0.238213,-0.265340,0.504256,1.000000,-0.858611
105,0.994142,-0.108078,0.942627,0.333847,-0.243149,0.469824,1.000000,-0.852055
106,0.989022,-0.147770,0.913384,0.407100,-0.147203,0.301109,1.000000,-0.919342
107,0.986554,-0.163436,0.898121,0.439748,-0.007611,0.051981,1.000000,-1.028931
108,0.988603,-0.150544,0.905045,0.425315,0.135017,-0.207538,1.000000,-1.117362
109,0.993654,-0.112483,0.930004,0.367548,0.239617,-0.406360,1.000000,-1.139296
110,0.998199,-0.059998,0.959697,0.281036,0.274062,-0.485670,1.000000,-1.101663
111,0.999961,-0.008778,0.981595,0.190976,0.225338,-0.417852,1.000000,-1.049865
112,0.999680,0.025279,0.992007,0.126179,0.106418,-0.222112,1.000000,-1.016402
113,0.999507,0.031411,0.994187,0.107665,-0.046703,0.039510,1.000000,-0.991209
114,0.999972,0.007440,0.990045,0.140754,-0.186941,0.284099,1.000000,-0.948990
115,0.999218,-0.039545,0.976945,0.213490,-0.271035,0.434814,1.000000,-0.895901
116,0.995452,-0.095262,0.953650,0.300918,-0.273483,0.446454,1.000000,-0.874195
117,0.989735,-0.142916,0.927047,0.374946,-0.194873,0.320817,1.000000,-0.917091
118,0.985670,-0.168683,0.909987,0.414636,-0.059921,0.101165,1.000000,-1.009124
119,0.986223,-0.165419,0.911935,0.410334,0.092081,-0.146907,1.000000,-1.095079
120,0.990981,-0.134003,0.931744,0.363115,0.217924,-0.352475,1.000000,-1.124827
121,0.996533,-0.083199,0.958547,0.284934,0.280559,-0.453046,1.000000,-1.093687
122,0.999612,-0.027868,0.980064,0.198683,0.259802,-0.412606,1.000000,-1.040788
123,0.999884,0.015263,0.991167,0.132623,0.160812,-0.239278,1.000000,-1.003414
124,0.999451,0.033135,0.993978,0.109582,0.013800,0.013627,1.000000,-0.979119
125,0.999789,0.020555,0.990422,0.138071,-0.135972,0.266169,1.000000,-0.942007
126,0.999832,-0.018332,0.977861,0.209257,-0.242612,0.438013,1.000000,-0.890340
127,0.997454,-0.071317,0.953990,0.299837,-0.274244,0.474963,1.000000,-0.862716
128,0.992518,-0.122095,0.924540,0.381085,-0.223466,0.368081,1.000000,-0.899448
129,0.987804,-0.155701,0.902891,0.429870,-0.108001,0.152934,1.000000,-0.995803
130,0.986658,-0.162807,0.900892,0.434044,0.037401,-0.108056,1.000000,-1.099385
131,0.989915,-0.141664,0.919964,0.392002,0.171050,-0.343356,1.000000,-1.150472
132,0.995147,-0.098401,0.949883,0.312605,0.253686,-0.485245,1.000000,-1.129485
133,0.998945,-0.045923,0.976269,0.216561,0.258918,-0.486380,1.000000,-1.070457
134,1.000000,-0.000513,0.991107,0.133067,0.183553,-0.340325,1.000000,-1.021815
135,0.999723,0.023526,0.996009,0.089255,0.050757,-0.089481,1.000000,-0.994761
136,0.999825,0.018681,0.995039,0.099483,-0.097695,0.189303,1.000000,-0.961811
137,0.999909,-0.013470,0.987032,0.160525,-0.215173,0.410420,1.000000,-0.905401
138,0.998030,-0.062736,0.967586,0.252541,-0.264904,0.506473,1.000000,-0.853868
139,0.993530,-0.113569,0.938163,0.346193,-0.232422,0.451718,1.000000,-0.857592
140,0.988630,-0.150366,0.910110,0.414366,-0.129690,0.268996,1.000000,-0.933660
141,0.986737,-0.162328,0.897719,0.440569,0.011439,0.015149,1.000000,-1.044016
142,0.989288,-0.145974,0.907623,0.419786,0.150100,-0.239315,1.000000,-1.125059
143,0.994400,-0.105680,0.934065,0.357103,0.246164,-0.424438,1.000000,-1.137498
144,0.998598,-0.052938,0.963258,0.268578,0.269660,-0.484647,1.000000,-1.095228
145,0.999993,-0.003642,0.983602,0.180351,0.210837,-0.398049,1.000000,-1.044813
146,0.999640,0.026832,0.992684,0.120739,0.085995,-0.190108,1.000000,-1.013576
147,0.999585,0.028800,0.994049,0.108933,-0.066878,0.073258,1.000000,-0.987080
148,0.999999,0.001346,0.988994,0.147958,-0.200695,0.308823,1.000000,-0.942124
