step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.998817,-0.048631,0.999208,0.039793,0.013573,0.059042,-1.000000,-1.007267
1,0.999660,-0.026074,0.999964,0.008433,0.206349,-0.363376,-1.000000,-0.977259
2,0.999562,0.029586,0.995212,-0.097741,0.335409,-0.672315,-1.000000,-0.870782
3,0.994929,0.100579,0.969742,-0.244130,0.356880,-0.777870,-1.000000,-0.760220
4,0.986504,0.163737,0.923467,-0.383677,0.263520,-0.660233,1.000000,-0.912647
5,0.984701,0.174251,0.907636,-0.419757,-0.158689,0.271490,1.000000,-1.258254
6,0.994628,0.103511,0.958393,-0.285452,-0.539111,1.135491,-1.000000,-1.200572
7,0.999995,-0.003310,0.997712,-0.067601,-0.501772,1.026681,-1.000000,-0.987471
8,0.996322,-0.085693,0.995033,0.099549,-0.301296,0.605463,-1.000000,-0.958843
9,0.993122,-0.117085,0.986848,0.161651,-0.006630,0.006830,-1.000000,-1.039023
10,0.996108,-0.088142,0.994787,0.101971,0.289728,-0.594072,-1.000000,-1.014241
11,0.999971,-0.007592,0.997976,-0.063593,0.494947,-1.021772,-1.000000,-0.803270
12,0.995133,0.098538,0.959560,-0.281503,0.538785,-1.139258,-1.000000,-0.582283
13,0.980831,0.194861,0.879154,-0.476538,0.410503,-0.926777,1.000000,-0.783938
14,0.973649,0.228053,0.838604,-0.544741,-0.076802,0.144152,1.000000,-1.344085
15,0.986171,0.165730,0.904422,-0.426639,-0.545896,1.185836,1.000000,-1.461411
16,0.999769,0.021473,0.992826,-0.119565,-0.866916,1.950618,-1.000000,-0.913967
17,0.991063,-0.133392,0.973411,0.229064,-0.641504,1.470481,-1.000000,-0.652775
18,0.975627,-0.219434,0.904389,0.426709,-0.212678,0.586514,-1.000000,-0.960884
19,0.976971,-0.213370,0.897121,0.441784,0.272942,-0.419285,-1.000000,-1.322117
20,0.993205,-0.116374,0.961084,0.276255,0.688386,-1.319490,-1.000000,-1.190037
21,0.998913,0.046612,0.998972,-0.045332,0.900029,-1.848853,-1.000000,-0.571388
22,0.975340,0.220709,0.913387,-0.407093,0.809733,-1.794498,1.000000,-0.340356
23,0.946430,0.322910,0.786246,-0.617914,0.233198,-0.637670,1.000000,-0.988338
24,0.951469,0.307744,0.784825,-0.619717,-0.389053,0.612295,1.000000,-1.641950
25,0.984072,0.177770,0.909719,-0.415225,-0.925402,1.748447,1.000000,-1.453061
26,0.999186,-0.040346,0.999999,0.001260,-1.206694,2.435039,-1.000000,-0.556075
27,0.969039,-0.246906,0.911875,0.410469,-0.829704,1.677705,-1.000000,-0.417558
28,0.936983,-0.349375,0.799132,0.601155,-0.224563,0.508763,-1.000000,-1.078734
29,0.944015,-0.329901,0.813142,0.582065,0.427264,-0.740864,-1.000000,-1.643435
30,0.981592,-0.190988,0.936872,0.349674,0.983170,-1.851295,-1.000000,-1.301548
31,0.999275,0.038076,0.996357,-0.085278,1.255987,-2.454490,-1.000000,-0.219629
32,0.960909,0.276863,0.843446,-0.537213,1.101992,-2.236872,1.000000,0.109617
33,0.907158,0.420790,0.636586,-0.771206,0.412763,-0.865900,1.000000,-0.877994
34,0.904113,0.427294,0.614794,-0.788688,-0.340662,0.586906,1.000000,-1.981384
35,0.954853,0.297077,0.796637,-0.604458,-1.037003,1.983025,1.000000,-1.992587
36,0.999112,0.042136,0.990253,-0.139278,-1.494253,2.993617,-1.000000,-0.627817
37,0.972676,-0.232168,0.916790,0.399369,-1.191377,2.358419,-1.000000,0.011971
38,0.916646,-0.399700,0.723855,0.689952,-0.545222,1.095819,-1.000000,-0.695540
39,0.902283,-0.431144,0.667310,0.744780,0.203197,-0.312922,-1.000000,-1.733455
40,0.945307,-0.326181,0.803103,0.595840,0.913908,-1.684253,-1.000000,-1.924525
41,0.995620,-0.093495,0.982620,0.185630,1.416719,-2.733012,-1.000000,-0.702027
42,0.979632,0.200800,0.923791,-0.382897,1.452711,-2.889679,1.000000,0.374191
43,0.908490,0.417906,0.663748,-0.747956,0.795137,-1.563515,1.000000,-0.273106
44,0.872062,0.489395,0.533762,-0.845635,-0.000773,-0.057409,1.000000,-1.632636
45,0.908538,0.417802,0.646489,-0.762924,-0.792808,1.449250,1.000000,-2.374828
46,0.979477,0.201558,0.905880,-0.423535,-1.446753,2.792577,1.000000,-1.377189
47,0.992891,-0.119028,0.980597,0.196034,-1.679067,3.363295,-1.000000,0.333003
48,0.920211,-0.391422,0.724202,0.689588,-1.086137,2.158734,-1.000000,0.216865
49,0.857821,-0.513948,0.505438,0.862863,-0.274845,0.626862,-1.000000,-1.152186
50,0.872600,-0.488436,0.531433,0.847101,0.564882,-0.929007,-1.000000,-2.377203
51,0.949478,-0.313834,0.782408,0.622766,1.318985,-2.424676,-1.000000,-2.098373
52,0.999997,-0.002356,0.997478,0.070976,1.768721,-3.436397,-1.000000,-0.074666
53,0.941424,0.337226,0.817177,-0.576387,1.590681,-3.213123,1.000000,1.005560
54,0.836153,0.548496,0.454131,-0.890935,0.745803,-1.603379,1.000000,-0.147403
55,0.803533,0.595260,0.311193,-0.950347,-0.176384,0.050840,1.000000,-1.959255
56,0.871450,0.490484,0.472052,-0.881571,-1.058511,1.700314,1.000000,-2.975749
57,0.975039,0.222033,0.837231,-0.546849,-1.785990,3.253141,1.000000,-1.727739
58,0.985572,-0.169258,0.986194,0.165592,-2.035831,3.961802,-1.000000,0.664235
59,0.871015,-0.491256,0.669665,0.742663,-1.321806,2.607241,-1.000000,0.696876
60,0.775199,-0.631717,0.371043,0.928616,-0.366550,0.924192,-1.000000,-0.941989
61,0.790570,-0.612371,0.354901,0.934904,0.607204,-0.750104,-1.000000,-2.616625
62,0.901906,-0.431932,0.629586,0.776930,1.492394,-2.424184,-1.000000,-2.759322
63,0.996866,-0.079106,0.967370,0.253369,2.105071,-3.781807,-1.000000,-0.432258
64,0.940618,0.339467,0.864679,-0.502325,2.018281,-3.777301,1.000000,1.375815
65,0.787919,0.615778,0.438603,-0.898681,1.108812,-2.076179,1.000000,0.381381
66,0.709239,0.704969,0.212381,-0.977187,0.075118,-0.333257,1.000000,-1.687251
67,0.768627,0.639697,0.314287,-0.949328,-0.947986,1.395277,1.000000,-3.261848
68,0.916961,0.398977,0.699816,-0.714323,-1.857756,3.145082,1.000000,-2.547128
69,0.999700,-0.024499,0.999637,-0.026952,-2.379265,4.328324,-1.000000,0.417628
70,0.898363,-0.439254,0.735261,0.677784,-1.811133,3.173162,-1.000000,1.214795
71,0.749161,-0.662388,0.356563,0.934271,-0.852923,1.427544,-1.000000,-0.321457
72,0.703661,-0.710536,0.249481,0.968380,0.194805,-0.297627,-1.000000,-2.357970
73,0.797703,-0.603051,0.466155,0.884703,1.222624,-2.037674,-1.000000,-3.301980
74,0.952086,-0.305831,0.875135,0.483879,2.092649,-3.709268,-1.000000,-1.402346
75,0.988805,0.149213,0.947682,-0.319215,2.369222,-4.297955,-1.000000,1.674077
76,0.837322,0.546709,0.456718,-0.889612,1.825480,-3.259835,1.000000,1.853868
77,0.666630,0.745389,0.013141,-0.999914,0.785566,-1.374580,1.000000,-0.304672
78,0.630127,0.776492,-0.083658,-0.996495,-0.307458,0.397960,1.000000,-2.809747
79,0.751559,0.659666,0.174352,-0.984683,-1.366935,2.211226,1.000000,-4.238391
80,0.939316,0.343053,0.723960,-0.689842,-2.299202,4.116125,1.000000,-2.300832
81,0.986488,-0.163835,0.981400,0.191973,-2.687143,5.096539,-1.000000,1.687427
82,0.809903,-0.586564,0.488461,0.872586,-1.839018,3.406020,-1.000000,1.960115
83,0.632659,-0.774430,0.022819,0.999740,-0.738426,1.495098,-1.000000,-0.176957
84,0.605607,-0.795764,-0.096787,0.995305,0.391166,-0.289197,-1.000000,-2.714082
85,0.742897,-0.669406,0.141100,0.989995,1.460025,-2.115692,-1.000000,-4.235753
86,0.940768,-0.339051,0.687894,0.725811,2.377412,-4.043832,-1.000000,-2.478784
87,0.983062,0.183272,0.990803,-0.135313,2.767859,-5.112875,-1.000000,1.811924
88,0.774652,0.632388,0.478675,-0.877992,2.111227,-4.013344,1.000000,2.722403
89,0.550473,0.834853,-0.096277,-0.995355,0.912422,-1.986484,1.000000,0.566631
90,0.498537,0.866868,-0.305336,-0.952245,-0.297620,-0.168482,1.000000,-2.229977
91,0.641937,0.766757,-0.161724,-0.986836,-1.432373,1.666424,1.000000,-4.443716
92,0.883607,0.468230,0.360875,-0.932614,-2.400465,3.680415,1.000000,-4.023740
93,0.997736,-0.067257,0.963888,-0.266309,-3.038351,5.444561,-1.000000,0.364977
94,0.811818,-0.583910,0.738399,0.674364,-2.354417,4.298429,-1.000000,2.319908
95,0.560517,-0.828143,0.172756,0.984965,-1.144647,2.282830,-1.000000,0.693806
96,0.472128,-0.881530,-0.097078,0.995277,0.109583,0.447916,-1.000000,-1.912218
97,0.593389,-0.804916,-0.005745,0.999983,1.308896,-1.381107,-1.000000,-4.085756
98,0.844294,-0.535880,0.451177,0.892434,2.358684,-3.384638,-1.000000,-3.721360
99,0.999916,-0.012954,0.972757,0.231829,3.057674,-5.107344,-1.000000,0.588547
100,0.835801,0.549033,0.713183,-0.700978,2.703488,-4.619409,1.000000,2.941386
101,0.535979,0.844231,0.084758,-0.996402,1.508882,-2.492462,1.000000,1.247936
102,0.380463,0.924796,-0.221852,-0.975080,0.240025,-0.628746,1.000000,-1.563474
103,0.452286,0.891873,-0.170221,-0.985406,-1.022320,1.167920,1.000000,-4.182423
104,0.712590,0.701581,0.254449,-0.967086,-2.195433,3.163467,1.000000,-4.739704
105,0.972328,0.233621,0.894199,-0.447669,-3.150000,5.237262,1.000000,-0.445119
106,0.915812,-0.401608,0.803858,0.594821,-3.123839,5.298217,-1.000000,3.379919
107,0.597549,-0.801833,0.095701,0.995410,-2.002670,3.064255,-1.000000,2.196621
108,0.355397,-0.934715,-0.311009,0.950407,-0.756630,1.110367,-1.000000,-0.651877
109,0.334083,-0.942544,-0.352427,0.935839,0.529951,-0.666575,-1.000000,-3.606134
110,0.541968,-0.840399,-0.041717,0.999129,1.779040,-2.561340,-1.000000,-5.432254
111,0.865149,-0.501515,0.635678,0.771954,2.919785,-4.778907,-1.000000,-2.827521
112,0.991032,0.133625,0.970408,-0.241473,3.469390,-6.033768,-1.000000,3.129560
113,0.720406,0.693553,0.250020,-0.968241,2.726229,-4.469431,1.000000,3.996831
114,0.371821,0.928305,-0.401970,-0.915653,1.496704,-2.280560,1.000000,1.379248
115,0.208669,0.977986,-0.632257,-0.774759,0.204266,-0.459938,1.000000,-1.819810
116,0.294982,0.955503,-0.565288,-0.824894,-1.090033,1.310606,1.000000,-4.879817
117,0.597642,0.801763,-0.144820,-0.989458,-2.301252,3.306946,1.000000,-6.289975
118,0.936151,0.351598,0.684721,-0.728805,-3.375622,5.715102,1.000000,-1.950299
119,0.933442,-0.358728,0.892891,0.450273,-3.623706,6.524797,-1.000000,4.178893
120,0.561193,-0.827685,0.039767,0.999209,-2.397132,4.053743,-1.000000,3.714421
121,0.244686,-0.969602,-0.527791,0.849374,-1.085507,1.988455,-1.000000,0.852943
122,0.162131,-0.986769,-0.699583,0.714551,0.240892,0.217100,-1.000000,-2.362674
123,0.334349,-0.942450,-0.597717,0.801707,1.525348,-1.584218,-1.000000,-5.342236
124,0.691166,-0.722696,-0.121803,0.992554,2.665702,-3.671808,-1.000000,-6.199361
125,0.984619,-0.174715,0.757120,0.653276,3.607350,-6.120922,-1.000000,-0.989125
126,0.843976,0.536380,0.821389,-0.570368,3.535978,-6.437289,1.000000,4.469030
127,0.419301,0.907847,-0.068610,-0.997644,2.154560,-3.907512,1.000000,3.483296
128,0.140138,0.990132,-0.600283,-0.799788,0.770451,-1.923062,1.000000,0.645964
129,0.122422,0.992478,-0.752996,-0.658025,-0.584647,-0.170829,1.000000,-2.527716
130,0.361308,0.932447,-0.649110,-0.760695,-1.863082,1.664830,1.000000,-5.411363
131,0.753604,0.657328,-0.165412,-0.986225,-2.931103,3.807881,1.000000,-5.989160
132,0.998976,0.045236,0.747900,-0.663812,-3.736148,6.271104,1.000000,-0.803152
133,0.760785,-0.649004,0.817830,0.575459,-3.505454,6.482960,-1.000000,4.264674
134,0.306155,-0.951982,-0.081583,0.996667,-2.008984,3.952010,-1.000000,3.266655
135,0.055491,-0.998459,-0.621370,0.783518,-0.558780,2.011905,-1.000000,0.644055
136,0.083397,-0.996516,-0.782279,0.622928,0.827076,0.265173,-1.000000,-2.420245
137,0.370993,-0.928636,-0.694930,0.719077,2.111626,-1.600974,-1.000000,-5.195102
138,0.789331,-0.613968,-0.235173,0.971954,3.126153,-3.774360,-1.000000,-5.647738
139,0.999288,0.037719,0.693600,0.720360,3.808422,-6.237373,-1.000000,-0.998106
140,0.697955,0.716141,0.857219,-0.514952,3.530642,-6.584000,1.000000,3.773758
141,0.219841,0.975536,-0.032731,-0.999464,1.956869,-4.073852,1.000000,2.976973
142,-0.017520,0.999847,-0.603950,-0.797022,0.451275,-2.159770,1.000000,0.668407
143,0.035453,0.999371,-0.787759,-0.615983,-0.966975,-0.420841,1.000000,-2.226252
144,0.354438,0.935079,-0.721822,-0.692079,-2.272121,1.467855,1.000000,-4.931155
145,0.797826,0.602888,-0.294658,-0.955603,-3.272526,3.669224,1.000000,-5.319375
146,0.997296,-0.073493,0.632158,-0.774840,-3.878731,6.145608,1.000000,-1.159409
147,0.661661,-0.749803,0.896845,0.442345,-3.606994,6.678933,-1.000000,3.365482
148,0.159040,-0.987272,0.026587,0.999647,-1.998329,4.192247,-1.000000,2.717815
149,-0.084428,-0.996430,-0.576524,0.817080,-0.463141,2.299435,-1.000000,0.670615
150,-0.031786,-0.999495,-0.785809,0.618469,0.976073,0.587041,-1.000000,-2.041223
151,0.295037,-0.955486,-0.742891,0.669412,2.310180,-1.297065,-1.000000,-4.796168
152,0.765972,-0.642874,-0.354966,0.934879,3.348957,-3.515042,-1.000000,-5.312734
153,0.999263,0.038379,0.559324,0.828949,3.960390,-6.048144,-1.000000,-1.389823
154,0.670281,0.742107,0.930880,-0.365325,3.767150,-6.842012,1.000000,3.295451
155,0.137736,0.990469,0.075833,-0.997121,2.158313,-4.346352,1.000000,2.756474
156,-0.137217,0.990541,-0.560244,-0.828328,0.621031,-2.452299,1.000000,0.815516
157,-0.116458,0.993196,-0.795008,-0.606600,-0.816764,-0.786147,1.000000,-1.742355
158,0.183132,0.983088,-0.781877,-0.623432,-2.173700,1.043684,1.000000,-4.668574
159,0.672515,0.740083,-0.460568,-0.887624,-3.296849,3.218787,1.000000,-5.710368
160,0.995158,0.098285,0.407804,-0.913070,-3.993158,5.807451,1.000000,-2.229995
161,0.747314,-0.664471,0.979271,0.202553,-4.025359,7.151319,-1.000000,3.269769
162,0.186848,-0.982389,0.173170,0.984892,-2.460285,4.656662,-1.000000,3.136404
163,-0.147638,-0.989041,-0.521817,0.853057,-0.924729,2.688077,-1.000000,1.182087
164,-0.187773,-0.982213,-0.797195,0.603722,0.503895,1.056021,-1.000000,-1.243175
165,0.049426,-0.998778,-0.820904,0.571066,1.868921,-0.691149,-1.000000,-4.291799
166,0.522325,-0.852746,-0.584975,0.811052,3.085135,-2.761474,-1.000000,-6.133457
167,0.950748,-0.309964,0.174370,0.984680,3.914484,-5.317612,-1.000000,-3.698363
168,0.867956,0.496640,0.996533,0.083203,4.258482,-7.372698,-1.000000,2.935258
169,0.298129,0.954526,0.309663,-0.950846,3.049937,-5.637884,1.000000,4.338336
170,-0.145167,0.989407,-0.543554,-0.839374,1.469658,-3.420226,1.000000,2.554400
171,-0.291654,0.956524,-0.886971,-0.461826,0.055847,-1.774514,1.000000,0.368678
172,-0.173222,0.984883,-0.959033,-0.283293,-1.268415,-0.134178,1.000000,-2.623571
173,0.209206,0.977871,-0.905698,-0.423924,-2.567564,1.678182,1.000000,-5.514893
174,0.741790,0.670632,-0.556850,-0.830613,-3.603865,3.822863,1.000000,-5.871508
175,0.998904,-0.046803,0.417004,-0.908905,-4.164592,6.431279,1.000000,-1.978476
176,0.627865,-0.778322,0.948023,0.318202,-4.024625,7.541243,-1.000000,3.295270
177,0.042102,-0.999113,0.000399,1.000000,-2.299996,4.895431,-1.000000,3.273069
178,-0.253043,-0.967455,-0.701525,0.712645,-0.713743,2.994275,-1.000000,1.913965
179,-0.252137,-0.967691,-0.936842,0.349753,0.699930,1.364036,-1.000000,-0.309628
180,0.019266,-0.999814,-0.967489,0.252912,2.035648,-0.373334,-1.000000,-3.365886
181,0.525378,-0.850869,-0.868883,0.495017,3.254510,-2.285213,-1.000000,-4.749893
182,0.958745,-0.284267,-0.372828,0.927900,3.921799,-4.475857,1.000000,-3.117128
183,0.879871,0.475213,0.639165,0.769069,3.836784,-6.153435,-1.000000,-0.718990
184,0.346796,0.937941,0.911496,-0.411308,3.176501,-6.348123,1.000000,0.803835
185,-0.109411,0.993997,0.101736,-0.994811,1.444851,-4.133590,1.000000,0.463637
186,-0.228966,0.973435,-0.519001,-0.854774,-0.213372,-2.386486,1.000000,-0.310256
187,-0.031267,0.999511,-0.750307,-0.661090,-1.763032,-0.599647,1.000000,-2.316671
188,0.446000,0.895033,-0.691128,-0.722733,-3.119869,1.516878,1.000000,-4.116905
189,0.924931,0.380135,-0.215990,-0.976396,-3.954567,3.985888,1.000000,-3.008767
190,0.907560,-0.419921,0.740351,-0.672221,-4.198232,6.400320,-1.000000,0.499144
191,0.365263,-0.930904,0.865835,0.500329,-3.228860,5.673344,-1.000000,1.875847
192,-0.111080,-0.993812,0.130675,0.991425,-1.624631,3.547292,-1.000000,0.481335
193,-0.280146,-0.959957,-0.401194,0.915993,-0.115524,1.944847,-1.000000,-1.125609
194,-0.159848,-0.987142,-0.602832,0.797868,1.343675,0.358302,-1.000000,-3.343832
195,0.246906,-0.969039,-0.505135,0.863040,2.732093,-1.621156,-1.000000,-5.767558
196,0.791392,-0.611308,0.041819,0.999125,3.841785,-4.193739,-1.000000,-4.748326
197,0.982159,0.188053,0.918629,0.395122,4.511256,-6.811203,-1.000000,2.112658
198,0.505577,0.862782,0.602233,-0.798320,3.760326,-5.892349,1.000000,4.881734
199,-0.069684,0.997569,-0.265155,-0.964206,2.262159,-3.411673,1.000000,2.617628
200,-0.375364,0.926878,-0.700790,-0.713368,0.907905,-1.758773,1.000000,0.207055
201,-0.424779,0.905297,-0.834857,-0.550466,-0.360780,-0.360339,1.000000,-2.163609
202,-0.237584,0.971367,-0.791094,-0.611695,-1.634898,1.156055,1.000000,-5.260646
203,0.215482,0.976508,-0.477458,-0.878655,-2.928562,3.097429,1.000000,-7.845618
204,0.798200,0.602393,0.373587,-0.927595,-4.129356,5.854970,1.000000,-4.077074
205,0.963231,-0.268676,0.969998,0.243112,-4.784792,7.798146,-1.000000,5.084095
206,0.442666,-0.896687,0.035426,0.999372,-3.512325,4.894626,-1.000000,5.313783
207,-0.109814,-0.993952,-0.641531,0.767097,-2.181093,2.589243,-1.000000,2.189632
208,-0.404912,-0.914355,-0.865004,0.501765,-0.900100,0.963917,-1.000000,-0.521643
209,-0.457125,-0.889402,-0.889180,0.457558,0.316592,-0.449358,-1.000000,-2.997643
210,-0.283973,-0.958832,-0.758749,0.651383,1.564399,-1.927507,-1.000000,-5.990755
211,0.155854,-0.987780,-0.291872,0.956457,2.890431,-3.846396,-1.000000,-8.032495
212,0.766575,-0.642155,0.678271,0.734811,4.284941,-6.695420,-1.000000,-2.186959
213,0.971336,0.237710,0.779033,-0.626983,4.754209,-7.481772,1.000000,5.952417
214,0.468703,0.883356,-0.285008,-0.958525,3.638118,-4.357949,1.000000,5.032913
215,-0.117713,0.993048,-0.794759,-0.606925,2.400110,-2.085018,1.000000,1.632314
