step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
0,0.996607,0.082308,0.995288,0.096962,0.024707,-0.082471,-1.000000,-1.058865
1,0.995765,0.091931,0.999000,0.044718,0.068314,-0.430805,-1.000000,-1.070345
2,0.994223,0.107330,0.997661,-0.068360,0.079532,-0.678360,-1.000000,-0.947445
3,0.992733,0.120342,0.976794,-0.214179,0.043580,-0.767788,0.000000,-0.814745
4,0.994051,0.108920,0.945921,-0.324396,-0.158786,-0.361465,0.000000,-0.842802
5,0.998253,0.059090,0.936643,-0.350285,-0.331173,0.082326,1.000000,-1.010513
6,0.999534,-0.030538,0.964041,-0.265755,-0.545098,0.779247,1.000000,-1.117458
7,0.988991,-0.147977,0.998031,-0.062715,-0.605055,1.230137,-1.000000,-1.008859
8,0.972990,-0.230846,0.991631,0.129102,-0.216700,0.646895,-1.000000,-1.049634
9,0.973638,-0.228098,0.983003,0.183590,0.245197,-0.102596,-1.000000,-1.166735
10,0.990362,-0.138505,0.995736,0.092245,0.645359,-0.790881,-1.000000,-1.058807
11,0.999879,0.015585,0.993646,-0.112550,0.861687,-1.199132,-1.000000,-0.727578
12,0.982351,0.187048,0.936504,-0.350657,0.821401,-1.185716,0.000000,-0.600804
13,0.950633,0.310317,0.863460,-0.504417,0.425225,-0.480303,0.000000,-0.929085
14,0.939001,0.343914,0.856877,-0.515520,-0.076223,0.355666,0.000000,-1.329801
15,0.959293,0.282414,0.924774,-0.380517,-0.556696,1.129254,0.000000,-1.360197
16,0.990356,0.138545,0.994072,-0.108721,-0.878854,1.616549,-1.000000,-0.976957
17,0.999453,-0.033059,0.982532,0.186095,-0.796881,1.263988,-1.000000,-0.779961
18,0.986638,-0.162928,0.932630,0.360833,-0.479332,0.509926,-1.000000,-0.977589
19,0.976722,-0.214511,0.928711,0.370805,-0.035545,-0.410426,-1.000000,-1.204427
20,0.984287,-0.176575,0.978282,0.207276,0.410987,-1.269327,-1.000000,-1.003146
21,0.998118,-0.061316,0.994365,-0.106010,0.714982,-1.804682,-1.000000,-0.384946
22,0.995894,0.090531,0.888889,-0.458122,0.760721,-1.801136,1.000000,-0.204521
23,0.979536,0.201269,0.744350,-0.667789,0.339261,-0.715754,0.000000,-0.810898
24,0.972831,0.231515,0.706724,-0.707489,-0.034681,0.176089,0.000000,-1.482531
25,0.982193,0.187873,0.788771,-0.614687,-0.403919,1.047475,0.000000,-1.795385
26,0.996932,0.078271,0.928865,-0.370418,-0.676972,1.726127,1.000000,-1.436836
27,0.996775,-0.080243,0.999477,0.032337,-0.862236,2.292115,-1.000000,-0.599514
28,0.976360,-0.216153,0.912227,0.409685,-0.473518,1.519879,-1.000000,-0.472407
29,0.966335,-0.257287,0.814720,0.579855,0.057390,0.420266,-1.000000,-1.022885
30,0.980775,-0.195144,0.832094,0.554634,0.566919,-0.714872,-1.000000,-1.488716
31,0.999094,-0.042567,0.941376,0.337359,0.938157,-1.671304,-1.000000,-1.268507
32,0.987124,0.159956,0.998831,-0.048345,1.039269,-2.149339,-1.000000,-0.518542
33,0.939798,0.341730,0.892413,-0.451219,0.788771,-1.944325,0.000000,-0.198786
34,0.901596,0.432578,0.723588,-0.690232,0.178193,-0.952801,0.000000,-0.728454
35,0.913865,0.406018,0.666066,-0.745893,-0.462777,0.154440,0.000000,-1.456169
36,0.963894,0.266287,0.762308,-0.647215,-0.994307,1.199046,0.000000,-1.693466
37,0.999347,0.036136,0.928181,-0.372129,-1.289093,1.951484,1.000000,-1.185819
38,0.972722,-0.231972,0.997692,0.067901,-1.342916,2.411834,-1.000000,-0.433742
39,0.902439,-0.430818,0.895847,0.444362,-0.720249,1.424260,-1.000000,-0.645134
40,0.872614,-0.488410,0.815157,0.579240,0.082100,0.130269,-1.000000,-1.439438
41,0.915591,-0.402111,0.871803,0.489857,0.864540,-1.171321,-1.000000,-1.733793
42,0.984226,-0.176916,0.986166,0.165758,1.442411,-2.199880,-1.000000,-0.902910
43,0.991085,0.133234,0.950403,-0.311022,1.588969,-2.475873,0.000000,0.090532
44,0.916257,0.400591,0.743534,-0.668698,1.137425,-1.595162,0.000000,-0.106255
45,0.840913,0.541170,0.594583,-0.804035,0.433778,-0.399504,0.000000,-1.129961
46,0.836501,0.547965,0.629941,-0.776643,-0.355043,0.844289,0.000000,-2.044905
47,0.907538,0.419970,0.824715,-0.565549,-1.085916,2.005237,0.000000,-1.920461
48,0.986723,0.162410,0.993413,-0.114589,-1.550023,2.738060,0.000000,-0.650716
49,0.988531,-0.151015,0.909881,0.414868,-1.510858,2.525225,-1.000000,0.129685
50,0.921297,-0.388859,0.688564,0.725175,-0.921310,1.245551,-1.000000,-0.546775
